job_history_id,employee_id,department_id,role,start_date,end_date
JH0172,E0106,D006,Analista,2025-05-02,
JH0173,E0107,D006,Asistente,2025-05-10,2025-10-03
JH0174,E0108,D006,Especialista,2021-04-09,2022-12-17
JH0175,E0108,D006,Senior,2022-12-17,2024-08-19
JH0176,E0108,D006,Supervisor,2024-08-19,2025-03-09
JH0177,E0109,D007,Analista,2025-04-28,
JH0178,E0110,D007,Asistente,2023-07-03,2024-08-06
JH0179,E0110,D007,Analista,2024-08-06,
JH0180,E0111,D007,Especialista,2022-04-18,
JH0181,E0112,D007,Supervisor,2021-12-25,
JH0182,E0113,D007,Especialista,2022-06-05,2023-12-18
JH0183,E0113,D007,Senior,2023-12-18,
JH0184,E0114,D007,Asistente,2025-06-30,
JH0185,E0115,D007,Director,2023-11-14,
JH0186,E0116,D007,Asistente,2021-05-08,2022-09-22
JH0187,E0116,D007,Asistente,2022-09-22,2024-05-16
JH0188,E0116,D007,Analista,2024-05-16,
JH0189,E0117,D007,Asistente,2025-05-31,
JH0190,E0118,D007,Asistente,2024-06-05,
JH0191,E0119,D007,Senior,2024-09-14,2025-01-02
JH0192,E0120,D007,Especialista,2023-09-24,2024-11-26
JH0193,E0120,D007,Especialista,2024-11-26,
JH0194,E0121,D007,Asistente,2024-04-19,2024-12-20
JH0195,E0122,D007,Analista,2021-11-18,2025-07-13
JH0196,E0123,D007,Analista,2021-06-12,2022-10-05
JH0197,E0123,D007,Especialista,2022-10-05,2024-06-30
JH0198,E0123,D007,Senior,2024-06-30,
JH0199,E0124,D007,Asistente,2024-10-14,
JH0200,E0125,D007,Asistente,2021-06-06,2022-08-16
JH0201,E0125,D007,Analista,2022-08-16,2024-02-28
JH0202,E0125,D007,Especialista,2024-02-28,
JH0203,E0126,D007,Supervisor,2024-09-19,2025-07-20
JH0204,E0127,D008,Analista,2022-10-04,
JH0205,E0128,D008,Senior,2021-04-26,2022-10-18
JH0206,E0128,D008,Senior,2022-10-18,2024-06-13
JH0207,E0128,D008,Supervisor,2024-06-13,
JH0208,E0129,D008,Analista,2022-10-25,
JH0209,E0130,D008,Especialista,2022-08-13,2025-09-10
JH0210,E0131,D008,Senior,2024-03-23,
JH0211,E0132,D008,Asistente,2021-11-06,2023-07-09
JH0212,E0132,D008,Analista,2023-07-09,
JH0213,E0133,D008,Analista,2020-10-03,2023-03-16
JH0214,E0133,D008,Especialista,2023-03-16,
JH0215,E0134,D008,Director,2021-12-02,
JH0216,E0135,D008,Analista,2020-08-08,2023-07-27
JH0217,E0135,D008,Especialista,2023-07-27,
JH0218,E0136,D008,Asistente,2025-10-03,
JH0219,E0137,D008,Senior,2020-02-24,2022-07-18
JH0220,E0137,D008,Supervisor,2022-07-18,
JH0221,E0138,D008,Asistente,2021-06-15,2022-09-16
JH0222,E0138,D008,Asistente,2022-09-16,2023-12-05
JH0223,E0138,D008,Asistente,2023-12-05,2024-12-07
JH0224,E0139,D008,Asistente,2021-10-19,2023-04-06
JH0225,E0139,D008,Asistente,2023-04-06,2024-06-25
JH0226,E0139,D008,Asistente,2024-06-25,
JH0227,E0140,D008,Asistente,2025-03-30,
JH0228,E0141,D008,Senior,2021-09-30,2022-11-20
JH0229,E0141,D008,Senior,2022-11-20,2024-04-09
JH0230,E0141,D008,Senior,2024-04-09,2025-02-16
JH0231,E0142,D008,Analista,2021-12-09,2023-10-01
JH0232,E0142,D008,Analista,2023-10-01,
JH0233,E0143,D008,Asistente,2021-07-29,2023-10-24
JH0234,E0143,D008,Asistente,2023-10-24,2025-02-19
JH0235,E0144,D008,Especialista,2023-04-15,2024-09-14
JH0236,E0144,D008,Senior,2024-09-14,
JH0237,E0145,D008,Senior,2025-06-17,2025-08-09
JH0238,E0146,D008,Supervisor,2024-04-20,
JH0239,E0147,D008,Asistente,2020-12-25,2022-06-14
JH0240,E0147,D008,Asistente,2022-06-14,2023-12-28
JH0241,E0147,D008,Asistente,2023-12-28,
JH0242,E0148,D008,Analista,2021-06-08,2022-11-27
JH0243,E0148,D008,Especialista,2022-11-27,2024-03-06
JH0244,E0148,D008,Senior,2024-03-06,
JH0245,E0149,D008,Asistente,2023-09-21,2024-12-29
JH0246,E0149,D008,Asistente,2024-12-29,
JH0247,E0150,D008,Analista,2023-11-12,2025-07-06
