salary_id,employee_id,job_history_id,salary_amount,effective_date
S0057,E0015,JH0026,58554.94,2023-04-07
S0058,E0015,JH0027,68741.12,2024-03-30
S0059,E0015,JH0027,70933.96,2025-03-30
S0060,E0016,JH0028,116806.02,2022-07-21
S0061,E0016,JH0028,120752.41,2023-07-21
S0062,E0016,JH0028,125236.19,2024-07-20
S0063,E0016,JH0028,128582.57,2025-07-20
S0064,E0017,JH0029,56496.49,2020-02-03
S0065,E0017,JH0029,58663.13,2021-02-02
S0066,E0017,JH0030,62414.57,2021-12-09
S0067,E0017,JH0030,64120.02,2022-12-09
S0068,E0017,JH0031,72583.05,2023-09-18
S0069,E0017,JH0031,76183.82,2024-09-17
S0070,E0018,JH0032,115820.57,2021-08-27
S0071,E0018,JH0032,118489.62,2022-08-27
S0072,E0018,JH0033,140140.01,2022-10-10
S0073,E0018,JH0033,142841.16,2023-10-10
S0074,E0018,JH0034,205668.47,2024-06-02
S0075,E0018,JH0034,214840.7,2025-06-02
S0076,E0019,JH0035,31736.22,2022-09-23
S0077,E0019,JH0035,32923.14,2023-09-23
S0078,E0019,JH0036,33422.12,2024-06-14
S0079,E0019,JH0036,33861.41,2025-06-14
S0080,E0020,JH0037,33000.23,2020-08-30
S0081,E0020,JH0037,33376.68,2021-08-30
S0082,E0020,JH0037,34254.64,2022-08-30
S0083,E0020,JH0038,35394.68,2023-03-03
S0084,E0020,JH0038,37160.29,2024-03-02
S0085,E0021,JH0039,44579.81,2023-05-12
S0086,E0021,JH0039,45707.17,2024-05-11
S0087,E0021,JH0039,47745.97,2025-05-11
S0088,E0022,JH0040,53827.28,2022-01-04
S0089,E0022,JH0040,54735.69,2023-01-04
S0090,E0022,JH0040,56380.76,2024-01-04
S0091,E0022,JH0040,59044.95,2025-01-03
S0092,E0023,JH0041,32089.67,2024-02-01
S0093,E0023,JH0041,32681.86,2025-01-31
S0094,E0024,JH0042,40215.17,2023-06-24
S0095,E0024,JH0042,41790.46,2024-06-23
S0096,E0024,JH0042,43423.88,2025-06-23
S0097,E0025,JH0043,43887.11,2021-10-31
S0098,E0025,JH0043,45338.42,2022-10-31
S0099,E0025,JH0043,45952.54,2023-10-31
S0100,E0025,JH0044,48922.83,2024-01-23
S0101,E0025,JH0044,50347.38,2025-01-22
S0102,E0026,JH0045,32139.85,2023-11-18
S0103,E0026,JH0045,33125.79,2024-11-17
S0104,E0027,JH0046,39148.77,2024-05-03
S0105,E0027,JH0046,39656.79,2025-05-03
S0106,E0028,JH0047,55099.34,2025-07-03
S0107,E0029,JH0048,56142.77,2023-03-18
S0108,E0029,JH0048,58901.87,2024-03-17
S0109,E0029,JH0049,62484.02,2024-04-13
S0110,E0029,JH0049,63821.95,2025-04-13
S0111,E0030,JH0050,39386.85,2023-07-04
S0112,E0030,JH0050,39898.84,2024-07-03
S0113,E0030,JH0051,41365.74,2024-07-17
S0114,E0030,JH0051,42919.65,2025-07-17
S0115,E0031,JH0052,31774.6,2024-12-20
S0116,E0032,JH0053,79463.8,2022-01-04
S0117,E0032,JH0053,80319.53,2023-01-04
S0118,E0032,JH0054,107453.21,2023-08-26
S0119,E0032,JH0054,108681.54,2024-08-25
S0120,E0033,JH0055,40487.89,2020-11-19
S0121,E0033,JH0055,41302.27,2021-11-19
S0122,E0033,JH0055,43185.41,2022-11-19
S0123,E0033,JH0056,46300.08,2022-12-10
S0124,E0033,JH0056,47624.55,2023-12-10
S0125,E0033,JH0056,49924.93,2024-12-09
S0126,E0034,JH0057,65858.02,2024-12-18
S0127,E0035,JH0058,32256.81,2021-10-23
S0128,E0035,JH0058,33177.65,2022-10-23
S0129,E0035,JH0058,33992.0,2023-10-23
S0130,E0035,JH0059,41848.54,2023-12-01
S0131,E0035,JH0059,42400.23,2024-11-30
S0132,E0036,JH0060,45168.31,2020-10-04
S0133,E0036,JH0060,47143.47,2021-10-04
S0134,E0036,JH0060,48985.73,2022-10-04
S0135,E0036,JH0061,52413.32,2023-04-20
S0136,E0036,JH0061,54577.49,2024-04-19
S0137,E0036,JH0061,55505.71,2025-04-19
S0138,E0037,JH0062,64338.01,2021-03-07
S0139,E0037,JH0062,65734.61,2022-03-07
S0140,E0037,JH0062,67570.11,2023-03-07
S0141,E0037,JH0063,87355.25,2023-11-05
S0142,E0037,JH0063,88643.58,2024-11-04
S0143,E0037,JH0063,92239.76,2025-11-04
S0144,E0038,JH0064,31996.15,2025-02-12
S0145,E0039,JH0065,24465.04,2021-08-27
S0146,E0039,JH0065,24885.43,2022-08-27
S0147,E0039,JH0065,25818.39,2023-08-27
S0148,E0039,JH0066,28367.3,2023-12-12
S0149,E0039,JH0066,29478.94,2024-12-11
S0150,E0040,JH0067,23705.14,2023-01-01
S0151,E0040,JH0067,24833.19,2024-01-01
S0152,E0040,JH0067,25098.94,2024-12-31
S0153,E0041,JH0068,25708.15,2020-08-15
S0154,E0041,JH0068,26519.54,2021-08-15
S0155,E0041,JH0068,27357.09,2022-08-15
S0156,E0041,JH0069,28415.42,2022-09-14
S0157,E0041,JH0069,29457.13,2023-09-14
S0158,E0041,JH0069,30591.51,2024-09-13
S0159,E0041,JH0070,31346.89,2024-09-20
S0160,E0041,JH0070,32549.89,2025-09-20
S0161,E0042,JH0071,42418.55,2020-04-30
S0162,E0042,JH0071,42996.63,2021-04-30
S0163,E0042,JH0072,50064.93,2021-11-24
S0164,E0042,JH0072,52347.44,2022-11-24
S0165,E0042,JH0072,54879.78,2023-11-24
S0166,E0042,JH0073,57474.7,2024-02-01
S0167,E0042,JH0073,58538.97,2025-01-31
S0168,E0043,JH0074,43072.37,2022-12-02
S0169,E0043,JH0074,43804.15,2023-12-02
S0170,E0043,JH0075,48487.95,2024-06-22
S0171,E0043,JH0075,50306.47,2025-06-22
S0172,E0044,JH0076,36622.91,2023-05-03
S0173,E0044,JH0076,38376.89,2024-05-02
S0174,E0044,JH0077,41684.66,2024-06-09
S0175,E0044,JH0077,42503.5,2025-06-09
S0176,E0045,JH0078,25398.74,2023-09-02
S0177,E0045,JH0078,26460.85,2024-09-01
S0178,E0045,JH0079,29035.38,2024-11-09
S0179,E0046,JH0080,33882.43,2021-09-15
S0180,E0046,JH0080,34791.51,2022-09-15
S0181,E0046,JH0081,42603.11,2023-06-10
S0182,E0046,JH0081,43360.88,2024-06-09
S0183,E0046,JH0081,45404.47,2025-06-09
S0184,E0047,JH0082,23518.34,2022-09-24
S0185,E0047,JH0082,24145.49,2023-09-24
S0186,E0047,JH0083,31733.99,2024-03-09
S0187,E0047,JH0083,32941.88,2025-03-09
S0188,E0048,JH0084,34879.0,2024-04-10
S0189,E0048,JH0084,36553.43,2025-04-10
S0190,E0049,JH0085,25545.9,2024-08-22
S0191,E0049,JH0085,26467.46,2025-08-22
S0192,E0050,JH0086,40289.2,2022-07-16
S0193,E0050,JH0086,42193.62,2023-07-16
S0194,E0050,JH0086,42817.66,2024-07-15
S0195,E0050,JH0086,43840.8,2025-07-15
S0196,E0051,JH0087,32628.18,2024-06-30
S0197,E0051,JH0087,33881.53,2025-06-30
S0198,E0052,JH0088,30844.92,2024-12-18
S0199,E0053,JH0089,33506.48,2023-08-26
S0200,E0053,JH0089,34517.73,2024-08-25
S0201,E0053,JH0090,44042.61,2024-09-10
S0202,E0053,JH0090,45769.3,2025-09-10
S0203,E0054,JH0091,33650.88,2022-05-31
S0204,E0054,JH0091,34014.09,2023-05-31
S0205,E0054,JH0091,35243.59,2024-05-30
S0206,E0054,JH0091,35780.72,2025-05-30
S0207,E0055,JH0092,35504.91,2025-02-02
S0208,E0056,JH0093,27300.43,2025-08-06
S0209,E0057,JH0094,34391.92,2023-02-18
S0210,E0057,JH0094,35240.94,2024-02-18
S0211,E0057,JH0095,41716.16,2024-08-13
S0212,E0058,JH0096,35465.78,2023-01-21
S0213,E0058,JH0096,36251.23,2024-01-21
S0214,E0058,JH0096,37787.44,2025-01-20
S0215,E0059,JH0097,36567.5,2025-09-20
S0216,E0060,JH0098,55982.28,2023-03-07
S0217,E0060,JH0098,56934.23,2024-03-06
S0218,E0060,JH0098,59007.29,2025-03-06
S0219,E0061,JH0099,28238.82,2024-02-13
S0220,E0061,JH0099,29433.52,2025-02-12
S0221,E0062,JH0100,54571.89,2024-09-13
S0222,E0062,JH0100,56348.6,2025-09-13
S0223,E0063,JH0101,34331.13,2024-01-01
S0224,E0063,JH0101,35204.85,2024-12-31
S0225,E0064,JH0102,41069.56,2021-05-22
S0226,E0064,JH0102,42946.46,2022-05-22
S0227,E0064,JH0102,44926.68,2023-05-22
S0228,E0064,JH0103,47688.62,2023-07-23
S0229,E0064,JH0103,48502.6,2024-07-22
S0230,E0064,JH0103,50080.69,2025-07-22
S0231,E0065,JH0104,27434.61,2023-01-05
S0232,E0065,JH0104,28724.17,2024-01-05
S0233,E0065,JH0104,29375.23,2025-01-04
S0234,E0066,JH0105,103866.46,2024-03-29
S0235,E0066,JH0105,108179.08,2025-03-29
S0236,E0067,JH0106,29028.93,2022-05-07
S0237,E0067,JH0106,29444.12,2023-05-07
S0238,E0067,JH0106,30775.6,2024-05-06
S0239,E0067,JH0106,31730.35,2025-05-06
S0240,E0068,JH0107,26853.92,2020-09-19
S0241,E0068,JH0107,27400.11,2021-09-19
S0242,E0068,JH0107,28291.95,2022-09-19
S0243,E0068,JH0108,29961.4,2023-08-09
S0244,E0068,JH0108,31053.03,2024-08-08
S0245,E0068,JH0108,32107.04,2025-08-08
S0246,E0069,JH0109,38525.98,2023-12-19
S0247,E0069,JH0109,39424.36,2024-12-18
S0248,E0070,JH0110,35398.91,2023-09-13
S0249,E0070,JH0111,39969.91,2024-08-20
S0250,E0070,JH0111,40695.46,2025-08-20
S0251,E0071,JH0112,39618.55,2020-06-06
S0252,E0071,JH0112,41072.25,2021-06-06
S0253,E0071,JH0113,50278.05,2022-01-22
S0254,E0071,JH0113,50810.54,2023-01-22
S0255,E0071,JH0114,55755.31,2023-10-09
S0256,E0071,JH0114,56380.77,2024-10-08
S0257,E0071,JH0114,59096.79,2025-10-08
S0258,E0072,JH0115,39823.99,2021-05-30
S0259,E0072,JH0115,40924.96,2022-05-30
S0260,E0072,JH0115,42124.47,2023-05-30
S0261,E0072,JH0116,46516.56,2023-12-27
S0262,E0072,JH0116,47300.73,2024-12-26
S0263,E0073,JH0117,42075.81,2020-12-13
S0264,E0073,JH0117,42962.81,2021-12-13
S0265,E0073,JH0118,49361.01,2022-05-02
S0266,E0073,JH0118,50761.14,2023-05-02
S0267,E0073,JH0119,55258.03,2023-10-09
S0268,E0073,JH0119,56882.57,2024-10-08
S0269,E0073,JH0119,58106.14,2025-10-08
S0270,E0074,JH0120,23741.62,2020-12-04
S0271,E0074,JH0120,24170.96,2021-12-04
S0272,E0074,JH0121,25524.37,2022-06-29
S0273,E0074,JH0121,25955.42,2023-06-29
S0274,E0074,JH0122,27503.12,2024-06-06
S0275,E0075,JH0123,33073.83,2024-09-04
S0276,E0075,JH0123,33932.89,2025-09-04
S0277,E0076,JH0124,34799.11,2021-07-13
S0278,E0076,JH0124,36397.46,2022-07-13
S0279,E0076,JH0124,37187.97,2023-07-13
S0280,E0076,JH0125,40373.02,2023-09-28
S0281,E0076,JH0125,41294.9,2024-09-27
S0282,E0076,JH0125,41812.19,2025-09-27
S0283,E0077,JH0126,34460.63,2024-07-10
S0284,E0077,JH0126,34907.69,2025-07-10
S0285,E0078,JH0127,25661.05,2021-01-20
S0286,E0078,JH0127,26022.08,2022-01-20
S0287,E0078,JH0127,26975.79,2023-01-20
S0288,E0078,JH0128,28812.16,2023-11-20
S0289,E0078,JH0128,29176.35,2024-11-19
S0290,E0079,JH0129,43052.49,2020-05-24
S0291,E0079,JH0129,45044.43,2021-05-24
S0292,E0079,JH0129,46929.74,2022-05-24
S0293,E0079,JH0130,49579.14,2023-01-04
S0294,E0079,JH0130,50498.07,2024-01-04
S0295,E0079,JH0130,52392.05,2025-01-03
S0296,E0080,JH0131,23644.35,2022-06-02
S0297,E0080,JH0131,24604.83,2023-06-02
S0298,E0080,JH0132,25653.77,2023-12-09
S0299,E0080,JH0132,26846.46,2024-12-08
S0300,E0081,JH0133,34768.7,2022-01-13
S0301,E0081,JH0133,35652.93,2023-01-13
S0302,E0081,JH0133,36437.84,2024-01-13
S0303,E0081,JH0133,37842.06,2025-01-12
S0304,E0082,JH0134,32751.1,2024-07-13
S0305,E0082,JH0134,33280.98,2025-07-13
S0306,E0083,JH0135,23751.59,2025-01-05
S0307,E0084,JH0136,88133.47,2024-09-17
S0308,E0085,JH0137,47039.62,2024-05-12
S0309,E0085,JH0137,49126.19,2025-05-12
S0310,E0086,JH0138,24472.07,2020-11-23
S0311,E0086,JH0138,25231.7,2021-11-23
S0312,E0086,JH0138,25893.91,2022-11-23
S0313,E0086,JH0139,30647.98,2023-02-04
S0314,E0086,JH0139,31165.73,2024-02-04
S0315,E0086,JH0139,31515.06,2025-02-03
S0316,E0087,JH0140,42767.36,2024-03-10
S0317,E0087,JH0140,44259.35,2025-03-10
S0318,E0088,JH0141,32413.61,2025-01-29
S0319,E0089,JH0142,24591.76,2021-06-12
S0320,E0089,JH0142,24914.79,2022-06-12
S0321,E0089,JH0143,26744.53,2023-02-19
S0322,E0089,JH0143,27209.16,2024-02-19
S0323,E0089,JH0144,28813.35,2024-11-15
S0324,E0090,JH0145,36679.2,2025-06-02
S0325,E0091,JH0146,38027.2,2025-08-17
S0326,E0092,JH0147,36619.69,2021-05-15
S0327,E0092,JH0147,38290.9,2022-05-15
S0328,E0092,JH0147,39350.1,2023-05-15
S0329,E0092,JH0148,41631.29,2023-06-23
S0330,E0092,JH0148,42448.84,2024-06-22
S0331,E0092,JH0148,43943.26,2025-06-22
S0332,E0093,JH0149,30760.94,2020-04-08
S0333,E0093,JH0149,31420.13,2021-04-08
S0334,E0093,JH0149,32420.49,2022-04-08
S0335,E0093,JH0150,35437.82,2022-05-08
S0336,E0093,JH0150,36718.6,2023-05-08
S0337,E0093,JH0150,38490.16,2024-05-07
S0338,E0093,JH0151,41970.65,2024-05-27
S0339,E0093,JH0151,42558.19,2025-05-27
S0340,E0094,JH0152,36569.21,2022-07-16
S0341,E0094,JH0152,37023.98,2023-07-16
S0342,E0094,JH0153,42831.67,2024-03-15
S0343,E0094,JH0153,44530.29,2025-03-15
S0344,E0095,JH0154,28570.85,2022-07-10
S0345,E0095,JH0154,28868.47,2023-07-10
S0346,E0095,JH0155,31744.46,2024-04-13
S0347,E0095,JH0155,32890.29,2025-04-13
S0348,E0096,JH0156,48621.4,2023-03-24
S0349,E0096,JH0156,50935.62,2024-03-23
S0350,E0096,JH0156,51497.18,2025-03-23
S0351,E0097,JH0157,39977.9,2023-01-22
S0352,E0097,JH0157,41150.57,2024-01-22
S0353,E0097,JH0158,48363.85,2024-03-27
S0354,E0097,JH0158,49131.1,2025-03-27
S0355,E0098,JH0159,106859.65,2020-10-11
S0356,E0098,JH0159,110873.47,2021-10-11
S0357,E0098,JH0159,113416.83,2022-10-11
S0358,E0098,JH0160,118227.52,2023-08-07
S0359,E0098,JH0160,122357.48,2024-08-06
S0360,E0098,JH0160,125402.87,2025-08-06
S0361,E0099,JH0161,30211.94,2023-07-10
S0362,E0099,JH0161,31261.99,2024-07-09
S0363,E0099,JH0162,33076.74,2024-10-15
S0364,E0099,JH0162,34235.6,2025-10-15
S0365,E0100,JH0163,30809.45,2024-01-04
S0366,E0100,JH0163,31579.43,2025-01-03
S0367,E0101,JH0164,29109.36,2021-08-20
S0368,E0101,JH0164,29506.23,2022-08-20
S0369,E0101,JH0165,30772.85,2023-06-23
S0370,E0101,JH0165,31960.6,2024-06-22
S0371,E0101,JH0165,33403.44,2025-06-22
S0372,E0102,JH0166,43804.15,2023-03-03
S0373,E0102,JH0166,45073.79,2024-03-02
S0374,E0102,JH0167,52320.03,2024-04-25
S0375,E0102,JH0167,54367.61,2025-04-25
S0376,E0103,JH0168,37509.22,2024-08-31
S0377,E0103,JH0168,38795.18,2025-08-31
S0378,E0104,JH0169,60399.88,2020-12-21
S0379,E0104,JH0169,63252.75,2021-12-21
S0380,E0104,JH0169,66296.1,2022-12-21
S0381,E0104,JH0170,77263.31,2023-04-08
S0382,E0104,JH0170,80195.6,2024-04-07
S0383,E0104,JH0170,83365.41,2025-04-07
S0384,E0105,JH0171,60199.84,2022-07-05
S0385,E0105,JH0171,61127.06,2023-07-05
S0386,E0105,JH0171,63829.76,2024-07-04
S0387,E0105,JH0171,64913.82,2025-07-04
S0388,E0106,JH0172,38629.15,2025-05-02
S0389,E0107,JH0173,28517.11,2025-05-10
S0390,E0108,JH0174,42411.48,2021-04-09
S0391,E0108,JH0174,44500.91,2022-04-09
S0392,E0108,JH0175,51001.92,2022-12-17
S0393,E0108,JH0175,52904.82,2023-12-17
S0394,E0108,JH0176,58016.42,2024-08-19
S0395,E0109,JH0177,34528.52,2025-04-28
S0396,E0110,JH0178,27005.68,2023-07-03
S0397,E0110,JH0178,27376.75,2024-07-02
S0398,E0110,JH0179,32905.47,2024-08-06
S0399,E0110,JH0179,34076.87,2025-08-06
S0400,E0111,JH0180,38378.15,2022-04-18
S0401,E0111,JH0180,39655.88,2023-04-18
S0402,E0111,JH0180,41387.0,2024-04-17
S0403,E0111,JH0180,43037.2,2025-04-17
S0404,E0112,JH0181,54898.22,2021-12-25
S0405,E0112,JH0181,57425.45,2022-12-25
S0406,E0112,JH0181,58808.4,2023-12-25
S0407,E0112,JH0181,61060.4,2024-12-24
S0408,E0113,JH0182,39826.14,2022-06-05
S0409,E0113,JH0182,40231.21,2023-06-05
S0410,E0113,JH0183,45657.23,2023-12-18
S0411,E0113,JH0183,47643.14,2024-12-17
S0412,E0114,JH0184,26482.02,2025-06-30
S0413,E0115,JH0185,98095.19,2023-11-14
S0414,E0115,JH0185,102469.35,2024-11-13
S0415,E0116,JH0186,27448.29,2021-05-08
S0416,E0116,JH0186,28199.82,2022-05-08
S0417,E0116,JH0187,30337.01,2022-09-22
S0418,E0116,JH0187,31343.1,2023-09-22
S0419,E0116,JH0188,33256.36,2024-05-16
S0420,E0116,JH0188,34468.63,2025-05-16
S0421,E0117,JH0189,26348.2,2025-05-31
S0422,E0118,JH0190,27548.39,2024-06-05
S0423,E0118,JH0190,27925.38,2025-06-05
S0424,E0119,JH0191,44164.16,2024-09-14
S0425,E0120,JH0192,38535.33,2023-09-24
S0426,E0120,JH0192,40446.67,2024-09-23
S0427,E0120,JH0193,41255.1,2024-11-26
S0428,E0121,JH0194,25773.08,2024-04-19
S0429,E0122,JH0195,34895.82,2021-11-18
S0430,E0122,JH0195,35552.51,2022-11-18
S0431,E0122,JH0195,36788.08,2023-11-18
S0432,E0122,JH0195,38359.79,2024-11-17
S0433,E0123,JH0196,35691.28,2021-06-12
S0434,E0123,JH0196,37399.73,2022-06-12
S0435,E0123,JH0197,39063.49,2022-10-05
S0436,E0123,JH0197,39685.03,2023-10-05
S0437,E0123,JH0198,43563.31,2024-06-30
S0438,E0123,JH0198,44944.59,2025-06-30
S0439,E0124,JH0199,27219.96,2024-10-14
S0440,E0124,JH0199,28263.86,2025-10-14
S0441,E0125,JH0200,25276.63,2021-06-06
S0442,E0125,JH0200,25881.83,2022-06-06
S0443,E0125,JH0201,35527.73,2022-08-16
S0444,E0125,JH0201,36533.37,2023-08-16
S0445,E0125,JH0202,37279.7,2024-02-28
S0446,E0125,JH0202,38740.83,2025-02-27
S0447,E0126,JH0203,50657.42,2024-09-19
S0448,E0127,JH0204,27977.84,2022-10-04
S0449,E0127,JH0204,28413.53,2023-10-04
S0450,E0127,JH0204,28700.68,2024-10-03
S0451,E0127,JH0204,29888.48,2025-10-03
S0452,E0128,JH0205,34529.44,2021-04-26
S0453,E0128,JH0205,34921.39,2022-04-26
S0454,E0128,JH0206,37463.93,2022-10-18
S0455,E0128,JH0206,38267.23,2023-10-18
S0456,E0128,JH0207,42407.65,2024-06-13
S0457,E0128,JH0207,43284.61,2025-06-13
S0458,E0129,JH0208,26541.94,2022-10-25
S0459,E0129,JH0208,27430.31,2023-10-25
S0460,E0129,JH0208,28729.11,2024-10-24
S0461,E0129,JH0208,29790.99,2025-10-24
S0462,E0130,JH0209,29470.85,2022-08-13
S0463,E0130,JH0209,30350.13,2023-08-13
S0464,E0130,JH0209,31328.18,2024-08-12
S0465,E0130,JH0209,32328.83,2025-08-12
S0466,E0131,JH0210,34309.91,2024-03-23
S0467,E0131,JH0210,35848.44,2025-03-23
S0468,E0132,JH0211,21811.01,2021-11-06
S0469,E0132,JH0211,22819.58,2022-11-06
S0470,E0132,JH0212,26050.09,2023-07-09
S0471,E0132,JH0212,26473.48,2024-07-08
S0472,E0132,JH0212,27713.79,2025-07-08
S0473,E0133,JH0213,26866.73,2020-10-03
S0474,E0133,JH0213,28103.3,2021-10-03
S0475,E0133,JH0213,28758.33,2022-10-03
S0476,E0133,JH0214,31334.27,2023-03-16
S0477,E0133,JH0214,32076.51,2024-03-15
S0478,E0133,JH0214,32859.58,2025-03-15
S0479,E0134,JH0215,76015.42,2021-12-02
S0480,E0134,JH0215,79356.1,2022-12-02
S0481,E0134,JH0215,82476.52,2023-12-02
S0482,E0134,JH0215,84012.62,2024-12-01
S0483,E0135,JH0216,27015.75,2020-08-08
S0484,E0135,JH0216,28296.9,2021-08-08
S0485,E0135,JH0216,28991.76,2022-08-08
S0486,E0135,JH0217,31588.07,2023-07-27
S0487,E0135,JH0217,31979.03,2024-07-26
S0488,E0135,JH0217,32317.06,2025-07-26
S0489,E0136,JH0218,20318.87,2025-10-03
S0490,E0137,JH0219,37127.34,2020-02-24
S0491,E0137,JH0219,38725.91,2021-02-23
S0492,E0137,JH0219,39936.4,2022-02-23
S0493,E0137,JH0220,43295.04,2022-07-18
S0494,E0137,JH0220,44720.11,2023-07-18
S0495,E0137,JH0220,46030.46,2024-07-17
S0496,E0137,JH0220,47982.39,2025-07-17
S0497,E0138,JH0221,21961.64,2021-06-15
S0498,E0138,JH0221,22480.4,2022-06-15
S0499,E0138,JH0222,24407.49,2022-09-16
S0500,E0138,JH0222,25241.36,2023-09-16
S0501,E0138,JH0223,26658.85,2023-12-05
S0502,E0138,JH0223,27641.66,2024-12-04
S0503,E0139,JH0224,21053.71,2021-10-19
S0504,E0139,JH0224,21682.18,2022-10-19
S0505,E0139,JH0225,23516.57,2023-04-06
S0506,E0139,JH0225,24558.84,2024-04-05
S0507,E0139,JH0226,25114.98,2024-06-25
S0508,E0139,JH0226,26080.48,2025-06-25
S0509,E0140,JH0227,20895.36,2025-03-30
S0510,E0141,JH0228,34982.85,2021-09-30
S0511,E0141,JH0228,36620.39,2022-09-30
S0512,E0141,JH0229,37684.28,2022-11-20
S0513,E0141,JH0229,38526.92,2023-11-20
S0514,E0141,JH0230,39588.14,2024-04-09
S0515,E0142,JH0231,26375.19,2021-12-09
S0516,E0142,JH0231,26750.78,2022-12-09
S0517,E0142,JH0232,27111.64,2023-10-01
S0518,E0142,JH0232,28090.86,2024-09-30
S0519,E0142,JH0232,29475.02,2025-09-30
S0520,E0143,JH0233,20529.7,2021-07-29
S0521,E0143,JH0233,21236.75,2022-07-29
S0522,E0143,JH0233,21563.92,2023-07-29
S0523,E0143,JH0234,23001.92,2023-10-24
S0524,E0143,JH0234,23386.13,2024-10-23
S0525,E0144,JH0235,30968.57,2023-04-15
S0526,E0144,JH0235,32210.45,2024-04-14
S0527,E0144,JH0236,35793.27,2024-09-14
S0528,E0144,JH0236,36624.15,2025-09-14
S0529,E0145,JH0237,35372.65,2025-06-17
S0530,E0146,JH0238,40550.46,2024-04-20
S0531,E0146,JH0238,42167.4,2025-04-20
S0532,E0147,JH0239,20332.57,2020-12-25
S0533,E0147,JH0239,21176.25,2021-12-25
S0534,E0147,JH0240,22747.57,2022-06-14
S0535,E0147,JH0240,23545.99,2023-06-14
S0536,E0147,JH0241,24252.4,2023-12-28
S0537,E0147,JH0241,24903.95,2024-12-27
S0538,E0148,JH0242,26807.71,2021-06-08
S0539,E0148,JH0242,27327.72,2022-06-08
S0540,E0148,JH0243,29634.5,2022-11-27
S0541,E0148,JH0243,30403.66,2023-11-27
S0542,E0148,JH0244,37015.74,2024-03-06
S0543,E0148,JH0244,37781.07,2025-03-06
S0544,E0149,JH0245,20191.02,2023-09-21
S0545,E0149,JH0245,20641.01,2024-09-20
S0546,E0149,JH0246,22002.21,2024-12-29
S0547,E0150,JH0247,26794.48,2023-11-12
S0548,E0150,JH0247,27629.41,2024-11-11
