record_id,employee_id,service_code,department_id,service_date,quantity,notes
SR0163,E0037,S004,D001,2023-10-23,3,Sesión presencial
SR0164,E0114,S014,D005,2025-10-31,9,
SR0165,E0033,S020,D005,2025-02-23,3,
SR0166,E0027,S005,D003,2024-05-26,2,
SR0167,E0059,S011,D004,2025-05-07,5,
SR0168,E0009,S019,D006,2023-07-20,4,
SR0169,E0028,S010,D001,2022-06-12,7,
SR0170,E0016,S011,D004,2023-12-05,10,
SR0171,E0148,S015,D005,2023-08-06,7,
SR0172,E0129,S002,D006,2025-09-06,3,
SR0173,E0118,S012,D005,2025-05-21,3,
SR0174,E0079,S001,D004,2023-03-13,3,Formato online
SR0175,E0092,S012,D003,2025-02-13,4,
SR0176,E0005,S014,D003,2024-08-16,7,
SR0177,E0131,S021,D004,2024-01-22,1,
SR0178,E0124,S017,D004,2023-12-31,12,Certificado obtenido
SR0179,E0058,S021,D006,2025-03-13,5,Completado satisfactoriamente
SR0180,E0115,S008,D006,2022-09-14,3,
SR0181,E0098,S011,D001,2024-03-23,8,Renovación automática
SR0182,E0077,S012,D007,2024-05-18,1,
SR0183,E0067,S016,D005,2024-01-18,12,Sesión presencial
SR0184,E0037,S021,D005,2024-05-25,4,Renovación automática
SR0185,E0014,S016,D002,2025-01-23,6,
SR0186,E0114,S014,D004,2025-01-18,12,Certificado obtenido
SR0187,E0066,S006,D008,2024-08-07,1,
SR0188,E0041,S002,D001,2024-08-10,3,
SR0189,E0137,S018,D005,2021-12-28,4,Pendiente de feedback
SR0190,E0060,S016,D005,2022-07-18,7,En progreso
SR0191,E0080,S021,D004,2024-06-09,2,
SR0192,E0139,S007,D008,2024-09-27,5,Certificado obtenido
SR0193,E0142,S004,D006,2023-03-31,2,
SR0194,E0052,S016,D008,2025-03-28,7,
SR0195,E0079,S002,D002,2025-03-22,3,
SR0196,E0097,S013,D004,2020-12-02,6,
SR0197,E0115,S008,D001,2022-01-12,7,En progreso
SR0198,E0027,S016,D002,2024-03-13,12,
SR0199,E0030,S005,D001,2024-03-01,1,En progreso
SR0200,E0028,S006,D008,2025-09-10,3,
SR0201,E0146,S018,D007,2025-06-05,4,
SR0202,E0095,S019,D006,2023-04-04,2,Pendiente de feedback
SR0203,E0127,S010,D003,2023-05-11,9,
SR0204,E0127,S011,D005,2024-12-20,7,Formato online
SR0205,E0045,S016,D001,2024-09-07,9,
SR0206,E0036,S005,D002,2025-04-08,2,
SR0207,E0090,S013,D001,2021-03-26,9,Formato online
SR0208,E0137,S021,D003,2024-11-02,1,
SR0209,E0120,S008,D008,2023-04-18,4,Formato online
SR0210,E0038,S018,D001,2025-05-15,3,
SR0211,E0050,S008,D005,2023-03-17,12,
SR0212,E0060,S006,D002,2023-12-16,3,Sesión presencial
SR0213,E0004,S021,D007,2025-01-27,4,
SR0214,E0026,S002,D004,2024-05-19,3,
SR0215,E0097,S018,D001,2023-03-12,4,
SR0216,E0022,S019,D001,2024-11-19,5,
SR0217,E0053,S002,D003,2024-04-18,2,Sesión presencial
SR0218,E0049,S017,D005,2024-10-16,11,
SR0219,E0136,S020,D004,2023-04-30,5,
SR0220,E0118,S020,D005,2025-01-06,5,
SR0221,E0079,S006,D002,2025-05-08,1,En progreso
SR0222,E0101,S013,D002,2025-03-11,4,En progreso
SR0223,E0115,S004,D002,2024-10-13,3,Pendiente de feedback
SR0224,E0050,S020,D003,2024-06-18,3,
SR0225,E0081,S015,D001,2025-08-04,3,
SR0226,E0103,S009,D004,2021-08-16,3,
SR0227,E0112,S018,D002,2023-09-01,4,
SR0228,E0044,S015,D008,2021-12-30,5,
SR0229,E0001,S017,D004,2023-09-08,1,
SR0230,E0113,S017,D003,2025-06-24,6,
SR0231,E0095,S012,D001,2024-06-26,1,
SR0232,E0069,S001,D004,2025-08-15,3,
SR0233,E0066,S004,D006,2025-03-14,2,Certificado obtenido
SR0234,E0092,S017,D008,2024-08-25,5,
SR0235,E0042,S016,D001,2023-03-24,4,
SR0236,E0048,S009,D002,2024-03-25,4,Pendiente de feedback
SR0237,E0002,S018,D002,2021-06-30,2,
SR0238,E0059,S002,D001,2025-04-19,2,Certificado obtenido
SR0239,E0111,S021,D003,2025-04-12,1,
SR0240,E0065,S014,D007,2024-11-19,3,
SR0241,E0010,S014,D005,2025-05-17,4,Certificado obtenido
SR0242,E0115,S019,D007,2023-09-18,5,
SR0243,E0050,S004,D006,2022-09-27,3,
SR0244,E0079,S015,D008,2024-06-11,11,
SR0245,E0140,S010,D001,2025-04-24,4,
SR0246,E0085,S007,D004,2024-10-06,3,
SR0247,E0120,S005,D004,2024-02-28,2,
SR0248,E0022,S019,D001,2024-01-22,4,
SR0249,E0110,S001,D003,2025-01-15,3,Formato online
SR0250,E0106,S006,D006,2023-12-07,3,Sesión presencial
SR0251,E0005,S002,D007,2024-04-11,2,Pendiente de feedback
SR0252,E0004,S011,D001,2024-06-19,10,
SR0253,E0014,S011,D005,2023-12-07,12,Renovación automática
SR0254,E0025,S019,D007,2025-01-15,2,
SR0255,E0035,S008,D006,2023-03-27,4,
SR0256,E0109,S011,D005,2023-09-09,6,
SR0257,E0035,S012,D006,2024-03-22,7,
SR0258,E0051,S010,D005,2022-09-10,9,Formato online
SR0259,E0009,S013,D004,2021-07-21,5,
SR0260,E0090,S004,D002,2024-10-05,2,
SR0261,E0047,S007,D004,2021-01-22,11,Certificado obtenido
SR0262,E0090,S018,D006,2025-01-02,2,Certificado obtenido
SR0263,E0117,S021,D002,2024-02-19,4,Renovación automática
SR0264,E0132,S010,D003,2024-12-13,1,
SR0265,E0036,S006,D002,2024-03-05,1,
SR0266,E0001,S018,D002,2022-11-24,2,
SR0267,E0049,S018,D002,2022-02-26,1,Sesión presencial
SR0268,E0002,S003,D004,2025-06-09,1,
SR0269,E0102,S005,D004,2025-08-10,1,
SR0270,E0082,S015,D001,2025-01-27,2,Pendiente de feedback
SR0271,E0071,S017,D008,2025-01-04,4,
SR0272,E0029,S008,D007,2022-09-08,8,En progreso
SR0273,E0140,S014,D001,2025-07-06,8,
SR0274,E0066,S014,D005,2024-04-12,1,
SR0275,E0024,S007,D008,2024-06-11,6,
SR0276,E0131,S012,D003,2024-01-03,12,Certificado obtenido
SR0277,E0045,S019,D001,2024-06-17,2,
SR0278,E0063,S005,D007,2024-04-09,2,Completado satisfactoriamente
SR0279,E0088,S017,D006,2023-08-13,4,
SR0280,E0079,S019,D003,2024-08-16,4,
SR0281,E0115,S014,D008,2024-02-12,4,Renovación automática
SR0282,E0039,S003,D002,2023-11-21,1,Formato online
SR0283,E0087,S004,D008,2023-09-11,2,
SR0284,E0148,S001,D002,2024-02-09,2,
SR0285,E0131,S021,D007,2024-02-09,3,Formato online
SR0286,E0069,S020,D007,2023-11-12,3,Certificado obtenido
SR0287,E0030,S017,D003,2025-11-01,2,
SR0288,E0051,S014,D004,2025-10-01,12,Certificado obtenido
SR0289,E0009,S008,D007,2025-07-15,12,
SR0290,E0036,S004,D003,2022-09-01,3,
SR0291,E0093,S011,D003,2023-07-30,9,
SR0292,E0104,S005,D006,2025-02-02,3,Completado satisfactoriamente
SR0293,E0049,S015,D005,2022-12-23,5,Certificado obtenido
SR0294,E0129,S003,D001,2025-09-18,3,
SR0295,E0039,S005,D001,2025-03-28,3,
SR0296,E0070,S003,D002,2025-07-15,2,
SR0297,E0116,S018,D002,2022-12-07,2,Completado satisfactoriamente
SR0298,E0148,S018,D002,2022-02-28,3,
SR0299,E0022,S001,D005,2023-04-25,3,Certificado obtenido
SR0300,E0054,S020,D007,2024-02-21,4,
SR0301,E0029,S013,D005,2024-09-30,12,
SR0302,E0003,S014,D007,2025-02-05,7,En progreso
SR0303,E0103,S016,D001,2024-07-19,11,Renovación automática
SR0304,E0135,S002,D008,2024-01-02,1,
SR0305,E0078,S015,D004,2024-08-01,7,
SR0306,E0086,S008,D004,2022-07-29,7,
SR0307,E0100,S004,D004,2025-06-14,1,
SR0308,E0041,S011,D001,2025-03-15,7,
SR0309,E0083,S011,D004,2023-10-22,5,
SR0310,E0101,S017,D006,2023-12-15,3,
SR0311,E0079,S014,D008,2025-07-30,5,Certificado obtenido
SR0312,E0099,S008,D003,2022-11-14,1,
SR0313,E0098,S009,D005,2023-11-28,8,
SR0314,E0101,S008,D002,2024-04-20,3,
SR0315,E0105,S006,D001,2024-03-20,3,
SR0316,E0010,S008,D002,2023-12-06,12,
SR0317,E0142,S007,D002,2022-10-05,5,Sesión presencial
SR0318,E0025,S017,D006,2023-02-02,3,
SR0319,E0128,S005,D002,2024-10-30,3,Formato online
SR0320,E0033,S017,D002,2023-04-18,5,Formato online
SR0321,E0115,S009,D008,2023-02-04,10,
SR0322,E0019,S006,D008,2024-05-11,1,Pendiente de feedback
SR0323,E0073,S012,D003,2024-11-11,5,
SR0324,E0147,S010,D004,2021-12-19,7,En progreso
SR0325,E0011,S011,D002,2024-07-23,1,
SR0326,E0014,S011,D002,2023-03-25,7,
SR0327,E0034,S002,D001,2023-06-17,3,
SR0328,E0077,S012,D001,2025-04-25,6,
SR0329,E0019,S016,D008,2023-04-21,8,Completado satisfactoriamente
SR0330,E0030,S008,D008,2023-01-13,8,
SR0331,E0083,S007,D008,2023-05-19,4,
SR0332,E0127,S011,D001,2025-08-27,7,
SR0333,E0147,S003,D006,2025-07-14,1,
SR0334,E0099,S012,D004,2024-09-21,9,
SR0335,E0086,S003,D007,2023-05-06,3,
SR0336,E0039,S006,D003,2023-07-15,3,Pendiente de feedback
SR0337,E0082,S017,D005,2024-11-14,12,
SR0338,E0136,S010,D001,2021-02-08,9,
SR0339,E0113,S018,D002,2025-07-13,2,
SR0340,E0018,S008,D002,2025-05-17,9,
SR0341,E0081,S006,D008,2025-04-29,3,En progreso
SR0342,E0028,S004,D007,2025-02-24,1,Completado satisfactoriamente
SR0343,E0098,S014,D003,2025-05-19,9,
SR0344,E0083,S003,D003,2025-01-04,2,
SR0345,E0098,S014,D003,2024-01-27,7,
SR0346,E0029,S019,D001,2023-10-10,4,
SR0347,E0128,S014,D001,2024-08-23,3,
SR0348,E0083,S007,D003,2020-09-30,8,
SR0349,E0001,S015,D002,2022-02-01,4,Formato online
SR0350,E0013,S003,D003,2024-08-09,1,
SR0351,E0025,S008,D003,2023-08-31,1,
SR0352,E0111,S020,D004,2023-12-12,5,
SR0353,E0073,S008,D003,2023-06-19,1,
SR0354,E0095,S003,D008,2024-09-16,2,
SR0355,E0064,S019,D001,2024-03-16,1,
SR0356,E0023,S018,D001,2023-08-22,2,
SR0357,E0077,S016,D008,2024-02-10,10,
SR0358,E0077,S019,D001,2023-11-30,5,
SR0359,E0106,S004,D008,2025-07-27,2,
SR0360,E0101,S006,D003,2023-10-20,2,
SR0361,E0105,S002,D002,2024-03-28,1,
SR0362,E0118,S001,D007,2025-04-02,3,Pendiente de feedback
SR0363,E0036,S006,D004,2024-06-09,3,En progreso
SR0364,E0087,S013,D001,2021-03-21,10,
SR0365,E0075,S019,D008,2023-11-25,5,En progreso
SR0366,E0053,S017,D003,2023-11-26,11,Completado satisfactoriamente
SR0367,E0030,S018,D002,2022-07-16,5,
SR0368,E0064,S011,D001,2023-07-12,12,
SR0369,E0105,S006,D001,2024-03-10,1,Completado satisfactoriamente
SR0370,E0101,S014,D007,2025-06-07,10,
SR0371,E0035,S009,D002,2022-04-18,10,
SR0372,E0134,S001,D004,2025-05-17,2,
SR0373,E0106,S021,D005,2024-08-16,1,
SR0374,E0078,S009,D006,2024-09-29,2,
SR0375,E0124,S016,D003,2025-09-23,3,
SR0376,E0099,S001,D002,2025-07-12,3,Certificado obtenido
SR0377,E0123,S018,D005,2025-06-24,1,
SR0378,E0116,S015,D001,2024-05-29,10,
SR0379,E0135,S015,D003,2022-07-07,9,
SR0380,E0071,S020,D008,2023-11-20,5,
SR0381,E0072,S001,D005,2025-04-25,2,
SR0382,E0114,S002,D005,2024-05-28,2,
SR0383,E0112,S017,D007,2023-10-03,4,Pendiente de feedback
SR0384,E0087,S013,D006,2024-08-30,9,
SR0385,E0123,S002,D002,2023-06-25,1,
SR0386,E0068,S008,D005,2023-09-12,3,
SR0387,E0095,S012,D005,2024-02-10,12,Renovación automática
SR0388,E0028,S002,D004,2024-01-15,3,
SR0389,E0116,S012,D007,2024-06-06,11,
SR0390,E0137,S003,D007,2024-10-13,1,
SR0391,E0023,S016,D003,2022-06-08,7,
SR0392,E0038,S018,D003,2022-09-23,5,
SR0393,E0120,S010,D007,2022-09-30,9,
SR0394,E0092,S019,D003,2023-10-28,1,Renovación automática
SR0395,E0026,S011,D001,2024-12-10,4,
SR0396,E0029,S021,D007,2024-03-12,4,Completado satisfactoriamente
SR0397,E0102,S009,D005,2023-07-27,3,
SR0398,E0117,S007,D006,2024-10-15,4,
SR0399,E0131,S018,D004,2025-01-10,3,
SR0400,E0103,S021,D002,2024-11-17,5,Renovación automática
SR0401,E0013,S009,D006,2024-07-05,11,
SR0402,E0076,S019,D005,2023-04-05,5,
SR0403,E0064,S002,D004,2023-10-23,3,
SR0404,E0086,S011,D002,2023-12-18,8,
SR0405,E0117,S009,D002,2025-06-26,4,
SR0406,E0047,S011,D001,2025-10-29,6,Pendiente de feedback
SR0407,E0087,S019,D007,2024-04-16,4,
SR0408,E0012,S003,D007,2024-04-21,1,
SR0409,E0091,S007,D008,2024-02-26,5,
SR0410,E0003,S019,D004,2024-12-30,1,
SR0411,E0090,S010,D002,2020-06-15,8,Renovación automática
SR0412,E0058,S011,D008,2023-10-27,10,Sesión presencial
SR0413,E0097,S004,D001,2024-08-18,2,Completado satisfactoriamente
SR0414,E0023,S005,D006,2025-08-18,2,En progreso
SR0415,E0139,S008,D001,2024-07-25,1,
SR0416,E0004,S021,D008,2024-08-09,4,
SR0417,E0033,S009,D007,2021-01-03,12,
SR0418,E0073,S010,D006,2021-12-21,3,
SR0419,E0132,S019,D002,2023-11-19,5,
SR0420,E0047,S021,D004,2025-02-02,5,Renovación automática
SR0421,E0013,S014,D003,2025-03-25,12,
SR0422,E0113,S002,D004,2025-10-04,2,Formato online
SR0423,E0033,S020,D004,2023-09-29,2,Renovación automática
SR0424,E0036,S001,D007,2024-08-17,1,
SR0425,E0076,S008,D005,2023-11-14,12,
SR0426,E0035,S001,D008,2023-02-01,3,
SR0427,E0015,S019,D005,2025-08-08,5,
SR0428,E0137,S015,D005,2023-01-26,3,En progreso
SR0429,E0089,S008,D001,2023-05-31,9,
SR0430,E0148,S020,D005,2023-09-28,2,
SR0431,E0146,S016,D007,2023-07-25,1,
SR0432,E0092,S009,D003,2023-11-22,5,Completado satisfactoriamente
SR0433,E0003,S015,D003,2025-10-04,6,
SR0434,E0047,S014,D003,2024-10-22,11,
SR0435,E0098,S007,D002,2023-11-12,11,
SR0436,E0001,S008,D008,2024-06-17,2,
SR0437,E0029,S004,D001,2025-10-02,1,
SR0438,E0042,S015,D008,2023-11-24,4,
SR0439,E0037,S003,D004,2024-01-20,3,
SR0440,E0053,S020,D004,2023-05-23,1,
SR0441,E0070,S021,D004,2024-03-10,2,
SR0442,E0144,S003,D001,2025-02-05,1,Completado satisfactoriamente
SR0443,E0044,S005,D001,2024-04-25,1,
SR0444,E0099,S016,D001,2025-11-08,3,
SR0445,E0053,S007,D004,2021-06-30,5,
SR0446,E0026,S001,D004,2023-12-08,2,Formato online
SR0447,E0054,S019,D004,2025-06-29,3,
SR0448,E0070,S003,D004,2023-10-10,2,
SR0449,E0140,S015,D004,2023-01-03,8,Formato online
SR0450,E0043,S007,D008,2022-07-18,9,
SR0451,E0109,S011,D001,2023-02-09,5,
SR0452,E0116,S007,D006,2024-07-08,8,
SR0453,E0125,S009,D006,2022-11-26,6,
SR0454,E0067,S012,D002,2025-02-23,5,
SR0455,E0039,S004,D008,2024-06-07,3,
SR0456,E0144,S013,D006,2021-11-12,2,
SR0457,E0098,S019,D001,2023-06-05,2,Certificado obtenido
SR0458,E0116,S012,D002,2024-08-05,8,
SR0459,E0018,S020,D001,2025-09-29,3,
SR0460,E0023,S001,D005,2025-10-05,1,
SR0461,E0025,S020,D004,2025-03-03,3,
SR0462,E0069,S012,D004,2024-11-25,2,
SR0463,E0068,S014,D003,2025-10-18,4,
SR0464,E0060,S012,D008,2024-05-24,4,
SR0465,E0038,S011,D007,2024-04-17,11,
SR0466,E0114,S018,D008,2022-10-28,2,
SR0467,E0038,S019,D007,2024-02-17,4,Completado satisfactoriamente
SR0468,E0038,S004,D005,2023-06-10,1,Sesión presencial
SR0469,E0062,S002,D004,2024-05-17,1,
SR0470,E0077,S020,D007,2025-05-09,2,
SR0471,E0102,S011,D007,2025-06-16,12,
SR0472,E0043,S003,D003,2024-10-22,1,Formato online
SR0473,E0124,S013,D005,2025-11-07,7,
SR0474,E0117,S020,D006,2025-04-01,5,
SR0475,E0067,S009,D006,2021-07-05,1,
SR0476,E0077,S002,D006,2025-07-03,1,
SR0477,E0136,S021,D001,2024-07-07,2,
SR0478,E0123,S020,D005,2025-02-18,3,
SR0479,E0025,S015,D006,2023-09-27,10,
SR0480,E0083,S014,D006,2024-06-20,3,
SR0481,E0095,S009,D004,2022-10-23,11,En progreso
SR0482,E0073,S009,D008,2022-10-08,4,En progreso
SR0483,E0087,S005,D005,2024-08-13,1,
SR0484,E0043,S002,D002,2025-10-24,3,
SR0485,E0097,S001,D008,2023-02-16,3,Certificado obtenido
SR0486,E0078,S008,D004,2025-04-22,12,Certificado obtenido
SR0487,E0117,S017,D007,2024-01-17,11,Sesión presencial
SR0488,E0146,S001,D001,2025-01-02,3,
SR0489,E0144,S012,D004,2024-06-14,8,
SR0490,E0049,S006,D002,2024-09-12,3,
SR0491,E0134,S014,D004,2024-03-18,1,
SR0492,E0015,S001,D006,2024-08-03,2,Certificado obtenido
SR0493,E0009,S017,D008,2025-07-16,2,
SR0494,E0086,S011,D006,2024-12-25,9,
SR0495,E0101,S007,D001,2021-11-18,12,
SR0496,E0140,S021,D006,2025-01-25,3,
SR0497,E0149,S014,D006,2024-01-02,1,
SR0498,E0013,S010,D002,2022-01-14,1,
SR0499,E0092,S007,D001,2025-05-05,2,
SR0500,E0067,S003,D003,2025-01-02,1,
SR0501,E0028,S007,D008,2025-05-29,12,
SR0502,E0010,S009,D002,2021-03-05,7,
SR0503,E0113,S012,D001,2024-05-25,7,
SR0504,E0022,S010,D008,2023-06-10,9,
SR0505,E0070,S019,D004,2023-09-06,3,
SR0506,E0093,S002,D006,2024-03-21,2,
SR0507,E0147,S008,D004,2023-04-21,10,
SR0508,E0142,S011,D002,2024-05-16,10,
SR0509,E0058,S008,D008,2025-05-28,3,
SR0510,E0131,S007,D005,2022-04-17,12,
SR0511,E0148,S014,D006,2025-06-11,5,
SR0512,E0013,S002,D006,2024-02-14,1,
SR0513,E0012,S021,D008,2024-03-03,3,
SR0514,E0137,S019,D006,2024-07-22,1,
SR0515,E0029,S007,D008,2020-02-27,5,
SR0516,E0033,S001,D008,2024-02-23,2,
SR0517,E0009,S010,D003,2020-11-20,10,
SR0518,E0045,S004,D003,2024-09-22,1,Formato online
