id,department,category,brand,name,insert_date
251866,Platos Preparados,Platos preparados calientes,,Fideos orientales Yakisoba classic Maggi,2020-07-21 16:06:00
251868,Platos Preparados,Platos preparados calientes,,Fideos orientales Yakisoba curry Maggi,2020-07-21 16:06:00
251870,Platos Preparados,Platos preparados calientes,,Fideos orientales Yatekomo,2020-07-21 16:06:00
251908,Otros,Platos preparados frios,,Gazpacho fresco,2020-07-21 16:06:00
251923,Otros,Platos preparados frios,,Hummus de garbanzos con pimiento del piquillo asado,2020-07-21 16:06:00
251980,Frescos,Verdura,Hacendado,Pimientos del piquillo rellenos de bacalao ultracongelados,2020-07-21 16:06:00
252093,Pescadería,Pescado,Hacendado,Lomos de salmón de Noruega sin piel y sin espinas congelado,2020-07-21 16:06:00
252208,Panadería y Pastelería,Tartas y churros,,Tarta infantil Peppa Pig congelada,2020-07-21 16:06:00
252413,Bebidas,Refresco de naranja y de limon,,Refresco lima limón zero azúcar fresh gas,2020-07-21 16:06:00
252445,Bebidas,Tonica y bitter,,Soda cero calorías,2020-07-21 16:06:00
252480,Bebidas,Refresco de te y sin gas,,Refresco piña-coco Gold Spring cero sin gas,2020-07-21 16:06:00
252616,Bodega,Cerveza,,Cerveza Shandy sabor limón Steinburg,2020-07-21 16:06:00
252627,Bodega,Cerveza,,Bebida cider con gas Wild panther sabor a mora,2020-07-21 16:06:00
252752,Bodega,Vino blanco,,Mistela muy dulce de moscatel Mig Segle D.O Valencia,2020-07-21 16:06:00
252791,Bodega,Sidra y cava,,Cava brut Cabré & Sabaté Chardonnay,2020-07-21 16:06:00
252907,Cuidado Personal,Cuidado e higiene facial,,Pinza de cejas oblicua,2020-07-21 16:06:00
252963,Cuidado Personal,Cuidado e higiene facial,,Crema facial matificante hidratante,2020-07-21 16:06:00
253069,Cuidado Personal,Gel y jabon de manos,,Gel de baño jabón natural glicerina piel grasa,2020-07-21 16:06:00
253089,Cuidado Personal,Gel y jabon de manos,,Jabón de manos hidratante con avena líquido,2020-07-21 16:06:00
253205,Otros,Cuidado corporal,,Gel crema corporal hidratante aqua,2020-07-21 16:06:00
253207,Otros,Cuidado corporal,,Aceite corporal rosa mosqueta,2020-07-21 16:06:00
253211,Otros,Cuidado corporal,,Lote corporal mujer,2020-07-21 16:06:00
253246,Cuidado Personal,Higiene intima,,Compresa sin alas super plegada Classic,2020-07-21 16:06:00
253384,Cuidado Personal,Afeitado y cuidado para hombre,,Maquinilla de afeitar Fusion 5,2020-07-21 16:06:00
253445,Cuidado Personal,Manicura y pedicura,,Laca de uñas secado rápido 935 coral,2020-07-21 16:06:00
253451,Cuidado Personal,Manicura y pedicura,,Laca de uñas Glitter 942 turquesa,2020-07-21 16:06:00
253714,Cuidado Personal,Protector solar y aftersun,,Gel corporal efecto bronceado inmediato Solcare,2020-07-21 16:06:00
254001,Cuidado Personal,Peines y accesorios,,Pinza cabello varios colores grande,2020-07-21 16:06:00
254037,Maquillaje,Bases de maquillaje y corrector,,Maquillaje fluido natural radiante 02,2020-07-21 16:06:00
254209,Maquillaje,Ojos,,Sombra de ojos mate 02,2020-07-21 16:06:00
254410,Bebé,Alimentacion infantil,,"Papilla instantánea 8 cereales, plátano, naranja y galleta +6 meses",2020-07-21 16:06:00
254425,Panadería y Pastelería,Toallitas y panales,,Toallitas bebé pieles con tendencia atópica,2020-07-21 16:06:00
254504,Bebé,Biberon chupete y menaje,,Chupete silicona reversible +18 meses,2020-07-21 16:06:00
254573,Mascotas,Perro,,Snack perro corazones,2020-07-21 16:06:00
254883,Limpieza y Hogar,Lejia y liquidos fuertes,,Incrementador de pH para piscina,2020-07-21 16:06:00
254916,Limpieza y Hogar,Estropajo bayeta y guantes,,Guantes de látex talla grande,2020-07-21 16:06:00
254946,Limpieza y Hogar,Papel higienico y celulosa,,Pañuelos de papel mentol,2020-07-21 16:06:00
255067,Limpieza y Hogar,Insecticida y ambientador,,Barras de incienso Sonata aroma jazmín,2020-07-21 16:06:00
255108,Despensa,Menaje y conservacion de alimentos,,Tenedores de plástico,2020-07-21 16:06:00
255110,Despensa,Menaje y conservacion de alimentos,,Cucharas de plástico,2020-07-21 16:06:00
255150,Limpieza y Hogar,Utensilios de limpieza y calzado,,Fregona suave,2020-07-21 16:06:00
255307,Despensa,Especias,,Ñoras,2020-07-22 04:00:00
255510,Bebidas,Refresco de cola,,Refresco Zero azúcar,2020-07-22 04:00:00
255729,Frescos,Frutos secos y fruta desecada,Hacendado,Pipas girasol naturales,2020-07-22 04:00:00
255943,Despensa,Pasta y fideos,,Fideos orientales Yatekomo,2020-07-22 04:00:00
255999,Desayuno y Dulces,Chocolate,,Chocolate negro Valor 70% chocolate negro,2020-07-22 04:00:00
256047,Desayuno y Dulces,Chocolate,,Barritas de barquillo Huesitos bañadas de chocolate con leche,2020-07-22 04:00:00
256116,Desayuno y Dulces,Golosinas,,Golosinas animalitos de pica pica,2020-07-22 04:00:00
256269,Bebé,Biberon chupete y menaje,,Vaso para bebé +6 meses boquilla blanda Mickey,2020-07-22 04:00:00
256355,Bodega,Cerveza,,Cerveza Tostada 1897,2020-07-22 04:00:00
256359,Bodega,Cerveza,,Cerveza sin gluten Steinburg,2020-07-22 04:00:00
256382,Bodega,Cerveza,,Cerveza Especial Steinburg,2020-07-22 04:00:00
256401,Bodega,Cerveza,,Cerveza de trigo tostada Paulaner,2020-07-22 04:00:00
256502,Bodega,Licores,,Elixir a base de ron Almirante,2020-07-22 04:00:00
256522,Bodega,Licores,,Anís seco Tenis,2020-07-22 04:00:00
256556,Bodega,Sidra y cava,,Cava brut Cabré & Sabaté,2020-07-22 04:00:00
256774,Bebidas Calientes,Cafe molido y en grano,,Café molido mezcla fuerte,2020-07-22 04:00:00
256815,Bebidas Calientes,Cafe soluble y otras bebidas,,Crema de leche para café Campina,2020-07-22 04:00:00
256939,Carnicería,Aves y pollo,,Muslos de pollo rural deshuesados con piel,2020-07-22 04:00:00
257146,Desayuno y Dulces,Cereales,,"Copos de arroz, trigo integral y cebada con frutos rojos",2020-07-22 04:00:00
257291,Carnicería,Aves y jamon cocido,Hacendado,Jamón cocido extra sándwich lonchas,2020-07-22 04:00:00
257311,Charcutería y Quesos,Bacon y salchichas,,Salchichas cocidas estilo Frankfurt,2020-07-22 04:00:00
257379,Charcutería y Quesos,Embutido curado,,Mini chorizo ibérico extra La Hacienda del ibérico,2020-07-22 04:00:00
257471,Charcutería y Quesos,Queso curado semicurado y tierno,,Queso oveja viejo,2020-07-22 04:00:00
257614,Carnicería,Carne,Hacendado,Croquetas de cocido ultracongeladas,2020-07-22 04:00:00
257835,Platos Preparados,Pizzas,,Pizza masa fina jamón ultracongelada,2020-07-22 04:00:00
257907,Frescos,Verdura,Hacendado,Salteado de verduras asadas ultracongeladas,2020-07-22 04:00:00
258119,Despensa,Sopa y caldo,,Sopa de ave con fideos,2020-07-22 04:00:00
258504,Cuidado Personal,Afeitado y cuidado para hombre,,Exfoliante facial hombre,2020-07-22 04:00:00
258728,Cuidado Personal,Desodorante,,Desodorante mujer invisible antimanchas,2020-07-22 04:00:00
258784,Cuidado Personal,Gel y jabon de manos,,Jabón de manos glicerina 100% natural pastilla,2020-07-22 04:00:00
258839,Cuidado Personal,Higiene bucal,,Dentífrico blanqueador avanzado Licor del Polo 2 en 1,2020-07-22 04:00:00
258900,Cuidado Personal,Higiene intima,,Compresa con alas normal cotton like,2020-07-22 04:00:00
258995,Cuidado Personal,Manicura y pedicura,,Laca de uñas alto brillo 52 rojo lava,2020-07-22 04:00:00
259006,Cuidado Personal,Manicura y pedicura,,Laca de uñas Glitter 941 rosa,2020-07-22 04:00:00
259107,Cuidado Personal,Perfume y colonia,,Eau de toilette mujer Malú Live love music,2020-07-22 04:00:00
259347,Salud,Fitoterapia,,Bebida isotónica soluble Enervit Sport sabor limón,2020-07-22 04:00:00
259380,Salud,Parafarmacia,,Mascarillas higiénicas no reutilizables,2020-07-22 04:00:00
259479,Frescos,Verdura,,Patatas,2020-07-22 04:00:00
259491,Frescos,Verdura,,Yuca,2020-07-22 04:00:00
259515,Frescos,Verdura,,Zanahoria rallada base para ensalada,2020-07-22 04:00:00
259587,Lácteos y Huevos,Leche y bebidas vegetales,,Bebida láctea semidesnatada con fibra,2020-07-22 04:00:00
259619,Lácteos y Huevos,Leche y bebidas vegetales,,Leche entera,2020-07-22 04:00:00
259679,Lácteos y Huevos,Leche y bebidas vegetales,,Batido de chocolate Energy,2020-07-22 04:00:00
259827,Limpieza y Hogar,Estropajo bayeta y guantes,,Estropajo acero inoxidable,2020-07-22 04:00:00
259909,Limpieza y Hogar,Insecticida y ambientador,Brise,Ambientador by relax zen,2020-07-22 04:00:00
259929,Limpieza y Hogar,Insecticida y ambientador,,Ambientador perlas tiernos recuerdos,2020-07-22 04:00:00
259999,Limpieza y Hogar,Limpiahogar y friegasuelos,,Friegasuelos clásico concentrado,2020-07-22 04:00:00
260005,Limpieza y Hogar,Limpiahogar y friegasuelos,,Renovador suelos,2020-07-22 04:00:00
260059,Limpieza y Hogar,Limpieza cocina,,Rasqueta vitrocerámicas,2020-07-22 04:00:00
260143,Despensa,Menaje y conservacion de alimentos,,Tenedores de plástico,2020-07-22 04:00:00
260179,Limpieza y Hogar,Papel higienico y celulosa,,Servilleta papel decorada suavidad y absorción,2020-07-22 04:00:00
260247,Limpieza y Hogar,Utensilios de limpieza y calzado,,Fregona microfibra resistente,2020-07-22 04:00:00
260351,Maquillaje,Bases de maquillaje y corrector,,Maquillaje fluido natural radiante 03,2020-07-22 04:00:00
260523,Maquillaje,Ojos,,Sombra de ojos mate 02,2020-07-22 04:00:00
260632,Pescadería,Pescado congelado,Pescanova,Anguriñas de surimi ultracongeladas,2020-07-22 04:00:00
260645,Pescadería,Pescado congelado,Hacendado,Figuritas de merluza empanadas ultracongeladas,2020-07-22 04:00:00
260821,Mascotas,Gato,,Comida gato bolas de pelo Supreme con pollo y arroz,2020-07-22 04:00:00
260918,Mascotas,Pez y otros,,Barritas roedores de miel Natura,2020-07-22 04:00:00
260933,Panadería y Pastelería,Bolleria de horno,,Coca tradicional,2020-07-22 04:00:00
260987,Panadería y Pastelería,Bolleria envasada,,Napolitanas con crema de cacao,2020-07-22 04:00:00
261000,Panadería y Pastelería,Bolleria envasada,,Bizcocho mármol sin lactosa Ballará 0% azúcares añadidos,2020-07-22 04:00:00
261181,Panadería y Pastelería,Pan tostado y rallado,,Tortas cenceñas para gazpacho manchego Ruiz,2020-07-22 04:00:00
261308,Platos Preparados,Pizzas,,Pizza 4 quesos familiar,2020-07-22 04:00:00
261366,Platos Preparados,Platos preparados calientes,,Codillo de cerdo asado,2020-07-22 04:00:00
261382,Platos Preparados,Platos preparados calientes,,Fideos orientales Yakisoba classic Maggi,2020-07-22 04:00:00
261393,Platos Preparados,Platos preparados calientes,,Fabada,2020-07-22 04:00:00
261417,Otros,Platos preparados frios,,Gazpacho tradicional,2020-07-22 04:00:00
261713,Despensa,Aceite vinagre y sal,,Aceite de oliva virgen Casalbert,2020-07-22 16:00:00
261744,Despensa,Aceite vinagre y sal,,Sal sin sodio,2020-07-22 16:00:00
261961,Bebidas,Isotonico y energetico,,Bebida energética Red Bull,2020-07-22 16:00:00
262010,Bebidas,Refresco de cola,,Refresco Zero Zero,2020-07-22 16:00:00
262089,Bebidas,Refresco de te y sin gas,,Refresco té sabor limón,2020-07-22 16:00:00
262252,Aperitivos,Patatas fritas y snacks,,Pringles original,2020-07-22 16:00:00
262456,Desayuno y Dulces,Chicles y caramelos,,Caramelos cítricos mix Halls,2020-07-22 16:00:00
262524,Desayuno y Dulces,Chocolate,,Barritas de barquillo Meivel rellenas de turrón Viena,2020-07-22 16:00:00
262595,Desayuno y Dulces,Mermelada y miel,,Mermelada de fresa monodosis,2020-07-22 16:00:00
262788,Panadería y Pastelería,Toallitas y panales,,Pañales bebé talla 2 de 4-8 kg,2020-07-22 16:00:00
262892,Bodega,Cerveza,,Cerveza Corona,2020-07-22 16:00:00
262979,Bodega,Licores,,Licor crema Irlandesa Royal Swan,2020-07-22 16:00:00
263060,Bodega,Vino blanco,,Vino blanco Casón Histórico,2020-07-22 16:00:00
263123,Bodega,Vino tinto,,Vino tinto D.O Rioja Comportillo cosecha,2020-07-22 16:00:00
263206,Bebidas Calientes,Cafe capsula y monodosis,,Café en cápsula Colombia L'Or Espresso,2020-07-22 16:00:00
263305,Bebidas Calientes,Te e infusiones,,Té negro,2020-07-22 16:00:00
263336,Bebidas Calientes,Te e infusiones,,Infusión Detox,2020-07-22 16:00:00
263557,Carnicería,Empanados y elaborados,,Flautas de pollo y queso,2020-07-22 16:00:00
263558,Carnicería,Empanados y elaborados,,Flautas de bacón y queso,2020-07-22 16:00:00
263685,Desayuno y Dulces,Galletas,,Bizcochitos Lulu el osito,2020-07-22 16:00:00
263869,Charcutería y Quesos,Embutido curado,,Caña de lomo cebo ibérico La Hacienda del ibérico,2020-07-22 16:00:00
263917,Charcutería y Quesos,Pate y sobrasada,,Paté de cerdo light Argal,2020-07-22 16:00:00
263952,Charcutería y Quesos,Queso curado semicurado y tierno,,Queso viejo sabor intenso Valle de San Juan,2020-07-22 16:00:00
263998,Charcutería y Quesos,Queso lonchas rallado y en porciones,,Queso sin lactosa lonchas,2020-07-22 16:00:00
264598,Despensa,Sopa y caldo,,Sopa instantánea de verduras Sopinstant,2020-07-22 16:00:00
264654,Cuidado Personal,Acondicionador y mascarilla,,Mascarilla Argan Oil cabello seco y dañado,2020-07-22 16:00:00
264822,Cuidado Personal,Coloracion cabello,,Coloración permanente L'Oréal 7.3 rubio dorado,2020-07-22 16:00:00
264897,Cuidado Personal,Peines y accesorios,,Cepillo cabello de madera,2020-07-22 16:00:00
264902,Cuidado Personal,Peines y accesorios,,Gomas negras,2020-07-22 16:00:00
264956,Cuidado Personal,Afeitado y cuidado para hombre,,Recambios hojas de afeitar Personna,2020-07-22 16:00:00
264980,Otros,Cuidado corporal,,Aceite corporal aloe vera,2020-07-22 16:00:00
265286,Cuidado Personal,Higiene bucal,,Dentífrico pro-expert con flúor menta fresca,2020-07-22 16:00:00
265590,Cuidado Personal,Perfume y colonia,,Eau de toilette mujer Adolfo Dominguez Agua fresca de rosas blancas,2020-07-22 16:00:00
265644,Cuidado Personal,Perfume y colonia,,Eau de toilette hombre Victorio & Lucchino Nº 3 Seducción magnética,2020-07-22 16:00:00
265742,Cuidado Personal,Protector solar y aftersun,,Fluido solar facial antiedad Sisbela FPS 50+,2020-07-22 16:00:00
265747,Cuidado Personal,Protector solar y aftersun,,Protector solar Delial FPS 50+,2020-07-22 16:00:00
265799,Salud,Fitoterapia,,Polen,2020-07-22 16:00:00
265827,Salud,Parafarmacia,,Tira protectora tejido elástico para cortar Doctor San,2020-07-22 16:00:00
265858,Salud,Parafarmacia,,Preservativos natural On,2020-07-22 16:00:00
265926,Frescos,Lechuga y ensalada preparada,,Ensalada mezcla primavera,2020-07-22 16:00:00
266066,Lácteos y Huevos,Leche y bebidas vegetales,,Leche semidesnatada calcio,2020-07-22 16:00:00
266295,Limpieza y Hogar,Detergente y suavizante ropa,,Agua de plancha perfume ropa limpia,2020-07-22 16:00:00
266396,Limpieza y Hogar,Insecticida y ambientador,,Ambientador automático floral,2020-07-22 16:00:00
266536,Limpieza y Hogar,Limpieza cocina,,Crema limpiadora vitrocerámicas Frosch con naranja,2020-07-22 16:00:00
266633,Despensa,Menaje y conservacion de alimentos,,Cuchillos de plástico,2020-07-22 16:00:00
266665,Limpieza y Hogar,Papel higienico y celulosa,,Papel hogar compacto absorbente,2020-07-22 16:00:00
266943,Maquillaje,Labios,,Brillo de labios Hot Metal 02,2020-07-22 16:00:00
266970,Maquillaje,Ojos,,Perfilador de ojos 03 marrón,2020-07-22 16:00:00
267142,Pescadería,Pescado congelado,Nortindal,Tinta de sepia congelada,2020-07-22 16:00:00
267165,Pescadería,Pescado en bandeja,,Arreglo para paella de marisco,2020-07-22 16:00:00
267178,Pescadería,Pescado fresco,,Calamar grande sin limpiar descongelado,2020-07-22 16:00:00
267209,Pescadería,Pescado fresco,,Salmón media pieza a rodajas,2020-07-22 16:00:00
267332,Mascotas,Perro,,Paté perro adulto Delikuit con ternera y verduras,2020-07-22 16:00:00
267672,Panadería y Pastelería,Pan tostado y rallado,,Pan tostado vitalité Wasa,2020-07-22 16:00:00
267908,Otros,Platos preparados frios,,Ensaladilla de cangrejo,2020-07-22 16:00:00
267975,Cuidado Personal,Gelatina y otros postres,,Cheesecake con arándanos,2020-07-22 16:00:00
268026,Lácteos y Huevos,Yogures liquidos,,Bebida láctea de fresa y plátano,2020-07-22 16:00:00
268031,Lácteos y Huevos,Yogures liquidos,,Bebida láctea con fresa y plátano,2020-07-22 16:00:00
268151,Otros,Melocoton y pina,,Zumo de piña selección,2020-07-22 16:00:00
268298,Despensa,Mayonesa ketchup y mostaza,,Ketchup en sobres individuales,2020-07-23 04:00:00
268436,Bebidas,Isotonico y energetico,,Bebida energética energy Monster,2020-07-23 04:00:00
268564,Bebidas,Refresco de te y sin gas,,Refresco té sabor limón cero,2020-07-23 04:00:00
268589,Bebidas,Refresco de te y sin gas,,Refresco de manzana Gold Spring sin gas,2020-07-23 04:00:00
269575,Bodega,Vino blanco,,Mosto blanco Casón Histórico,2020-07-23 04:00:00
269895,Carnicería,Carne congelada,,Cuartos traseros de pollo congelados,2020-07-23 04:00:00
269916,Carnicería,Cerdo,,Chuletas de cerdo sajonia,2020-07-23 04:00:00
269972,Charcutería y Quesos,Embutido,,Embutido mixto,2020-07-23 04:00:00
270129,Desayuno y Dulces,Galletas,,Galletas Minis,2020-07-23 04:00:00
270248,Carnicería,Aves y jamon cocido,Hacendado,Fiambre magro sándwich lonchas,2020-07-23 04:00:00
270331,Charcutería y Quesos,Embutido curado,,Chorizo de Tarancón Bricio,2020-07-23 04:00:00
270341,Charcutería y Quesos,Embutido curado,,Morcón cebo ibérico cortado a máquina,2020-07-23 04:00:00
270651,Congelados,Helados,,Helado vainilla praliné con nueces pecán,2020-07-23 04:00:00
270669,Congelados,Helados,,Helado polvito sabor a galleta y merengue,2020-07-23 04:00:00
270710,Pescadería,Marisco,,Bocas chicas de cangrejos congeladas,2020-07-23 04:00:00
270717,Pescadería,Marisco,Hacendado,Buey de mar cocido congelado,2020-07-23 04:00:00
270973,Frescos,Conservas de verdura y frutas,Hacendado,Espárragos muy gruesos,2020-07-23 04:00:00
271064,Despensa,Gazpacho y cremas,,Crema de espárragos,2020-07-23 04:00:00
271116,Cuidado Personal,Acondicionador y mascarilla,,Acondicionador suavidad y brillo todo tipo de cabello,2020-07-23 04:00:00
271390,Cuidado Personal,Peines y accesorios,,Coletero para recogido castaño,2020-07-23 04:00:00
271614,Cuidado Personal,Depilacion,,Cera caliente en perlas piel normal,2020-07-23 04:00:00
271752,Cuidado Personal,Gel y jabon de manos,,Esponja de baño rizo suave,2020-07-23 04:00:00
271894,Cuidado Personal,Higiene intima,,Tampones regular con aplicador suave,2020-07-23 04:00:00
271959,Cuidado Personal,Manicura y pedicura,,Lima fibra de vidrio,2020-07-23 04:00:00
271967,Cuidado Personal,Manicura y pedicura,,Cepillo de uñas,2020-07-23 04:00:00
272134,Cuidado Personal,Perfume y colonia,,Eau de toilette hombre Limite Action Water,2020-07-23 04:00:00
272447,Frescos,Verdura,,Tomate rallado Bonnysa,2020-07-23 04:00:00
272502,Frescos,Verdura,,Acelgas,2020-07-23 04:00:00
272547,Lácteos y Huevos,Leche y bebidas vegetales,,Bebida láctea semidesnatada Folic-B Flora,2020-07-23 04:00:00
272704,Lácteos y Huevos,Mantequilla y margarina,,Leche de coco Dee Thai,2020-07-23 04:00:00
272772,Limpieza y Hogar,Detergente y suavizante ropa,,Agua destilada,2020-07-23 04:00:00
272876,Limpieza y Hogar,Insecticida y ambientador,Brise,Difusor ambientdor automático by con recambio,2020-07-23 04:00:00
272882,Limpieza y Hogar,Insecticida y ambientador,,Ambientador coche exótico,2020-07-23 04:00:00
272982,Limpieza y Hogar,Limpieza bano y wc,,Limpiador baños en gel,2020-07-23 04:00:00
273188,Limpieza y Hogar,Pilas y bolsas de basura,,Bolsa de basura envases 30L cubo mediano,2020-07-23 04:00:00
273229,Limpieza y Hogar,Utensilios de limpieza y calzado,,Cepillo de ropa,2020-07-23 04:00:00
273326,Maquillaje,Bases de maquillaje y corrector,,Maquillaje compacto 01,2020-07-23 04:00:00
273340,Maquillaje,Bases de maquillaje y corrector,,Corrector fluido acción global 01,2020-07-23 04:00:00
273370,Maquillaje,Labios,,Perfilador de labios 03 terracota,2020-07-23 04:00:00
273512,Maquillaje,Pinceles y brochas,,Pincel pestañas y cejas,2020-07-23 04:00:00
273564,Pescadería,Marisco,Pescanova,Muslitos de surimi ultracongelados,2020-07-23 04:00:00
273678,Pescadería,Pescado fresco,,Lubina a filetes sin cabeza y sin espina,2020-07-23 04:00:00
273781,Mascotas,Gato,,Comida gato tracto urinário Supreme con pollo y arroz,2020-07-23 04:00:00
273791,Mascotas,Gato,,Pipetas anti-insectos para gato Krislin,2020-07-23 04:00:00
274086,Panadería y Pastelería,Pan de horno,,Barra pan de aceite de oliva rebanada,2020-07-23 04:00:00
274248,Otros,Velas y decoracion,,Almendra cubitos,2020-07-23 04:00:00
274318,Desayuno y Dulces,Azucar y edulcorante,,Azúcar blanco,2020-07-23 16:00:00
274369,Platos Preparados,Platos preparados calientes,,Seitán,2020-07-23 04:00:00
274760,Despensa,Mayonesa ketchup y mostaza,,Mayonesa,2020-07-23 16:00:00
274790,Despensa,Otras salsas,,Tomate frito,2020-07-23 16:00:00
274802,Despensa,Otras salsas,,Salsa chimichurri,2020-07-23 16:00:00
274862,Bebidas,Agua,,Agua mineral Aquarel grande,2020-07-23 16:00:00
274899,Bebidas,Isotonico y energetico,,Bebida isotónica limón zero azúcar,2020-07-23 16:00:00
274919,Bebidas,Isotonico y energetico,,Bebida energética original Burn,2020-07-23 16:00:00
274979,Bebidas,Refresco de naranja y de limon,,Refresco de limón fresh gas,2020-07-23 16:00:00
274999,Bebidas,Refresco de naranja y de limon,,Refresco naranja,2020-07-23 16:00:00
275088,Despensa,Aceitunas y encurtidos,,Aceitunas manzanilla aliñadas sin hueso,2020-07-23 16:00:00
275099,Despensa,Aceitunas y encurtidos,,Aceitunas Bernal partida con hueso,2020-07-23 16:00:00
275176,Frescos,Frutos secos y fruta desecada,Hacendado,Cocktail mix natural,2020-07-23 16:00:00
275270,Despensa,Arroz,,Arroz arborio especial risotto,2020-07-23 16:00:00
275353,Despensa,Pasta y fideos,,Gnocchi frescos al pesto,2020-07-23 16:00:00
275407,Desayuno y Dulces,Chicles y caramelos,,Caramelos café Dolis 0% azúcares,2020-07-23 16:00:00
275414,Desayuno y Dulces,Chicles y caramelos,,Caramelos blandos,2020-07-23 16:00:00
275630,Bebé,Alimentacion infantil,,Preparado lácteo crecimiento Junior,2020-07-23 16:00:00
275756,Panadería y Pastelería,Toallitas y panales,,Pañal bañador desechable talla M de 11-18 kg,2020-07-23 16:00:00
275827,Bodega,Cerveza,,Cerveza Salvator Paulaner,2020-07-23 16:00:00
276055,Bodega,Vino blanco,,Vino dulce Pedro Ximénez Málaga Virgen,2020-07-23 16:00:00
276078,Bodega,Vino tinto,,Vino tinto Cabernet Sauvignon,2020-07-23 16:00:00
276294,Otros,Arreglos,,Arreglo para arroz al horno,2020-07-23 16:00:00
276297,Otros,Arreglos,,Hueso vacuno,2020-07-23 16:00:00
276553,Desayuno y Dulces,Cereales,,Cereales rellenos de chocolate negro,2020-07-23 16:00:00
276637,Desayuno y Dulces,Galletas,,Galletas caocream rellenas de crema,2020-07-23 16:00:00
276689,Carnicería,Aves y jamon cocido,Hacendado,Pechuga de pavo bajo en sal finas lonchas,2020-07-23 16:00:00
276780,Charcutería y Quesos,Embutido curado,,Salchichón extra lonchas,2020-07-23 16:00:00
