ticket_id,store_id,customer_id,ticket_datetime,channel,payment_method,total_amount
73,39,2069,2021-09-25 00:45:48,Tienda,Tarjeta crédito,1532.54
74,54,1309,2025-12-22 20:35:37,Tienda,Tarjeta débito,784.54
75,50,2830,2021-11-11 14:38:29,Tienda,Tarjeta débito,652.59
76,55,2561,2022-02-21 09:32:52,Tienda,Tarjeta crédito,1715.31
77,66,984,2021-03-29 12:44:01,Tienda,Efectivo,1964.49
78,58,1727,2024-06-27 09:19:10,Tienda,Efectivo,415.93
79,33,2740,2024-03-19 12:10:20,Tienda,Tarjeta débito,677.56
80,99,1098,2021-04-19 14:56:58,Tienda,Efectivo,1505.86
81,98,2523,2022-09-29 02:21:01,Tienda,Tarjeta débito,611.21
82,89,4390,2023-04-06 04:38:40,Tienda,Efectivo,648.06
83,16,,2025-10-07 12:46:15,Tienda,Tarjeta crédito,2270.98
84,1,1076,2021-01-26 16:50:48,Online,Tarjeta crédito,1509.1
85,58,,2022-02-22 07:41:33,Tienda,Tarjeta crédito,801.95
86,35,3331,2024-11-09 07:34:34,Tienda,Efectivo,721.82
87,82,,2023-09-12 20:22:39,Tienda,Efectivo,1438.42
88,81,4182,2024-07-23 21:21:04,Tienda,Tarjeta débito,2180.01
89,96,2282,2025-11-05 21:30:37,Tienda,Efectivo,937.38
90,76,3868,2025-05-01 20:47:25,Tienda,Tarjeta débito,903.97
91,43,967,2021-12-14 14:48:42,Tienda,Tarjeta crédito,1071.93
92,46,1794,2022-02-26 20:50:48,Tienda,Tarjeta débito,813.55
93,36,881,2024-08-12 20:44:37,Tienda,Tarjeta crédito,1775.11
94,16,1909,2023-04-22 22:24:47,Tienda,Tarjeta crédito,2250.71
95,5,,2022-10-10 01:19:59,Tienda,Tarjeta crédito,1356.43
96,74,1018,2025-03-13 23:53:16,Tienda,Efectivo,1934.11
97,61,2888,2025-05-10 15:11:49,Tienda,Efectivo,1248.61
98,28,3238,2024-10-28 13:40:50,Tienda,Efectivo,1263.34
99,13,,2021-01-27 04:29:32,Tienda,Tarjeta crédito,878.2
100,1,4580,2022-08-23 15:13:35,Online,Tarjeta crédito,820.5
101,24,2204,2022-02-18 23:06:50,Tienda,Tarjeta débito,2593.18
102,22,3560,2021-07-30 17:01:52,Tienda,Tarjeta crédito,728.36
103,31,1121,2024-01-12 08:42:07,Tienda,Tarjeta débito,620.48
104,1,2487,2021-07-25 22:32:58,Tienda,Efectivo,1264.71
105,1,2095,2021-11-06 18:31:38,Online,Tarjeta débito,693.04
106,52,890,2025-09-08 09:28:50,Tienda,Tarjeta crédito,677.04
107,1,4351,2021-11-03 22:22:01,Online,Tarjeta débito,1088.45
108,37,1116,2021-03-29 11:51:25,Tienda,Tarjeta crédito,549.28
109,79,3489,2023-03-06 14:47:49,Tienda,Tarjeta crédito,1706.29
110,24,,2021-08-31 17:41:31,Tienda,Tarjeta débito,2250.79
111,19,,2021-02-13 11:04:45,Tienda,Tarjeta débito,1773.41
112,96,1926,2022-06-20 14:25:48,Tienda,Tarjeta débito,505.16
113,76,3776,2021-04-21 03:02:53,Tienda,Efectivo,1594.42
114,75,4332,2022-10-31 07:55:51,Tienda,Efectivo,2240.22
115,20,1915,2022-06-12 15:49:55,Tienda,Efectivo,1601.58
116,20,4046,2023-11-08 11:54:07,Tienda,Efectivo,551.46
117,58,617,2025-11-10 18:50:03,Tienda,Tarjeta débito,416.48
118,77,3511,2023-11-20 02:59:57,Tienda,Tarjeta débito,819.79
119,43,,2021-10-25 13:51:04,Tienda,Tarjeta débito,721.4
120,46,604,2021-03-22 18:27:59,Tienda,Tarjeta débito,1243.22
121,64,,2021-04-18 12:30:22,Tienda,Tarjeta crédito,995.29
122,21,,2022-09-27 09:47:50,Tienda,Tarjeta crédito,1240.41
123,80,,2025-05-02 09:21:36,Tienda,Tarjeta débito,440.01
124,91,140,2022-07-31 18:09:46,Tienda,Efectivo,827.99
125,1,3108,2023-05-18 20:11:11,Online,Tarjeta crédito,318.87
126,69,,2022-06-04 10:07:58,Tienda,Tarjeta crédito,181.3
127,9,3211,2024-11-13 23:27:48,Tienda,Tarjeta débito,1510.5
128,57,,2022-03-26 13:35:42,Tienda,Efectivo,1102.59
129,39,669,2022-07-25 15:12:49,Tienda,Tarjeta débito,928.98
130,90,1788,2023-11-30 13:19:13,Tienda,Efectivo,1227.64
131,83,568,2022-03-17 22:01:45,Tienda,Tarjeta crédito,1702.89
132,93,2994,2023-08-06 21:13:37,Tienda,Tarjeta crédito,1113.52
133,66,4850,2021-03-12 05:28:21,Tienda,Efectivo,320.7
134,58,793,2023-09-09 04:13:21,Tienda,Efectivo,324.54
135,17,495,2024-12-17 15:02:44,Tienda,Tarjeta crédito,2141.43
136,79,,2022-02-21 03:01:52,Tienda,Tarjeta débito,228.85
137,96,3623,2021-12-14 19:21:19,Tienda,Tarjeta débito,1277.86
138,1,1188,2023-09-21 04:15:30,Online,Tarjeta débito,891.97
139,60,2620,2023-06-07 03:05:24,Tienda,Tarjeta crédito,1165.76
140,76,2775,2025-01-28 02:33:14,Tienda,Tarjeta crédito,2088.76
141,71,4783,2022-10-27 13:05:09,Tienda,Tarjeta débito,105.33
142,8,210,2025-06-21 17:31:45,Tienda,Tarjeta débito,936.53
143,35,,2022-12-18 19:49:31,Tienda,Tarjeta débito,74.0
144,79,4227,2025-11-12 18:59:25,Tienda,Efectivo,1039.69
145,87,1648,2021-09-24 10:17:02,Tienda,Tarjeta débito,46.28
146,7,3113,2024-05-06 03:02:47,Tienda,Tarjeta crédito,96.18
147,88,,2022-09-06 05:45:22,Tienda,Tarjeta débito,1417.01
148,37,995,2024-09-19 20:31:55,Tienda,Tarjeta débito,77.12
149,6,541,2022-11-27 22:45:29,Tienda,Tarjeta crédito,639.09
150,57,2932,2022-08-06 12:23:28,Tienda,Efectivo,2226.83
151,2,,2022-06-02 07:07:05,Tienda,Efectivo,573.37
152,68,3349,2021-02-15 04:32:25,Tienda,Tarjeta débito,1574.89
153,1,364,2021-01-07 03:30:56,Tienda,Efectivo,627.26
154,1,4577,2023-02-12 13:56:30,Online,Tarjeta crédito,1409.85
155,56,2,2021-01-16 00:05:43,Tienda,Efectivo,57.03
156,81,4029,2022-01-12 22:07:54,Tienda,Tarjeta débito,908.4
157,1,,2021-10-14 21:45:47,Tienda,Tarjeta débito,2132.48
158,88,,2023-01-01 10:05:56,Tienda,Efectivo,1534.71
159,26,4930,2021-05-19 23:16:03,Tienda,Tarjeta débito,2688.06
160,1,2651,2023-07-22 16:39:04,Online,Tarjeta débito,1711.76
161,78,65,2024-04-22 01:14:48,Tienda,Efectivo,881.14
162,1,1088,2023-05-12 15:13:31,Online,Tarjeta débito,951.64
163,16,4660,2024-10-16 15:30:16,Tienda,Efectivo,468.46
164,74,4168,2021-10-15 06:49:58,Tienda,Tarjeta crédito,144.56
165,90,28,2023-10-22 10:09:32,Tienda,Tarjeta crédito,1234.62
166,81,4393,2022-04-12 06:52:03,Tienda,Efectivo,881.67
167,35,2286,2021-08-01 13:17:12,Tienda,Tarjeta débito,1363.47
168,32,4517,2021-04-04 02:49:27,Tienda,Tarjeta débito,10.13
169,81,1283,2023-05-31 10:36:33,Tienda,Tarjeta crédito,1305.47
170,36,222,2024-10-04 01:19:55,Tienda,Efectivo,183.02
171,13,,2022-03-05 14:09:43,Tienda,Tarjeta débito,879.41
172,3,1925,2025-04-25 04:20:03,Tienda,Efectivo,1566.66
173,91,,2024-10-19 23:13:35,Tienda,Tarjeta crédito,1357.59
174,38,2963,2024-04-30 01:11:27,Tienda,Efectivo,142.29
175,1,2255,2025-03-24 18:06:26,Online,Tarjeta crédito,68.9
176,18,3642,2022-08-22 13:16:41,Tienda,Tarjeta débito,689.93
177,29,3436,2021-02-24 01:12:11,Tienda,Efectivo,1874.04
178,21,3949,2025-09-10 22:47:08,Tienda,Tarjeta crédito,2469.54
179,78,,2024-07-24 18:30:48,Tienda,Efectivo,1518.87
180,88,2346,2025-10-20 17:14:56,Tienda,Efectivo,1766.49
181,55,,2021-04-09 12:15:23,Tienda,Efectivo,1123.7
182,23,,2023-04-02 18:42:42,Tienda,Tarjeta débito,223.76
183,7,,2025-10-11 16:46:10,Tienda,Efectivo,1664.09
184,63,,2021-10-06 18:50:01,Tienda,Tarjeta crédito,453.46
185,23,,2022-01-31 01:09:36,Tienda,Tarjeta crédito,532.24
186,88,2874,2021-10-06 06:55:13,Tienda,Efectivo,503.56
187,1,1945,2021-02-05 19:36:57,Online,Tarjeta crédito,1417.73
188,60,1995,2023-03-15 06:47:45,Tienda,Tarjeta débito,1900.19
189,6,3701,2022-07-07 02:35:49,Tienda,Efectivo,1245.07
190,58,4752,2024-04-04 09:04:46,Tienda,Efectivo,2350.36
191,12,1746,2024-02-11 23:16:48,Tienda,Tarjeta débito,2077.2
192,88,4295,2025-03-09 00:36:53,Tienda,Efectivo,427.01
193,49,3739,2021-09-16 02:27:28,Tienda,Tarjeta débito,397.17
194,76,,2023-09-15 12:38:15,Tienda,Efectivo,1482.51
195,17,243,2024-05-09 20:44:46,Tienda,Tarjeta débito,399.21
196,71,3257,2024-04-18 16:38:23,Tienda,Tarjeta débito,951.56
197,56,4874,2023-05-08 16:40:13,Tienda,Efectivo,1939.98
198,87,2326,2025-08-23 16:07:40,Tienda,Tarjeta débito,1497.75
199,36,2582,2025-01-10 12:10:39,Tienda,Tarjeta débito,861.69
200,92,,2021-07-06 16:35:59,Tienda,Tarjeta crédito,449.79
201,2,,2021-12-05 04:40:30,Tienda,Tarjeta crédito,783.54
202,80,4520,2022-03-29 06:48:56,Tienda,Efectivo,1098.5
203,36,1463,2021-06-16 16:15:10,Tienda,Tarjeta débito,635.36
204,53,1188,2022-04-14 13:38:53,Tienda,Efectivo,68.86
205,89,3226,2024-01-12 22:11:12,Tienda,Efectivo,1793.83
206,81,239,2024-05-26 17:30:42,Tienda,Tarjeta crédito,18.75
207,38,4554,2022-01-20 09:35:20,Tienda,Efectivo,1231.34
208,86,1575,2025-08-26 13:03:15,Tienda,Tarjeta crédito,942.49
209,19,1509,2024-08-25 23:07:50,Tienda,Efectivo,1910.36
210,48,2495,2025-04-04 19:43:09,Tienda,Tarjeta crédito,977.68
211,9,1281,2025-12-28 18:30:53,Tienda,Tarjeta débito,1665.71
212,56,4184,2023-12-16 01:48:35,Tienda,Efectivo,1942.27
213,6,,2022-05-16 04:52:14,Tienda,Tarjeta débito,297.5
214,92,2740,2022-08-03 09:33:40,Tienda,Efectivo,2368.55
215,16,2678,2023-08-25 02:30:42,Tienda,Tarjeta crédito,620.11
216,75,3841,2025-03-24 02:29:36,Tienda,Efectivo,2150.28
217,90,4278,2021-06-14 06:22:33,Tienda,Efectivo,1685.32
218,8,3113,2021-11-23 07:56:42,Tienda,Tarjeta crédito,260.38
219,83,2316,2021-09-07 02:47:46,Tienda,Efectivo,1974.18
220,5,2304,2023-07-15 06:37:23,Tienda,Tarjeta débito,2385.39
221,32,,2025-03-23 04:55:24,Tienda,Tarjeta crédito,48.76
222,64,200,2021-05-22 15:13:34,Tienda,Tarjeta crédito,233.47
223,88,804,2024-01-08 06:12:18,Tienda,Tarjeta crédito,334.8
224,7,4254,2021-11-03 02:20:44,Tienda,Tarjeta crédito,1493.04
225,89,1341,2024-02-07 22:54:50,Tienda,Efectivo,16.12
226,10,,2024-09-21 10:03:22,Tienda,Tarjeta débito,1130.92
227,75,,2022-01-06 21:36:26,Tienda,Efectivo,1073.0
228,22,1690,2025-06-12 14:51:15,Tienda,Tarjeta crédito,453.68
229,1,2437,2021-06-24 17:24:59,Online,Tarjeta débito,485.1
230,58,,2021-03-27 09:49:51,Tienda,Tarjeta crédito,1054.07
231,15,4860,2022-04-26 09:57:12,Tienda,Efectivo,998.0
232,94,3986,2023-02-20 19:20:45,Tienda,Tarjeta débito,942.33
233,16,1231,2023-11-19 18:20:17,Tienda,Efectivo,729.79
234,1,1427,2021-01-22 16:01:38,Online,Tarjeta débito,5.52
235,78,,2025-09-02 19:27:45,Tienda,Tarjeta débito,573.25
236,64,3594,2021-04-08 19:09:25,Tienda,Efectivo,1124.28
237,34,4762,2022-08-27 05:13:12,Tienda,Efectivo,1182.98
238,55,758,2022-01-13 14:48:14,Tienda,Tarjeta débito,295.6
239,54,1917,2025-09-10 09:46:44,Tienda,Tarjeta débito,2025.23
240,35,4273,2021-03-03 21:34:27,Tienda,Tarjeta débito,585.51
241,95,325,2024-09-19 11:54:40,Tienda,Tarjeta crédito,94.72
242,33,805,2022-03-18 07:05:16,Tienda,Efectivo,153.76
243,15,739,2022-03-28 02:16:19,Tienda,Tarjeta débito,1617.9
244,1,962,2022-11-08 00:21:35,Online,Tarjeta débito,1122.97
245,91,65,2022-05-02 08:31:27,Tienda,Tarjeta débito,1180.22
246,98,3360,2025-07-31 02:37:21,Tienda,Efectivo,1516.53
247,38,1388,2025-04-13 23:25:15,Tienda,Efectivo,916.33
248,2,1821,2024-08-13 16:44:17,Tienda,Tarjeta crédito,1464.09
249,10,1154,2022-12-12 08:07:26,Tienda,Efectivo,885.61
250,52,4641,2025-01-19 17:21:09,Tienda,Tarjeta crédito,989.48
251,100,1545,2023-06-23 11:44:32,Tienda,Tarjeta débito,858.34
252,33,,2023-10-23 06:11:57,Tienda,Efectivo,1941.77
253,12,,2023-10-10 09:15:33,Tienda,Efectivo,2371.75
254,37,3021,2023-03-18 11:26:22,Tienda,Efectivo,109.36
255,82,3797,2023-09-22 09:12:07,Tienda,Tarjeta débito,1992.08
256,48,620,2022-03-02 01:43:15,Tienda,Tarjeta crédito,105.43
257,62,4509,2021-11-02 23:14:33,Tienda,Efectivo,484.35
258,52,2831,2025-04-24 05:31:08,Tienda,Efectivo,1428.77
259,35,,2021-05-22 17:15:34,Tienda,Tarjeta crédito,1189.36
260,64,,2024-04-06 00:49:34,Tienda,Efectivo,1653.89
261,39,4225,2023-05-21 12:00:12,Tienda,Tarjeta débito,2045.07
262,64,,2024-01-18 14:05:55,Tienda,Efectivo,1175.16
263,4,886,2025-04-03 13:42:12,Tienda,Tarjeta débito,514.95
264,54,2983,2025-07-10 11:53:05,Tienda,Tarjeta crédito,228.38
265,67,1689,2022-11-04 16:22:55,Tienda,Efectivo,161.04
266,42,45,2022-07-31 23:43:10,Tienda,Tarjeta débito,24.56
267,10,3530,2023-10-05 14:52:29,Tienda,Tarjeta crédito,581.97
268,24,692,2025-10-15 00:10:24,Tienda,Efectivo,484.35
269,55,4147,2022-04-04 06:26:22,Tienda,Tarjeta débito,246.67
270,74,4952,2024-10-26 01:06:54,Tienda,Tarjeta débito,894.32
271,18,,2024-03-18 01:34:16,Tienda,Tarjeta crédito,1047.34
272,67,2220,2023-11-17 22:17:34,Tienda,Efectivo,2159.63
273,56,1466,2024-01-18 16:26:47,Tienda,Tarjeta crédito,764.84
274,75,1921,2025-01-16 08:14:54,Tienda,Tarjeta crédito,1882.64
275,1,636,2023-03-29 21:03:45,Online,Tarjeta crédito,740.34
276,31,,2023-11-06 14:14:51,Tienda,Tarjeta débito,1672.3
277,35,,2021-03-20 21:54:44,Tienda,Tarjeta crédito,2078.15
278,85,1642,2022-09-14 10:11:03,Tienda,Tarjeta crédito,1410.98
279,11,1765,2024-10-28 03:36:27,Tienda,Tarjeta débito,367.34
280,2,2009,2024-07-02 11:12:29,Tienda,Tarjeta débito,1380.02
281,1,4655,2025-04-02 20:38:35,Online,Tarjeta crédito,1344.72
282,21,969,2025-12-28 19:15:50,Tienda,Tarjeta crédito,74.15
283,32,2177,2022-04-03 05:14:13,Tienda,Efectivo,296.3
284,56,3934,2024-11-16 00:11:30,Tienda,Tarjeta crédito,910.27
285,8,2424,2022-04-03 09:53:41,Tienda,Tarjeta débito,703.98
286,10,2780,2025-03-03 16:11:16,Tienda,Tarjeta débito,890.8
287,68,,2022-05-26 17:11:11,Tienda,Efectivo,974.95
288,21,1546,2021-12-21 05:57:03,Tienda,Tarjeta débito,432.28
289,78,1956,2021-04-11 14:34:20,Tienda,Tarjeta débito,1064.96
290,14,1576,2022-10-07 03:40:14,Tienda,Tarjeta crédito,1237.72
291,23,,2022-07-14 19:24:22,Tienda,Tarjeta crédito,120.95
292,80,3348,2021-10-25 04:34:49,Tienda,Tarjeta débito,261.36
293,55,3308,2021-07-08 02:56:12,Tienda,Tarjeta débito,1573.64
294,10,3189,2022-11-03 04:56:01,Tienda,Efectivo,1544.94
295,25,792,2023-11-30 21:40:55,Tienda,Tarjeta crédito,1127.07
296,1,1827,2022-10-11 08:12:08,Online,Tarjeta débito,1256.29
297,63,,2023-05-19 21:10:57,Tienda,Tarjeta débito,37.93
298,15,1725,2022-05-12 19:43:49,Tienda,Tarjeta crédito,716.59
299,61,2928,2025-09-21 23:14:10,Tienda,Efectivo,1244.41
300,80,,2024-05-20 14:33:07,Tienda,Tarjeta débito,1147.82
301,21,4161,2021-12-04 19:10:35,Tienda,Tarjeta crédito,295.44
302,85,,2024-12-06 10:30:33,Tienda,Tarjeta crédito,1381.31
303,69,,2021-09-28 07:41:07,Tienda,Efectivo,1679.74
304,16,2078,2023-12-18 09:21:34,Tienda,Tarjeta crédito,1984.67
305,1,,2025-10-16 20:08:55,Online,Tarjeta crédito,1533.58
306,1,3925,2024-11-07 01:30:21,Online,Tarjeta crédito,1672.69
307,22,58,2025-09-15 00:02:28,Tienda,Tarjeta crédito,675.58
308,27,4304,2025-12-27 19:58:11,Tienda,Tarjeta débito,1045.66
309,1,3631,2025-08-24 18:31:18,Online,Tarjeta crédito,2226.08
310,1,4596,2024-02-04 00:10:04,Tienda,Tarjeta débito,1205.78
311,3,,2025-08-23 05:53:21,Tienda,Efectivo,1521.39
312,14,3963,2021-05-25 08:07:11,Tienda,Efectivo,549.97
313,10,1472,2023-01-11 01:13:35,Tienda,Tarjeta crédito,1956.85
314,1,3744,2025-12-22 20:28:30,Online,Tarjeta débito,370.83
315,21,1600,2023-02-08 05:30:12,Tienda,Efectivo,2264.85
316,22,,2021-07-28 21:27:15,Tienda,Efectivo,2393.44
317,52,119,2023-12-05 22:24:38,Tienda,Efectivo,493.89
318,29,1230,2023-10-18 19:16:07,Tienda,Tarjeta crédito,1742.01
319,5,,2024-06-11 17:34:35,Tienda,Tarjeta crédito,2191.19
320,78,4669,2022-10-09 16:52:55,Tienda,Tarjeta crédito,1857.86
321,33,,2022-05-19 22:35:55,Tienda,Tarjeta débito,578.84
322,55,2240,2022-02-15 22:13:19,Tienda,Efectivo,1432.35
323,4,191,2022-01-16 10:26:52,Tienda,Efectivo,761.93
324,36,2838,2022-05-18 08:39:05,Tienda,Tarjeta crédito,1077.8
325,1,3109,2023-08-31 15:12:57,Online,Tarjeta débito,534.33
326,16,,2025-03-23 07:14:03,Tienda,Tarjeta débito,826.41
327,67,2725,2023-05-14 06:23:04,Tienda,Efectivo,518.49
328,1,145,2023-04-14 06:34:04,Online,Tarjeta débito,843.64
329,62,3251,2025-12-26 12:06:36,Tienda,Efectivo,814.31
330,62,,2022-12-13 17:26:37,Tienda,Efectivo,1301.89
331,31,2040,2024-08-08 22:20:26,Tienda,Tarjeta débito,1725.86
332,20,3344,2024-05-23 12:53:19,Tienda,Tarjeta débito,542.38
333,19,1508,2022-01-10 06:33:39,Tienda,Tarjeta débito,921.98
334,31,,2025-11-10 06:57:08,Tienda,Tarjeta crédito,771.93
335,76,1542,2022-03-03 23:25:02,Tienda,Tarjeta débito,1871.05
336,1,4391,2021-07-15 02:18:17,Online,Tarjeta crédito,772.44
337,46,693,2021-10-20 07:38:46,Tienda,Tarjeta débito,1214.64
338,18,,2021-11-23 10:23:52,Tienda,Tarjeta débito,466.59
339,7,3805,2025-02-16 04:45:21,Tienda,Tarjeta crédito,1137.17
340,18,4783,2024-03-09 02:26:03,Tienda,Tarjeta crédito,314.61
341,17,,2021-10-18 06:13:19,Tienda,Tarjeta crédito,777.4
342,99,1096,2025-08-04 18:59:43,Tienda,Efectivo,292.81
343,1,2800,2025-03-11 13:45:52,Tienda,Efectivo,527.08
344,89,1827,2022-10-12 05:54:08,Tienda,Efectivo,1589.44
345,83,4810,2024-01-06 17:47:19,Tienda,Efectivo,1237.55
346,87,2291,2023-11-24 06:06:29,Tienda,Tarjeta débito,1934.67
347,93,4953,2023-05-05 04:47:51,Tienda,Efectivo,49.79
348,46,3405,2025-06-27 05:43:08,Tienda,Tarjeta crédito,1315.67
349,77,,2023-09-24 04:34:38,Tienda,Tarjeta crédito,963.87
350,67,,2022-06-19 01:52:26,Tienda,Efectivo,1378.48
351,36,3514,2025-12-21 23:33:29,Tienda,Efectivo,542.72
352,28,4919,2024-03-05 14:12:25,Tienda,Efectivo,52.92
353,55,,2022-05-10 01:41:14,Tienda,Efectivo,1587.69
354,49,,2021-11-27 05:31:22,Tienda,Tarjeta crédito,10.4
355,92,3065,2022-06-06 23:11:06,Tienda,Tarjeta débito,1811.09
356,78,4908,2022-07-15 02:39:30,Tienda,Tarjeta crédito,975.75
357,1,55,2022-05-20 22:45:39,Online,Tarjeta débito,1607.56
358,12,4663,2021-02-05 13:22:35,Tienda,Efectivo,116.76
359,91,1913,2024-10-09 13:06:33,Tienda,Efectivo,1145.37
360,56,,2023-12-01 16:54:12,Tienda,Efectivo,493.15
361,51,3798,2021-07-27 09:29:14,Tienda,Tarjeta débito,858.33
362,90,,2022-12-21 13:17:48,Tienda,Tarjeta crédito,2462.35
363,1,250,2025-11-22 05:12:12,Online,Tarjeta débito,1485.92
364,26,2323,2022-02-22 18:43:08,Tienda,Efectivo,540.93
365,64,,2022-11-22 07:53:41,Tienda,Tarjeta débito,1134.63
366,96,,2021-03-08 01:50:00,Tienda,Tarjeta crédito,858.43
367,68,2739,2024-05-27 16:14:31,Tienda,Tarjeta débito,364.6
368,95,485,2025-01-12 16:07:21,Tienda,Tarjeta débito,2333.2
369,55,3318,2021-02-02 01:45:58,Tienda,Efectivo,721.61
370,31,2606,2023-04-24 03:19:42,Tienda,Tarjeta débito,336.42
371,59,3111,2021-12-12 20:55:50,Tienda,Efectivo,1507.97
372,26,106,2021-02-08 14:54:29,Tienda,Tarjeta crédito,861.17
373,87,4927,2024-09-14 08:17:40,Tienda,Tarjeta débito,207.05
374,26,2951,2023-12-21 04:47:40,Tienda,Tarjeta débito,104.35
375,38,,2022-09-03 21:36:04,Tienda,Tarjeta débito,690.23
376,66,1533,2025-06-15 00:28:05,Tienda,Tarjeta débito,1290.21
