store_id,comunidad_autonoma,provincia,city,opening_date,is_active
50,Cataluña,Lleida,Lleida,2010-12-18,True
51,Canarias,Santa Cruz de Tenerife,La Laguna,2016-11-18,True
52,Castilla-La Mancha,Cuenca,Cuenca,2015-02-24,True
53,Aragón,Zaragoza,Calatayud,2015-03-17,True
54,Castilla-La Mancha,Toledo,Toledo,2015-04-21,True
55,Galicia,A Coruña,Santiago de Compostela,2012-08-06,True
56,Andalucía,Jaén,Linares,2017-02-12,True
57,Aragón,Zaragoza,Zaragoza,2010-02-15,True
58,Comunidad Valenciana,Alicante,Alicante,2020-10-11,True
59,Comunidad Valenciana,Valencia,Gandía,2014-07-30,True
60,Andalucía,Córdoba,Córdoba,2019-07-20,True
61,Andalucía,Sevilla,Dos Hermanas,2014-02-01,True
62,Andalucía,Jaén,Jaén,2016-05-14,True
63,Cataluña,Barcelona,Hospitalet de Llobregat,2021-08-29,True
64,Castilla y León,Zamora,Zamora,2018-08-05,True
65,Andalucía,Málaga,Marbella,2023-11-27,False
66,Asturias,Asturias,Avilés,2021-01-02,True
67,Canarias,Las Palmas,Telde,2014-12-25,True
68,Región de Murcia,Murcia,Murcia,2019-11-23,True
69,La Rioja,La Rioja,Logroño,2016-07-25,True
70,Galicia,A Coruña,A Coruña,2013-05-11,True
71,Comunidad de Madrid,Madrid,Getafe,2012-11-28,True
72,Cantabria,Cantabria,Santander,2021-07-23,False
73,País Vasco,Vizcaya,Bilbao,2013-10-05,False
74,Castilla y León,León,Ponferrada,2016-06-16,True
75,Castilla-La Mancha,Ciudad Real,Ciudad Real,2011-07-25,True
76,Andalucía,Sevilla,Alcalá de Guadaíra,2013-11-17,True
77,Islas Baleares,Islas Baleares,Palma,2012-05-17,True
78,País Vasco,Álava,Vitoria-Gasteiz,2014-04-09,True
79,Comunidad de Madrid,Madrid,Alcalá de Henares,2012-10-31,True
80,Cataluña,Tarragona,Reus,2013-03-19,True
81,Cataluña,Barcelona,Barcelona,2010-02-28,True
82,Extremadura,Cáceres,Cáceres,2023-12-31,True
83,Asturias,Asturias,Gijón,2018-06-17,True
84,Cantabria,Cantabria,Torrelavega,2012-01-07,True
85,Castilla y León,Burgos,Burgos,2019-04-26,True
86,Aragón,Huesca,Huesca,2013-08-04,True
87,Andalucía,Cádiz,Cádiz,2022-05-26,True
88,Comunidad Valenciana,Alicante,Elche,2010-07-18,True
89,Cataluña,Barcelona,Sabadell,2020-07-30,True
90,Extremadura,Badajoz,Badajoz,2011-12-15,True
91,Castilla y León,Burgos,Miranda de Ebro,2013-12-20,True
92,Castilla y León,Salamanca,Salamanca,2017-11-07,True
93,Comunidad Valenciana,Valencia,Valencia,2017-03-13,True
94,Islas Baleares,Islas Baleares,Ibiza,2018-02-23,True
95,Andalucía,Almería,El Ejido,2015-12-17,True
96,Galicia,Pontevedra,Vigo,2018-07-02,True
97,País Vasco,Guipúzcoa,San Sebastián,2022-10-24,False
98,Andalucía,Cádiz,Algeciras,2017-04-19,True
99,Andalucía,Cádiz,Jerez de la Frontera,2012-01-10,True
100,Castilla y León,Segovia,Segovia,2020-03-04,True
