Fecha,Apertura,Cierre,Maximo,Minimo,Volumen
2016-01-05,134.32,135.34,135.39,133.84,580467
2016-01-06,135.77,137.13,138.07,135.1,1449971
2016-01-07,137.02,139.67,140.64,136.68,777100
2016-01-08,139.33,140.98,141.05,136.96,1032047
2016-01-11,141.24,140.38,142.38,139.13,978951
2016-01-12,140.77,139.88,141.49,139.23,1769311
2016-01-13,140.26,140.82,141.3,139.78,680731
2016-01-14,140.83,144.6,147.9,139.39,654341
2016-01-15,144.83,145.65,146.35,144.34,992727
2016-01-18,146.53,144.24,149.57,143.89,1435307
2016-01-19,144.29,143.56,144.77,143.4,750992
2016-01-20,144.0,149.14,151.39,143.76,2351196
2016-01-21,148.79,150.76,152.22,147.34,1947274
2016-01-22,150.26,155.66,160.68,146.45,2527467
2016-01-25,155.64,153.89,155.76,153.64,752329
2016-01-26,154.87,158.63,161.38,152.78,2241201
2016-01-27,158.81,160.28,162.17,157.79,1577387
2016-01-28,159.93,167.33,176.51,159.47,1347697
2016-01-29,169.16,167.97,169.59,167.65,1472139
2016-02-01,166.37,169.11,169.79,162.56,2019277
2016-02-02,167.99,175.7,176.33,167.62,1553586
2016-02-03,175.96,173.75,179.61,170.12,1354459
2016-02-04,172.36,171.92,173.01,171.13,2045998
2016-02-05,173.23,175.95,177.15,171.05,802959
2016-02-08,176.06,179.55,182.81,174.17,803373
2016-02-09,179.77,188.86,198.78,173.35,2019699
2016-02-10,188.63,194.12,196.37,186.78,2009052
2016-02-11,193.7,194.25,194.59,193.47,1189552
2016-02-12,193.99,198.67,201.78,189.11,2226370
2016-02-15,198.66,203.78,209.74,195.66,1248942
2016-02-16,202.45,207.16,207.58,201.95,873048
2016-02-17,206.02,210.07,213.62,201.03,907697
2016-02-18,209.51,208.28,209.61,207.92,857239
2016-02-19,208.34,200.91,211.66,198.3,844661
2016-02-22,200.8,201.92,202.26,200.41,1114963
2016-02-23,204.32,205.11,205.81,204.29,912478
2016-02-24,205.7,209.05,209.52,203.75,1510880
2016-02-25,208.21,206.55,208.49,206.36,1070271
2016-02-26,208.29,214.07,214.7,204.41,1763618
2016-02-29,213.6,222.53,225.53,208.26,1923074
2016-03-01,220.98,225.71,226.56,220.42,947032
2016-03-02,224.78,224.62,224.83,224.58,1987599
2016-03-03,224.35,222.57,226.97,221.74,816442
2016-03-04,223.16,226.36,227.58,219.81,892668
2016-03-07,225.5,219.66,226.07,216.58,1174399
2016-03-08,218.41,221.81,222.04,216.92,810892
2016-03-09,222.93,222.63,223.27,222.37,1223295
2016-03-10,220.66,218.36,224.54,217.86,1762922
2016-03-11,218.45,220.0,220.38,216.28,859369
2016-03-14,219.65,220.49,221.15,219.2,1885113
2016-03-15,221.82,222.26,222.49,221.67,1654235
2016-03-16,220.51,222.82,224.17,218.25,1587049
2016-03-17,221.17,228.48,236.14,214.58,2448809
2016-03-18,227.92,232.07,234.77,227.8,1601505
2016-03-21,232.63,236.53,237.28,226.91,807216
2016-03-22,238.05,238.34,238.51,237.88,1479056
2016-03-23,238.83,250.19,252.29,228.31,2029414
2016-03-24,249.08,239.99,252.97,236.64,1934156
2016-03-25,240.12,246.0,253.84,238.43,1698645
2016-03-28,244.35,256.0,276.51,234.37,989224
2016-03-29,256.08,264.21,264.7,253.08,2245941
2016-03-30,265.34,255.64,268.77,248.35,1609133
2016-03-31,255.31,250.14,257.28,248.48,2251525
2016-04-01,251.49,244.66,253.84,244.03,2468598
2016-04-04,244.33,241.3,247.38,237.69,675257
2016-04-05,240.35,245.91,246.77,240.19,1487563
2016-04-06,245.04,247.91,249.68,243.54,1230161
2016-04-07,246.45,249.8,255.48,244.2,1029353
2016-04-08,248.41,259.47,265.28,243.06,781271
2016-04-11,258.55,257.22,258.63,256.65,807523
2016-04-12,255.65,261.67,265.44,251.18,2156969
2016-04-13,263.83,260.96,266.25,260.92,696674
2016-04-14,261.38,257.24,267.61,254.64,1030015
2016-04-15,258.93,252.21,262.88,246.88,1453845
2016-04-18,252.48,254.26,255.37,251.86,1972322
2016-04-19,253.84,262.94,267.39,248.63,1204823
2016-04-20,263.16,264.53,264.83,262.69,554867
2016-04-21,262.37,267.56,273.93,260.79,618757
2016-04-22,267.91,275.5,277.49,257.52,1447711
2016-04-25,276.02,265.31,281.95,264.65,1949987
2016-04-26,264.5,259.3,268.36,257.71,1614811
2016-04-27,262.0,262.6,262.81,261.97,913885
2016-04-28,261.84,264.65,265.96,258.82,730665
2016-04-29,264.89,265.28,265.55,264.74,1754306
2016-05-02,266.12,273.45,277.11,265.19,2392364
2016-05-03,271.64,272.58,273.82,270.28,1539414
2016-05-04,273.72,278.38,279.65,268.03,2242622
2016-05-05,279.52,282.43,283.77,275.36,2160518
2016-05-06,282.38,288.38,291.77,273.58,673621
2016-05-09,286.36,291.38,293.53,285.3,1865463
2016-05-10,291.1,290.7,291.32,290.27,1854547
2016-05-11,288.74,294.22,294.43,280.08,1538959
2016-05-12,293.46,303.83,316.89,278.75,2236354
2016-05-13,301.27,292.79,302.08,290.21,1192849
2016-05-16,291.32,288.86,292.6,288.3,1167519
2016-05-17,287.31,293.18,294.06,283.2,2190109
2016-05-18,293.11,299.01,303.4,292.08,2299522
2016-05-19,300.76,312.46,314.21,298.57,1083170
2016-05-20,311.47,320.86,337.07,294.45,2593105
2016-05-23,320.26,314.74,321.57,307.79,980867
2016-05-24,315.06,307.43,316.02,298.26,1115973
2016-05-25,308.26,316.78,318.98,306.26,1135427
2016-05-26,316.73,329.94,337.43,315.89,2517850
2016-05-27,324.2,320.39,326.49,315.91,1506827
2016-05-30,321.33,320.79,322.0,320.11,1588472
2016-05-31,321.6,328.85,336.63,319.96,2231623
2016-06-01,328.57,331.25,331.95,325.03,1890957
2016-06-02,330.88,332.58,334.97,329.35,935526
2016-06-03,333.66,349.74,357.82,327.91,2881650
2016-06-06,351.85,343.39,357.04,339.58,746487
2016-06-07,345.23,339.74,347.84,335.06,659056
2016-06-08,340.37,338.31,340.72,337.77,1755724
2016-06-09,337.37,351.52,363.55,324.62,1058040
2016-06-10,352.66,361.09,364.66,349.22,1127364
2016-06-13,362.26,362.99,363.41,361.97,2015737
2016-06-14,364.62,364.51,364.62,364.45,1055895
2016-06-15,364.36,373.84,380.25,358.63,2087393
2016-06-16,374.7,380.57,380.7,370.94,1648177
2016-06-17,380.4,392.63,398.4,376.78,1058260
2016-06-20,391.18,392.31,393.13,390.86,1217138
2016-06-21,391.42,373.63,403.02,359.28,2428791
2016-06-22,373.59,370.39,376.31,369.99,1355242
2016-06-23,373.17,380.72,381.99,371.16,759654
2016-06-24,380.21,380.51,380.56,380.02,1546462
2016-06-27,379.43,384.67,386.86,377.0,622950
2016-06-28,388.15,391.78,396.35,386.22,1883170
2016-06-29,394.36,396.71,398.53,391.84,659597
2016-06-30,394.67,391.22,397.22,388.37,1716769
2016-07-01,391.29,392.89,393.06,391.22,922674
2016-07-04,395.03,394.75,395.22,394.59,1064038
2016-07-05,395.19,404.0,410.8,382.98,2263425
2016-07-06,400.7,396.58,402.32,391.78,1596283
2016-07-07,395.34,398.86,400.04,393.78,2131452
2016-07-08,399.5,397.5,401.02,396.73,1335945
2016-07-11,399.79,386.14,414.17,382.31,1992192
2016-07-12,388.27,382.96,392.99,380.51,693752
2016-07-13,383.11,373.39,390.4,369.18,1787202
2016-07-14,371.83,375.75,377.35,370.38,1339762
2016-07-15,376.47,379.69,380.89,375.82,982076
2016-07-18,379.78,374.48,380.14,373.14,2166202
2016-07-19,374.63,359.51,385.4,348.97,712134
2016-07-20,359.76,362.82,364.68,358.0,1627761
2016-07-21,364.83,356.98,376.33,355.86,1833684
2016-07-22,358.89,357.39,360.83,355.21,1588560
2016-07-25,361.69,360.89,361.72,359.87,1568361
2016-07-26,358.94,363.3,366.39,358.44,1667103
2016-07-27,363.18,365.06,366.84,360.86,1911685
2016-07-28,361.98,354.65,371.55,344.64,1386967
2016-07-29,354.38,354.65,354.7,354.33,1102618
2016-08-01,353.08,363.37,366.66,351.08,787458
2016-08-02,366.36,372.99,376.0,359.51,1510212
2016-08-03,372.14,371.16,372.56,370.55,1334861
2016-08-04,373.73,377.04,382.03,373.63,863991
2016-08-05,376.56,378.54,379.63,376.15,686423
2016-08-08,375.34,373.57,376.7,372.65,1012551
2016-08-09,376.4,381.12,381.77,375.44,1712643
2016-08-10,381.32,369.97,385.57,368.05,2522951
2016-08-11,372.56,370.79,373.19,369.84,1468889
2016-08-12,370.88,369.93,371.36,369.6,1805302
2016-08-15,369.42,373.65,375.6,363.59,1265857
2016-08-16,372.4,373.09,373.57,372.26,1635220
2016-08-17,372.43,374.36,375.03,371.8,1388640
2016-08-18,373.32,361.59,387.75,359.59,2027544
2016-08-19,358.99,343.75,382.23,340.74,934694
2016-08-22,344.73,354.46,354.98,339.34,1010181
2016-08-23,352.51,345.91,354.58,345.64,2018847
2016-08-24,346.32,333.93,356.06,328.0,1356939
2016-08-25,335.09,346.53,347.36,327.39,2597491
2016-08-26,347.47,339.35,348.49,334.59,2015921
2016-08-29,341.58,331.55,346.03,323.97,942686
2016-08-30,333.56,332.76,333.66,331.89,708160
2016-08-31,333.59,335.69,336.04,333.29,1105437
2016-09-01,332.6,334.15,335.23,331.67,1966301
2016-09-02,334.57,332.66,336.01,332.48,1824388
2016-09-05,334.19,330.32,339.43,328.3,693474
2016-09-06,328.35,324.09,332.6,321.3,1959000
2016-09-07,324.05,327.38,328.34,321.29,1210943
2016-09-08,326.77,318.26,327.39,313.84,1669241
2016-09-09,318.15,319.23,319.83,318.0,1510887
2016-09-12,320.09,309.81,320.55,303.97,1571730
2016-09-13,310.04,305.91,310.55,305.48,1082205
2016-09-14,306.37,300.47,313.81,294.39,1697039
2016-09-15,301.89,290.86,303.54,279.73,1603840
2016-09-16,290.13,281.31,301.39,269.51,673465
2016-09-19,280.5,263.98,291.68,261.97,2070375
2016-09-20,262.67,260.62,264.72,260.38,1328631
2016-09-21,260.04,253.54,263.01,250.42,1486504
2016-09-22,253.9,253.07,254.34,252.1,1194309
2016-09-23,253.92,249.54,257.68,244.35,1746452
2016-09-26,249.88,251.97,252.62,249.69,1740307
2016-09-27,254.5,253.23,255.08,253.17,637301
2016-09-28,252.21,256.78,260.41,249.11,918811
2016-09-29,258.31,259.97,260.04,257.45,1003839
2016-09-30,260.76,265.5,265.96,258.4,1964073
2016-10-03,266.1,275.46,290.05,260.75,2662591
2016-10-04,277.46,285.16,293.85,275.77,1286976
2016-10-05,283.68,270.16,301.77,265.54,1007353
2016-10-06,270.44,267.28,272.84,264.74,1976896
2016-10-07,267.05,266.29,267.82,265.63,1712052
2016-10-10,264.91,265.3,266.03,264.88,758259
2016-10-11,265.83,260.07,268.22,256.09,1946045
2016-10-12,263.06,266.42,268.21,260.87,2041109
2016-10-13,268.13,269.38,269.4,267.77,1663601
2016-10-14,271.12,266.41,275.71,262.55,917666
2016-10-17,268.01,262.34,270.2,262.24,1960972
2016-10-18,260.44,252.32,267.25,244.58,1380305
2016-10-19,254.5,250.16,256.87,247.66,1807056
2016-10-20,251.62,246.43,255.06,241.83,720377
2016-10-21,248.33,256.01,263.3,239.65,1184414
2016-10-24,256.0,260.35,261.2,253.99,1826726
2016-10-25,260.46,265.73,266.98,258.81,760955
2016-10-26,266.37,256.6,284.58,244.06,1547011
2016-10-27,258.17,258.74,259.28,257.92,1388039
2016-10-28,257.12,256.48,257.14,256.46,1791012
2016-10-31,256.66,245.14,262.37,235.69,2620850
2016-11-01,244.69,244.32,244.9,244.26,630249
2016-11-02,244.29,250.61,258.32,242.69,1781458
2016-11-03,251.1,245.81,251.81,245.23,1117897
2016-11-04,244.73,238.32,246.25,234.07,1482098
2016-11-07,237.7,235.33,238.31,232.99,1227726
2016-11-08,236.2,232.58,241.41,229.55,2197087
2016-11-09,232.45,227.39,240.39,225.31,1804082
2016-11-10,227.72,219.33,237.72,213.58,918550
2016-11-11,218.86,214.35,223.35,210.17,810510
2016-11-14,214.81,215.7,216.44,214.7,1236161
2016-11-15,214.33,211.99,217.11,210.07,1239799
2016-11-16,212.64,219.32,226.14,208.76,759253
2016-11-17,218.63,219.12,219.24,218.35,1308108
2016-11-18,219.48,216.22,220.88,213.57,2270701
2016-11-21,216.16,210.86,219.6,210.13,1848972
2016-11-22,210.41,213.19,214.29,207.58,1053519
2016-11-23,213.57,217.33,219.86,207.74,1528305
2016-11-24,217.86,212.05,222.72,206.91,1159584
2016-11-25,211.47,207.23,212.42,204.46,1708309
2016-11-28,207.25,211.09,215.35,204.36,1720939
2016-11-29,209.84,206.73,212.03,203.73,2107172
2016-11-30,206.93,203.47,212.0,200.12,1827460
2016-12-01,203.16,193.25,207.37,187.43,2591952
2016-12-02,192.28,188.49,192.95,186.91,853560
2016-12-05,187.87,178.44,196.51,173.53,2646558
2016-12-06,178.8,177.0,179.64,176.6,1683100
2016-12-07,176.65,176.82,176.92,176.54,1281208
2016-12-08,175.93,171.88,178.46,168.25,2223029
2016-12-09,172.5,173.18,173.72,172.1,1393094
2016-12-12,173.06,168.06,177.97,164.65,2532803
2016-12-13,167.91,163.17,174.9,161.04,2291492
2016-12-14,163.59,161.22,163.66,157.33,1820276
2016-12-15,161.94,158.74,162.59,154.66,1570266
2016-12-16,158.56,156.0,159.49,154.15,1098761
2016-12-19,156.82,152.68,163.36,147.55,1756723
2016-12-20,152.6,150.7,153.21,149.66,2005286
2016-12-21,150.15,148.9,150.35,148.74,2018615
2016-12-22,149.63,149.79,149.91,149.53,986147
2016-12-23,150.9,148.5,152.85,145.82,1676901
2016-12-26,149.72,150.63,150.75,149.28,1306196
2016-12-27,150.95,150.07,151.67,149.16,641774
2016-12-28,149.51,144.27,149.93,143.45,2642783
2016-12-29,144.11,136.92,146.97,134.81,1910973
2016-12-30,136.71,133.5,138.95,132.22,2343545
2017-01-02,132.98,131.35,133.36,130.79,2033314
2017-01-03,132.6,131.34,132.84,130.99,1240264
2017-01-04,131.88,130.33,132.57,128.51,2160956
2017-01-05,130.01,129.34,130.25,129.07,706370
2017-01-06,128.8,122.08,130.72,118.64,922980
2017-01-09,121.94,119.4,124.54,118.01,1681051
2017-01-10,119.52,120.4,120.57,118.26,643947
2017-01-11,119.71,119.05,119.93,118.69,1441179
2017-01-12,117.89,118.72,119.76,117.03,1225831
2017-01-13,118.01,119.3,120.27,116.28,1922740
2017-01-16,118.21,115.7,119.81,113.83,1857943
2017-01-17,115.07,113.29,116.2,112.85,844858
2017-01-18,113.32,112.15,113.41,111.66,1067007
2017-01-19,112.69,115.54,117.87,111.62,1920025
2017-01-20,115.51,112.07,119.69,110.4,725096
2017-01-23,112.02,110.43,112.66,110.04,1066248
2017-01-24,110.38,110.15,110.64,109.83,951929
2017-01-25,110.09,110.36,110.5,110.05,1362887
2017-01-26,111.22,111.07,111.28,111.02,802928
2017-01-27,110.98,109.23,112.87,108.05,1586023
2017-01-30,109.14,106.05,110.67,102.27,2335637
2017-01-31,106.64,110.17,111.29,106.52,1615724
2017-02-01,109.33,109.22,109.49,109.1,1823853
2017-02-02,109.39,107.9,110.08,105.7,2175901
2017-02-03,107.84,104.7,111.15,102.44,1371695
2017-02-06,104.23,102.3,105.3,101.27,1618929
2017-02-07,102.91,101.67,104.52,101.33,743850
2017-02-08,101.57,103.35,103.55,98.68,1377832
2017-02-09,104.56,104.43,104.59,104.39,1602583
2017-02-10,104.03,104.37,104.65,103.93,842771
2017-02-13,104.09,105.38,107.11,102.55,802943
2017-02-14,105.8,106.92,108.47,104.68,699474
2017-02-15,106.48,105.96,106.52,105.76,699134
2017-02-16,104.95,104.95,104.96,104.95,575354
2017-02-17,104.87,102.95,105.33,101.64,2240415
2017-02-20,103.38,102.57,103.6,101.94,2122588
2017-02-21,101.72,103.78,105.04,101.01,1411958
2017-02-22,104.72,106.93,107.75,102.31,2100353
2017-02-23,107.06,109.62,111.04,106.56,1542808
2017-02-24,109.24,107.98,109.78,107.75,557741
2017-02-27,107.64,107.34,107.67,106.93,520135
2017-02-28,107.78,105.59,108.29,105.2,2122810
2017-03-01,106.13,104.42,107.92,103.68,2259529
2017-03-02,104.56,103.06,105.58,101.92,579086
2017-03-03,103.33,101.38,106.22,97.78,1846369
2017-03-06,101.07,100.2,101.13,99.73,2102706
2017-03-07,98.78,98.6,98.83,98.54,589118
2017-03-08,98.37,101.03,102.04,95.27,1535292
2017-03-09,100.9,101.45,101.68,100.79,1558286
2017-03-10,101.01,103.11,104.75,100.55,2217906
2017-03-13,102.66,99.61,103.71,99.06,2274706
2017-03-14,99.49,97.38,100.73,95.99,624097
2017-03-15,97.64,97.45,97.74,97.22,1692357
2017-03-16,97.66,97.61,97.69,97.58,684328
2017-03-17,98.08,96.55,98.67,96.55,1098390
2017-03-20,96.63,96.67,96.68,96.61,1676866
2017-03-21,95.57,93.73,95.82,93.46,1461463
2017-03-22,93.65,96.73,102.36,88.96,2641355
2017-03-23,96.99,97.08,97.1,96.98,717658
2017-03-24,97.7,98.8,99.44,97.2,1203469
2017-03-27,98.22,99.91,100.83,96.73,2150692
2017-03-28,99.75,100.09,100.2,99.67,725445
2017-03-29,100.11,101.34,102.38,99.99,1023826
2017-03-30,101.24,104.1,104.24,100.7,1497687
2017-03-31,104.33,105.2,105.53,102.73,2158163
2017-04-03,104.36,105.44,105.55,103.43,2175298
2017-04-04,105.73,104.63,107.74,103.53,2169885
2017-04-05,104.29,105.46,105.92,103.12,1667570
2017-04-06,105.58,103.21,105.62,103.18,1268237
2017-04-07,102.57,103.99,105.82,102.32,1301395
2017-04-10,103.98,103.16,104.13,102.95,2025872
2017-04-11,102.83,105.76,110.16,98.28,1755279
2017-04-12,106.39,105.37,106.89,104.47,943001
2017-04-13,105.38,103.63,105.42,103.46,2099708
2017-04-14,102.83,107.18,111.38,101.26,1464814
2017-04-17,107.08,109.35,110.72,106.51,1680754
2017-04-18,109.05,107.13,109.16,107.02,2247269
2017-04-19,105.73,106.48,106.92,104.82,1774026
2017-04-20,105.98,107.22,107.68,105.28,621569
2017-04-21,107.4,110.43,112.15,107.01,1225965
2017-04-24,109.02,103.08,118.17,100.96,2308452
2017-04-25,103.43,104.77,105.19,102.51,1949575
2017-04-26,104.53,102.57,107.84,100.03,1294595
2017-04-27,103.46,105.91,108.19,102.92,2066176
2017-04-28,106.21,106.88,107.24,106.03,1671281
2017-05-01,106.67,107.68,108.14,105.49,1904852
2017-05-02,108.26,110.91,114.37,104.63,2230947
2017-05-03,111.37,110.52,111.66,109.67,1921229
2017-05-04,111.11,113.73,116.23,109.19,920311
2017-05-05,114.12,116.63,117.77,114.11,1897592
2017-05-08,116.6,118.26,120.37,115.18,2228562
2017-05-09,118.26,117.33,118.56,115.99,1434063
2017-05-10,116.75,116.73,116.75,116.72,1809725
2017-05-11,117.35,119.45,121.18,114.83,2192646
2017-05-12,119.49,118.65,119.78,118.15,1071668
2017-05-15,118.28,122.6,124.67,115.14,2086874
2017-05-16,122.34,122.68,123.09,121.9,1488410
2017-05-17,122.45,119.96,122.91,119.51,1381703
2017-05-18,119.17,120.1,120.35,118.7,1679096
2017-05-19,118.99,117.55,119.26,116.92,1012496
2017-05-22,118.1,115.84,118.35,115.6,2296096
2017-05-23,115.53,115.67,115.81,115.47,529316
2017-05-24,116.36,119.52,120.34,114.53,2286873
2017-05-25,119.85,121.5,123.1,118.29,1265441
2017-05-26,121.52,121.76,122.03,121.41,1794419
2017-05-29,122.11,120.5,122.12,120.04,723147
2017-05-30,120.69,122.03,122.55,119.82,570737
2017-05-31,123.1,127.42,130.08,122.76,1079199
2017-06-01,127.65,130.06,130.51,127.08,1036303
2017-06-02,130.02,129.16,130.84,129.06,2054940
2017-06-05,129.42,131.6,133.86,128.59,1665358
2017-06-06,132.17,135.57,136.32,130.29,1729915
2017-06-07,134.4,136.24,138.51,131.73,1343616
2017-06-08,135.33,138.31,139.81,133.13,2323146
2017-06-09,137.98,134.22,139.77,134.02,1573471
2017-06-12,133.89,138.87,139.58,133.18,831116
2017-06-13,139.25,137.53,141.27,137.2,1049040
2017-06-14,136.78,135.69,137.29,135.19,1881864
2017-06-15,135.24,139.12,141.57,132.58,1620080
2017-06-16,138.96,137.81,139.24,136.56,1641353
2017-06-19,137.93,139.6,140.78,137.62,1693233
2017-06-20,139.99,138.66,140.13,138.66,1727714
2017-06-21,138.74,144.82,144.9,138.11,2641876
2017-06-22,144.31,141.98,145.32,140.81,1007869
2017-06-23,141.88,141.49,142.19,141.3,1371632
2017-06-26,140.37,136.39,144.69,135.33,1605004
2017-06-27,137.08,137.69,137.78,136.6,705978
2017-06-28,137.08,137.24,137.29,136.96,816139
2017-06-29,135.4,137.38,137.61,133.81,1537079
2017-06-30,138.38,142.46,143.97,137.26,2270461
2017-07-03,142.71,145.04,146.89,141.66,901704
2017-07-04,144.46,145.67,147.52,144.05,650582
2017-07-05,145.47,149.61,150.15,140.22,785271
2017-07-06,150.51,150.49,150.53,150.48,831066
2017-07-07,149.55,146.61,150.99,144.38,1776716
2017-07-10,147.09,145.19,147.87,144.44,1493555
2017-07-11,146.2,148.86,151.21,145.57,1780503
2017-07-12,149.91,153.48,156.01,147.78,2307030
2017-07-13,153.9,159.87,166.21,146.98,1019744
2017-07-14,161.32,162.23,162.46,161.14,868723
2017-07-17,162.92,164.04,164.11,162.3,1148289
2017-07-18,164.46,169.5,172.68,163.25,2494076
2017-07-19,168.3,173.72,176.68,167.37,1841401
2017-07-20,174.45,171.92,177.67,171.13,724503
2017-07-21,171.1,177.75,178.69,170.98,2525121
2017-07-24,178.06,174.29,179.88,169.23,2219402
2017-07-25,174.88,175.64,176.75,174.55,1424203
2017-07-26,176.3,180.26,182.17,175.98,1367414
2017-07-27,181.35,181.04,181.55,180.97,530688
2017-07-28,181.6,188.28,191.4,179.29,1839957
2017-07-31,189.19,192.37,196.7,185.89,1359228
2017-08-01,191.59,199.42,209.56,181.44,1426776
2017-08-02,197.95,200.53,203.84,193.86,1777751
2017-08-03,199.94,202.47,205.07,198.51,2155154
2017-08-04,202.48,199.37,205.59,198.05,846861
2017-08-07,200.6,209.41,215.65,191.44,2526932
2017-08-08,209.95,217.68,228.58,196.91,1783779
2017-08-09,214.93,215.84,216.18,213.79,1433050
2017-08-10,213.96,220.9,222.5,213.64,1867337
2017-08-11,219.65,224.61,226.39,212.96,1139765
2017-08-14,224.93,227.54,227.83,223.38,670194
2017-08-15,227.31,226.2,227.51,225.78,946657
2017-08-16,224.28,224.46,224.51,224.24,700019
2017-08-17,223.59,220.03,224.04,218.33,834974
2017-08-18,221.0,221.53,221.69,220.91,1377051
2017-08-21,221.13,224.66,225.3,218.36,1055792
2017-08-22,223.71,225.81,227.47,223.59,1233995
2017-08-23,227.78,228.56,229.47,226.77,1004102
2017-08-24,229.96,232.84,234.81,228.92,1388878
2017-08-25,232.78,242.98,249.47,217.36,1596900
2017-08-28,242.35,235.18,243.32,230.48,989026
2017-08-29,237.41,247.43,250.8,229.3,1504485
2017-08-30,246.32,250.66,251.61,245.58,910756
2017-08-31,249.98,256.53,263.84,248.15,1339946
2017-09-01,255.84,264.38,274.01,246.77,1017153
2017-09-04,262.92,268.97,271.71,260.04,616316
2017-09-05,269.37,273.91,275.03,266.0,1199639
2017-09-06,273.86,271.41,274.26,271.13,933863
2017-09-07,271.32,278.64,280.5,265.47,1453862
2017-09-08,277.91,288.15,288.39,276.32,1383196
2017-09-11,291.62,295.55,298.03,291.38,626655
2017-09-12,292.47,305.17,305.4,288.24,1228074
2017-09-13,305.55,302.79,306.34,301.11,1186282
2017-09-14,301.98,306.79,309.58,299.65,2195414
2017-09-15,305.81,307.45,308.94,303.61,897177
2017-09-18,307.15,309.39,312.53,306.25,1520575
2017-09-19,307.58,317.24,333.66,293.86,1204068
2017-09-20,318.63,330.69,334.65,317.71,1604705
2017-09-21,329.33,323.81,331.28,319.91,2209892
2017-09-22,324.34,319.55,328.52,314.86,998509
2017-09-25,322.86,323.07,323.26,322.56,1736990
2017-09-26,321.54,335.33,357.91,298.62,1387446
2017-09-27,333.48,342.27,344.6,330.55,2206387
2017-09-28,342.87,341.61,343.44,341.26,1445164
2017-09-29,339.55,340.52,341.68,339.11,1645319
2017-10-02,341.45,345.38,348.86,336.68,1225815
2017-10-03,346.18,352.25,356.09,345.2,2316210
2017-10-04,354.92,361.78,367.21,353.87,905363
2017-10-05,358.62,365.36,376.82,355.6,2321986
2017-10-06,361.88,358.19,363.35,357.21,925278
2017-10-09,355.65,362.76,368.83,349.6,1458789
2017-10-10,360.42,352.79,362.0,352.15,1454107
2017-10-11,354.97,356.86,358.51,353.29,1134492
2017-10-12,353.53,353.08,353.81,352.87,1313751
2017-10-13,353.03,351.66,353.7,350.66,1395735
2017-10-16,351.05,354.44,355.84,348.91,1636629
2017-10-17,354.06,351.75,356.18,349.68,1510023
2017-10-18,349.34,346.46,350.56,344.46,1609668
2017-10-19,346.18,343.49,347.81,343.4,1216509
2017-10-20,340.88,345.01,351.32,339.43,2050677
2017-10-23,347.37,359.22,369.48,334.3,1532521
2017-10-24,360.62,366.55,372.15,351.86,1335518
2017-10-25,367.89,368.24,368.55,367.57,971980
2017-10-26,364.9,372.29,372.34,358.32,2343726
2017-10-27,375.1,371.76,379.16,366.99,1198381
2017-10-30,370.44,378.55,381.19,367.56,1867428
