Countries,TrackName,ArtistName,AlbumName,Popularity,Date,Duration
ARG,Entre Beso y Beso,Ke Personajes,Entre Beso y Beso,78,2023-08-30,2:33
BRA,Erro Gostoso - Ao Vivo,Simone Mendes,Cintilante (Ao Vivo / Vol.2),68,2023-10-20,2:58
ECU,Es un Secreto,Plan B,House Of Pleasure,72,2010-07-20,3:10
ECU,Escápate Conmigo - Remix,Wolfine,Escápate Conmigo (Remix),85,2012-09-06,2:47
BRA,Eu Não Dou Conta - Ao Vivo,Israel & Rodolffo,Eu Não Dou Conta (Ao Vivo),80,2023-09-21,2:49
ARG,Exclusive.mp3,Emilia,.mp3,70,2023-11-03,2:00
"ECU, ESP",FINA,Bad Bunny,nadie sabe lo que va a pasar mañana,93,2023-10-13,3:36
FRA,FLASHBACK,Favé,IL LE FALLAIT,69,2023-10-13,2:56
ARG,FLECHAZO EN EL CENTRO,YSY A,TU DUO FAVORITO,82,2023-09-06,3:06
FRA,FLEURS (feat. Tiakola),Gazo,KMT,74,2022-07-01,3:30
ITA,Fantasmi (feat. Geolier),Rose Villain,Radio Gotham,75,2023-01-20,2:13
"AUS, CAN",Fast Car,Luke Combs,Gettin' Old,89,2023-03-24,4:25
BRA,Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),88,2023-07-20,2:18
ECU,Feliz Cumpleaños Ferxxo,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,87,2022-09-14,2:35
BRA,Fernando de Noronha,Mc IG,Meu Nome Não é Igor %,75,2023-08-31,7:48
DEU,Feuer Wasser Sturm,Niclov,Feuer Wasser Sturm,79,2023-08-25,2:16
MEX,Fin de Semana,Oscar Maydon,Fin de Semana,87,2023-01-13,3:44
"CAN, USA",First Person Shooter (feat. J. Cole),Drake,For All The Dogs,92,2023-10-06,4:07
AUS,Flowers,Miley Cyrus,Endless Summer Vacation,92,2023-08-18,3:20
BRA,Fode Bem,Felipe Amorim,Fode Bem,74,2023-07-19,2:16
ITA,Freaky (feat. Shiva & Niky Savage),Slings,TRAPHOUSE,73,2023-10-20,2:56
"ARG, ECU, ESP",Fruto,Bizarrap,en dormir sin Madrid,91,2023-10-04,2:13
BRA,Furduncinho do Rogerinho,MC Rogerinho,Furduncinho do Rogerinho,84,2023-07-27,2:59
ESP,GATITA GANGSTER,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),81,2023-08-10,2:50
ITA,GRINDHOUSE,Salmo,CVLT,67,2023-11-03,2:36
ARG,GTA.mp3,Emilia,.mp3,67,2023-11-03,2:31
ITA,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",Finesse,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)",78,2023-02-24,3:02
FRA,Gimme Love,Sia,Gimme Love,81,2023-09-13,3:34
AUS,Got Me Started,Troye Sivan,Something To Give Each Other,82,2023-10-13,3:18
"ECU, MEX, USA",HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,90,2023-10-20,2:23
"ECU, ESP",HIBIKI,Bad Bunny,nadie sabe lo que va a pasar mañana,92,2023-10-13,3:28
BRA,Halls na Língua,Kadu Martins,Halls na Língua,82,2023-03-24,3:12
AUS,Heat Waves,Glass Animals,Dreamland,91,2020-08-07,3:58
ECU,Hey Mor,Ozuna,OzuTochi,87,2022-10-07,3:16
ITA,Hoe (feat. Sfera Ebbasta),Tedua,La Divina Commedia,78,2023-06-02,2:17
"ARG, ECU, ESP",Holanda,Jhayco,Holanda,92,2023-07-28,3:51
DEU,Hässlich,AYLIVA,Schwarzes Herz,82,2023-08-25,2:16
AUS,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",91,2022-05-13,2:28
"CAN, USA",I KNOW ?,Travis Scott,UTOPIA,92,2023-07-28,3:31
"AUS, CAN, GBR, USA",I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,93,2023-08-25,3:47
GBR,I Wanna Be Yours,Arctic Monkeys,AM,95,2013-09-09,3:03
"AUS, CAN, GBR, USA",IDGAF (feat. Yeat),Drake,For All The Dogs,94,2023-10-06,4:20
ITA,IL MALE CHE MI FAI (feat. Marracash),Geolier,IL CORAGGIO DEI BAMBINI - ATTO II,77,2023-04-07,2:47
ITA,INCUBI,Salmo,CVLT,70,2023-11-03,2:42
DEU,Ich will nur dass du weißt - IIVEN Remix,SDP,Ich will nur dass du weißt (IIVEN Remix),77,2023-07-27,2:36
DEU,In deinen Armen,AYLIVA,Schwarzes Herz,75,2023-08-25,2:21
ITA,Insta Lova,Marracash,Santeria,80,2016-06-24,3:26
"AUS, GBR",Iris,The Goo Goo Dolls,Dizzy up the Girl,87,1998-09-11,4:49
"AUS, CAN, DEU, GBR, USA",Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,3:49
FRA,J'fais que danser,Jul,J'fais que danser,63,2023-11-03,2:53
CAN,Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",90,2022-06-17,3:38
DEU,KETAMIN,YAKARY,KETAMIN,75,2023-06-16,2:52
ITA,KILOMETRI,Salmo,CVLT,67,2023-11-03,2:25
"AUS, CAN, USA",Kill Bill,SZA,SOS,92,2022-12-08,2:33
ITA,Kiss You (F**k You) [feat. Geolier],Yung Snapp,HOTEL MONTANA,75,2023-09-01,3:27
DEU,Komet,Udo Lindenberg,Komet,80,2023-01-19,2:47
DEU,Komm mit,badmómzjay,Komm mit,69,2023-10-26,2:39
ECU,LA INOCENTE,Mora,MICRODOSIS,87,2022-04-01,3:22
MEX,LA PEOPLE,Peso Pluma,GÉNESIS,84,2023-06-29,2:33
FRA,LA RUE,No Limit,LA RUE,75,2023-06-05,3:45
"ECU, MEX, USA",LADY GAGA,Peso Pluma,GÉNESIS,95,2023-06-29,3:32
MEX,LAGUNAS,Peso Pluma,GÉNESIS,88,2023-06-29,3:51
FRA,LAISSE MOI,KeBlack,LAISSE MOI,81,2023-09-08,2:48
"ARG, ECU, ESP, ITA, MEX",LALA,Myke Towers,LA VIDA ES UNA,97,2023-03-23,3:17
MEX,LOU LOU,Gabito Ballesteros,LOU LOU,89,2023-10-19,3:08
ESP,LUCES DE TECNO,Feid,"MOR, No Le Temas a La Oscuridad",82,2023-09-29,2:44
ESP,La Baby,Brytiago,La Baby,69,2023-10-27,2:41
"ECU, ESP",La Bachata,Manuel Turizo,2000,85,2023-03-17,2:42
"ECU, MEX",La Bebe - Remix,Yng Lvcas,La Bebe (Remix),91,2023-03-17,3:54
FRA,La League,Werenoi,La League,74,2021-03-03,2:53
ARG,La Morocha,Luck Ra,La Morocha,85,2023-07-07,2:14
MEX,La Víctima,Xavi,La Víctima,86,2023-08-17,2:36
"ARG, ESP",La_Original.mp3,Emilia,.mp3,71,2023-11-03,2:20
FRA,Laboratoire,Werenoi,Carré,78,2023-03-10,2:42
BRA,Lapada Dela - Ao Vivo,Grupo Menos É Mais,Confia (Ao Vivo),87,2023-01-20,2:39
DEU,Lass mich gehen,AYLIVA,Schwarzes Herz,78,2023-08-25,2:37
GBR,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,70,2023-07-07,4:25
"AUS, CAN, USA",Last Night,Morgan Wallen,One Thing At A Time,86,2023-03-03,2:43
FRA,Le feu,Kendji Girac,L'école de la vie,72,2022-11-11,3:57
FRA,Les Flammes,Josman,J.000.$,69,2023-10-28,3:13
BRA,Let's Go 4,Dj GBR,Let's Go 4,89,2023-08-29,10:41
BRA,Leão,Marília Mendonça,Decretos Reais,75,2023-05-25,2:46
DEU,LiEBE AUF DER RÜCKBANK,FiNCH,DORFDiSKO ZWEi,74,2023-06-01,3:08
DEU,Liebe Grüsse,RAF Camora,Liebe Grüsse,80,2023-10-27,2:16
AUS,Lil Boo Thang,Paul Russell,Lil Boo Thang,86,2023-08-18,1:54
ARG,Linda - Remix,Marka Akme,Linda (Remix),81,2023-09-27,3:54
GBR,Liquor & Cigarettes (feat. ArrDee),Chase & Status,Liquor & Cigarettes (feat. ArrDee),77,2023-09-15,3:09
"ARG, ECU, ESP, MEX",Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,95,2023-07-28,3:19
"ARG, ESP",Los del Espacio,LIT killah,Los del Espacio,88,2023-06-01,5:38
CAN,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),80,2023-09-15,3:30
BRA,Love Gostosinho - Ao Vivo,NATTAN,O Fantástico Mundo De Nattan (Ao Vivo),82,2022-12-08,2:44
USA,Lovers Rock,TV Girl,French Exit,90,2014-06-05,3:33
ARG,Luck Ra | Mission 15,Alan Gomez,Luck Ra | Mission 15,78,2023-05-17,2:13
ARG,Lágrimas | CROSSOVER #4,Big One,Lágrimas | CROSSOVER #4,82,2023-10-10,2:36
DEU,MAXIMUM RIZZ,Ski Aggu,denk mal drüber nach...,72,2023-10-12,2:27
BRA,MEIO TERMO - Ao Vivo,Luan Santana,LUAN CITY 2.0 - FASE 1,85,2023-06-08,2:55
"ECU, MEX",MI EX TENÍA RAZÓN,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),89,2023-08-10,2:34
ITA,MILANO,BIA,REALLY HER (INTL DELUXE),79,2023-09-29,3:14
ITA,MIRACOLO,Salmo,CVLT,69,2023-11-03,2:54
ESP,MODELITO,Mora,PARAÍSO,85,2022-11-03,3:10
ECU,MOJABI GHOST,Tainy,DATA,89,2023-06-29,3:48
"ARG, CAN, ECU, ESP, MEX, USA",MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,2023-10-13,4:27
BRA,MONTAGEM ANOS 2000,DJ Arana,A.Mago - Playlist do Mago,85,2023-09-07,2:58
BRA,MULHER SEGURA - Ao Vivo,Luan Santana,LUAN CITY 2.0 - FASE 2,83,2023-09-14,3:10
ITA,MY LOVE SONG 2 (feat. Coez & Frah Quintale),Salmo,CVLT,70,2023-11-03,2:54
ESP,Madrid City,Ana Mena,Madrid City,76,2023-09-29,2:52
BRA,Mala dos Porta-Mala - Ao Vivo,Gusttavo Lima,Mala dos Porta-Mala (Ao Vivo),86,2023-07-08,2:33
BRA,Manda um Oi - Ao Vivo,Guilherme & Benuto,Manda um Oi (Ao Vivo),84,2023-05-11,2:46
ARG,Me Escapé,DobleP,Me Escapé,72,2023-09-07,2:44
ECU,Me Porto Bonito,Bad Bunny,Un Verano Sin Ti,90,2022-05-06,2:58
DEU,Meine 1,1986zig,Meine 1,74,2023-10-13,3:04
ARG,Mentiras | CROSSOVER #3,Big One,Mentiras | CROSSOVER #3,82,2023-07-25,2:47
FRA,Meridian,Dave,Meridian & Special,75,2023-08-25,4:15
FRA,Meuda,Tiakola,Mélo,78,2022-05-27,2:32
MEX,Mi Bello Angel,Natanael Cano,Nata Montana,88,2023-06-30,3:08
MEX,Mi Kryptonita,Doble ONE Flow Letal,Talento De Vida,78,2023-10-11,3:08
ESP,Mi Luz (ft. Rels B),Rvfv,NASTU,81,2022-01-28,2:48
"ARG, ECU, ESP","Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap,"Milo J: Bzrp Music Sessions, Vol. 57",88,2023-10-03,3:12
MEX,Mood Malandro,Código FN,Mood Malandro,87,2023-08-24,3:11
"AUS, GBR",Mr. Brightside,The Killers,Hot Fuss,88,2004,3:42
DEU,Ms. Jackson,Pashanim,Ms. Jackson,82,2023-08-24,2:27
FRA,Mucho cuir,Rsko,Memory,61,2023-11-03,3:05
"AUS, CAN, GBR, USA",My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,2:17
DEU,Mädchen auf dem Pferd,Luca-Dante Spadafora,Mädchen auf dem Pferd,81,2023-05-12,2:37
ECU,NO ME QUIERO CASAR,Bad Bunny,nadie sabe lo que va a pasar mañana,87,2023-10-13,3:45
ESP,NO PIENSO LLAMAR,Soge Culebra,STORM,68,2023-10-13,3:18
BRA,Narcisista - Ao Vivo,Maiara & Maraisa,"Ao Vivo Em Portugal, Vol. 1",66,2023-09-28,3:31
ESP,Narcotics (with Bryant Myers),Dei V,Narcotics (with Bryant Myers),83,2023-09-14,2:53
ARG,Ni Una Ni Dos,BM,Ni Una Ni Dos,84,2023-06-28,2:41
ITA,Nightmares,Bresh,Nightmares,77,2023-09-29,3:21
ESP,No Estuviste En Lo Malo - REMIX,Morad,No Estuviste En Lo Malo (REMIX),78,2023-10-04,4:28
"AUS, CAN, USA",No Role Modelz,J. Cole,2014 Forest Hills Drive,91,2014-12-09,4:52
FRA,No love,Ninho,NI,76,2023-06-30,3:22
ARG,No soy Eterno,Bizarrap,en dormir sin Madrid,86,2023-10-04,2:32
"ARG, ESP",No_Se_Ve.mp3,Emilia,.mp3,65,2023-11-03,3:23
ECU,Normal,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,84,2022-09-14,2:51
BRA,Nosso Quadro,AgroPlay,Nosso Quadro,80,2023-02-02,2:53
DEU,Not Fair,Niklas Dee,Not Fair,59,2023-06-30,2:43
FRA,Nouvelles,PLK,2069',76,2023-04-13,2:59
BRA,Novidade na Área,Mc Livinho,Novidade na Área,85,2023-06-23,2:00
BRA,Novo Balanço,Veigh,Dos Prédios Deluxe,85,2023-05-19,2:20
"CAN, GBR",Now And Then,The Beatles,Now And Then,84,2023-11-02,4:08
"AUS, CAN, DEU, GBR, USA",Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,2:26
BRA,Não Vitalício (Nunca Mais) - Ao Vivo,Matheus & Kauan,Basiquinho 2 (Ao Vivo),70,2023-08-25,2:49
MEX,O Me Voy O Te Vas,Natanael Cano,O Me Voy O Te Vas,85,2023-10-11,4:02
ESP,OA,Anuel AA,OA,86,2023-10-13,3:55
ARG,OJITOS ROJOS,Grupo Frontera,El Comienzo,81,2023-08-25,3:41
BRA,Oi Vida - Ao Vivo,Gusttavo Lima,Oi Vida (Ao Vivo),84,2023-07-08,2:12
"AUS, GBR",One Of Your Girls,Troye Sivan,Something To Give Each Other,88,2023-10-13,3:01
MEX,Otro Show,Uzielito Mix,Otro Show,83,2023-09-09,2:40
USA,Out Of The Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),88,2023-10-26,3:55
FRA,Overdrive (feat. Norma Jean Martine),Ofenbach,Overdrive (feat. Norma Jean Martine),76,2023-10-06,2:35
ITA,PARAFULMINI (con Bresh & Fabri Fibra),Ernia,IO NON HO PAURA,72,2023-05-04,3:28
"ARG, ECU, ESP, MEX, USA",PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,2023-10-13,2:42
ESP,POLARIS - Remix,Saiko,POLARIS (Remix),86,2023-06-08,4:48
MEX,PRC,Peso Pluma,GÉNESIS,81,2023-06-29,3:04
"AUS, CAN, DEU, FRA, GBR, USA",Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,3:50
BRA,Pane no Sistema,GREGO,Pane no Sistema,79,2023-10-06,3:34
ITA,Papaya,VillaBanks,VILLABANKS,61,2023-10-26,2:19
ITA,Paradiso Artificiale (feat. Baby Gang & Kid Yugi),Tedua,La Divina Commedia,74,2023-06-02,2:42
MEX,Patadas de Ahogado,LATIN MAFIA,Patadas de Ahogado,76,2023-11-02,3:44
CAN,Perfect Night,LE SSERAFIM,Perfect Night,86,2023-10-27,2:39
FRA,Petit génie,Jungeli,Petit génie,15,2023-08-04,3:37
BRA,Piloto,Flora Matos,Piloto,84,2018-06-12,3:17
"AUS, CAN, GBR, USA",Pink + White,Frank Ocean,Blonde,91,2016-08-20,3:04
BRA,Pirulito Vermelho,Diego & Victor Hugo,Pirulito Vermelho,83,2023-06-30,2:32
ARG,Pobre Corazón - En Vivo,Ke Personajes,Pobre Corazón (En Vivo),81,2023-03-02,3:18
MEX,Poco A Poco,Xavi,Poco A Poco,85,2023-09-21,2:36
FRA,Popcorn Salé,SANTA,Popcorn Salé,72,2022-03-25,3:58
"AUS, GBR",Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,Popular (Music from the HBO Original Series),92,2023-06-02,3:35
"AUS, DEU, FRA, GBR",Prada,cassö,Prada,94,2023-08-11,2:12
"ECU, MEX",Primera Cita,Carin Leon,Colmillo De Leche,87,2023-05-19,3:06
