Genre,ArtistName,TrackName,Popularity,Duration
Rap,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),86,205
Dance,Tiësto,Jackie Chan,86,215
Pop,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",86,174
Pop,Kygo,Think About You (feat. Valerie Broussard),86,208
Hip-Hop,Drake,Nice For What,86,210
Hip-Hop,XXXTENTACION,Everybody Dies In Their Nightmares,86,95
Pop,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),86,163
Pop,Lukas Graham,Love Someone,86,205
Pop,Marshmello,Silence,86,180
Reggaeton,Cauty,Ta To Gucci (Remix),86,304
Rap,Lil Baby,Pure Cocaine,86,154
Rap,Travis Scott,goosebumps,86,243
Pop,Jonas Blue,Rise,86,194
Dance,Sia,"Thunderclouds (with Sia, Diplo & Labrinth)",86,187
Pop,Lil Uzi Vert,XO TOUR Llif3,86,182
Pop,Ed Sheeran,Photograph,86,258
Pop,Becky G,Sin Pijama,86,188
Pop,Khalid,Young Dumb & Broke,86,202
Pop,Selena Gomez,Wolves,86,197
Pop,Why Don't We,Big Plans,86,179
Pop,The Chainsmokers,Closer,86,244
Rap,Offset,Ric Flair Drip (& Metro Boomin),86,172
Hip-Hop,Kendrick Lamar,HUMBLE.,86,177
Pop,Bazzi,Mine,86,131
Rap,6ix9ine,"FEFE (feat. Nicki Minaj, Murda Beatz)",86,179
Pop,Reik,Amigos Con Derechos,86,227
Pop,Khalid,Love Lies (with Normani),86,201
Pop,ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) - Remix,86,256
Dance,Bebe Rexha,I'm a Mess,86,195
Rap,Juice WRLD,All Girls Are The Same,86,165
Pop,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,85,207
Rap,Calboy,Envy Me,85,120
Pop,Martin Garrix,Ocean (feat. Khalid),85,216
Rock,Toto,Africa,85,295
Pop,David Guetta,Better When You're Gone,85,192
Rap,Offset,Red Room,85,241
Pop,Billie Eilish,you should see me in a crown,85,180
Pop,P!nk,Walk Me Home,85,177
Pop,The Weeknd,Starboy,85,230
Pop,Galantis,Bones (feat. OneRepublic),85,205
Dance,Zedd,Happy Now,85,207
Pop,Tropkillaz,Bola Rebola,85,193
Reggaeton,Kevin Roldan,PPP,85,129
Pop,Piso 21,Puntos Suspensivos,85,186
Soul,John Legend,All of Me,85,269
Pop,Ed Sheeran,Thinking Out Loud,85,281
Reggaeton,Manuel Turizo,Esclavo de Tus Besos,85,219
Reggaeton,Bad Bunny,Caro,85,229
Reggaeton,Bad Bunny,Solo de Mi,85,197
Pop,Mario Bautista,Baby Girl (feat. Lalo Ebratt),85,218
Pop,Kenny Man,Ni Gucci Ni Prada,85,175
Reggaeton,Ozuna,Ibiza,85,200
Pop,Billie Eilish,my boy,85,170
Rap,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),85,166
Pop,Kodak Black,Calling My Spirit,85,152
Pop,Lauv,There's No Way (feat. Julia Michaels),85,174
Pop,Shawn Mendes,There's Nothing Holdin' Me Back,85,199
Rap,21 Savage,monster,85,233
Pop,Metro Boomin,10 Freaky Girls (with 21 Savage),85,208
Dance,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",85,210
Rock,Imagine Dragons,Whatever It Takes,85,201
Pop,Marshmello,Alone,85,273
Rap,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),85,192
Pop,Sam Smith,Stay With Me,85,172
Rock,Jason Mraz,I'm Yours,85,242
Rap,Kehlani,Nights Like This (feat. Ty Dolla $ign),85,201
Rap,Offset,Legacy (feat. Travis Scott & 21 Savage),85,244
Rap,French Montana,Unforgettable,85,233
Pop,Bruno Mars,That's What I Like,85,206
Pop,Lil Baby,Yes Indeed,85,142
Rap,Eminem,'Till I Collapse,85,297
Pop,James Arthur,Say You Won't Let Go,85,211
Pop,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),85,149
Rap,Future,First Off (feat. Travis Scott),85,228
Rap,Future,Fine China,85,141
Rap,Ski Mask The Slump God,Faucet Failure,85,145
Pop,H.E.R.,Best Part (feat. Daniel Caesar),85,209
Pop,Shawn Mendes,Treat You Better,85,187
Pop,King Princess,1950,84,225
Hip-Hop,NF,Let You Down,84,212
Children’s Music,Joji,SLOW DANCING IN THE DARK,84,209
Pop,Dean Lewis,7 Minutes,84,211
Pop,Billie Eilish,bitches broken hearts,84,176
Rap,Juice WRLD,Lean Wit Me,84,175
Dance,a-ha,Take on Me,84,225
Pop,Travis Scott,BUTTERFLY EFFECT,84,190
Rap,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),84,233
Pop,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",84,194
Rock,Twenty One Pilots,Stressed Out,84,202
Pop,Maluma,HP,84,184
Hip-Hop,21 Savage,Bank Account,84,220
Reggaeton,Maluma,Mala Mía,84,183
Pop,Future,Crushed Up,84,149
Rap,Logic,Everyday,84,204
Hip-Hop,Paulo Londra,Forever Alone,84,215
Rap,Travis Scott,STARGAZING,84,270
Pop,Avicii,Without You (feat. Sandro Cavazza),84,181
Pop,ZAYN,Dusk Till Dawn - Radio Edit,84,239
Indie,Dermot Kennedy,Power Over Me,84,206
Pop,Coldplay,The Scientist,84,309
Pop,Anitta,Terremoto,84,146
Pop,Billie Eilish,come out and play,84,210
Reggaeton,Lunay,A Solas - Remix,84,273
Reggaeton,Dalex,Pa Mí - Remix,84,360
Pop,Khalid,Location,84,219
Dance,Avicii,Wake Me Up,84,247
Pop,Martin Garrix,No Sleep (feat. Bonn),84,207
Pop,Logic,1-800-273-8255,84,250
Dance,Ariana Grande,Into You,84,244
Hip-Hop,XXXTENTACION,Sauce!,84,144
Reggaeton,Paloma Mami,No Te Enamores,84,183
Rap,Migos,Walk It Talk It,84,276
Pop,John Mayer,New Light,84,216
Dance,Ariana Grande,One Last Time,84,197
Rap,Kendrick Lamar,All The Stars (with SZA),84,232
Rap,Rich The Kid,Plug Walk,84,175
Pop,Billie Eilish,COPYCAT,84,194
Reggaeton,Nicky Jam,X,84,173
Dance,Little Mix,Woman Like Me (feat. Nicki Minaj),84,228
R&B,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,84,248
Pop,Ella Mai,Trip,84,213
Pop,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),84,223
R&B,DJ Khaled,No Brainer,84,260
Rock,Arctic Monkeys,Do I Wanna Know?,84,272
Dance,Shawn Mendes,Lost In Japan,84,201
Pop,Ariana Grande,Side To Side,84,226
Pop,Post Malone,Candy Paint,84,227
R&B,Julia Michaels,What A Time (feat. Niall Horan),84,173
Rap,Linkin Park,In The End,84,216
Dance,Jonas Blue,Polaroid,84,193
Pop,Danny Ocean,Me Rehúso,84,205
Rock,AC/DC,Highway to Hell,84,208
Hip-Hop,Wisin & Yandel,Aullando,84,226
Hip-Hop,J. Cole,No Role Modelz,84,292
Pop,Dennis Lloyd,Nevermind,84,156
Pop,Axwell /\ Ingrosso,More Than You Know,83,203
Rap,Trippie Redd,Topanga,83,215
Hip-Hop,Lil Pump,Butterfly Doors,83,132
Rap,Lil Mosey,Kamikaze,83,139
Pop,Michael Jackson,Billie Jean,83,293
Pop,Calum Scott,Dancing On My Own,83,260
Rap,Blueface,"Thotiana (feat. Cardi B, YG) [Remix]",83,297
Pop,Shawn Mendes,Mercy,83,208
Alternative,Joji,Sanctuary,83,180
Pop,Shakira,Hips Don't Lie,83,218
Rap,XXXTENTACION,BAD!,83,94
Hip-Hop,Drake,One Dance,83,173
Rap,A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD),83,214
Rap,Juice WRLD,Hide (feat. Seezyn),83,205
Reggaeton,Ozuna,Luz Apaga,83,245
Rap,Trippie Redd,1400 / 999 Freestyle,83,175
Pop,Sam Smith,I'm Not The Only One,83,239
Pop,Clean Bandit,I Miss You (feat. Julia Michaels),83,205
Pop,DJ Snake,Let Me Love You,83,205
Pop,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),83,259
Rock,AC/DC,Back In Black,83,255
Pop,The Chainsmokers,Something Just Like This,83,247
Pop,Justin Bieber,Love Yourself,83,233
Rap,Blueface,Bleed It,83,145
Pop,Loud Luxury,Body,83,163
Pop,gnash,"i hate u, i love u (feat. olivia o'brien)",83,251
Pop,Khalid,OTW,83,263
Reggaeton,Rauw Alejandro,Que Le De,83,225
Pop,Tyga,Girls Have Fun (feat. G-Eazy & Rich The Kid),83,175
Pop,Marshmello,Project Dreams,83,167
Pop,Zac Efron,Rewrite The Stars,83,217
Rap,XXXTENTACION,the remedy for a broken heart (why am I so in love),83,160
Pop,Lady Gaga,Million Reasons,83,205
Pop,Tyga,SWISH,83,194
R&B,Demi Lovato,Sorry Not Sorry,83,203
Dance,Charlie Puth,Attention,83,208
Pop,Martin Garrix,High On Life (feat. Bonn),83,230
Pop,Ed Sheeran,Galway Girl,83,170
R&B,The Weeknd,Call Out My Name,83,228
Folk,Eagles,Hotel California - Eagles 2013 Remaster,83,391
Indie,Charli XCX,1999,83,189
Rock,Twenty One Pilots,Ride,83,214
Rock,Train,"Hey, Soul Sister",83,216
Pop,Martin Garrix,In the Name of Love,83,195
R&B,Julia Michaels,Anxiety (with Selena Gomez),83,210
Dance,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),83,218
Children’s Music,Foster The People,Pumped Up Kicks,83,239
Pop,Post Malone,Go Flex,83,179
Pop,Maroon 5,She Will Be Loved - Radio Mix,83,259
Hip-Hop,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",83,237
Pop,Bruno Mars,Finesse (Remix) [feat. Cardi B],83,217
Dance,David Guetta,Flames,83,195
Hip-Hop,Zion & Lennox,La Player (Bandolera),83,249
Rap,XXXTENTACION,Hope,83,110
Pop,Shawn Mendes,Lost In Japan - Remix,83,201
Rap,XXXTENTACION,Look At Me!,83,126
Pop,Aminé,REEL IT IN,83,121
Pop,Alesso,REMEDY,83,190
R&B,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),83,291
Pop,Post Malone,White Iverson,83,256
Hip-Hop,Eminem,Love The Way You Lie,82,263
Rap,Juice WRLD,Hear Me Calling,82,189
Pop,Dennis Lloyd,Never Go Back,82,175
Reggaeton,Reik,Me Niego,82,221
Pop,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",82,201
Pop,Thalía,No Me Acuerdo,82,217
Reggaeton,Natti Natasha,Criminal,82,232
Reggaeton,Ozuna,Devuelveme,82,188
Pop,R.E.M.,Losing My Religion,82,268
Pop,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,82,216
Reggaeton,Bad Bunny,La Romana,82,300
Pop,Nacho,Déjalo,82,202
Hip-Hop,Ninho,Goutte d’eau,82,157
Reggaeton,Bad Bunny,Si Estuviésemos Juntos,82,169
Pop,Sigala,Just Got Paid,82,218
Dance,Mark Ronson,Uptown Funk,82,269
Rap,Kodak Black,Roll In Peace (feat. XXXTENTACION),82,213
Pop,Why Don't We,8 Letters,82,190
Hip-Hop,Comethazine,Walk,82,96
Pop,Martin Garrix,Scared to Be Lonely,82,220
Dance,ITZY,달라달라 DALLA DALLA,82,199
Hip-Hop,Russ,Missin You Crazy,82,226
Dance,benny blanco,I Found You (with Calvin Harris),82,191
Pop,Billie Eilish,watch,82,177
Pop,SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,82,192
Pop,Jeremy Zucker,comethru,82,181
Pop,Hailee Steinfeld,Starving,82,181
Hip-Hop,Eminem,Without Me,82,290
Rap,Eminem,River (feat. Ed Sheeran),82,221
Rock,Red Hot Chili Peppers,Can't Stop,82,269
Hip-Hop,Duki,Sin Culpa (feat. DrefQuila),82,244
Rock,Red Hot Chili Peppers,Californication,82,329
Movie,Loren Allred,Never Enough,82,207
Pop,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,82,258
Pop,Zedd,Stay (with Alessia Cara),82,210
Rap,Eminem,Venom - Music From The Motion Picture,82,269
Rock,Radiohead,Creep,82,238
Rap,Linkin Park,Numb,82,185
Country,Luke Combs,Beautiful Crazy,82,193
Dance,Jax Jones,Play,82,186
Pop,Kris Kross Amsterdam,Whenever (feat. Conor Maynard),82,163
Rap,Post Malone,Stay,82,204
Pop,Clean Bandit,Symphony (feat. Zara Larsson),82,212
Pop,Khalid,Suncity (feat. Empress Of),82,189
Rap,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",82,174
Rock,Tame Impala,The Less I Know The Better,82,216
Rock,Red Hot Chili Peppers,Under The Bridge,82,264
Rap,Eminem,Killshot,82,253
Pop,Maluma,Mala Mía - Remix,82,207
Pop,James Arthur,Empty Space,82,214
Hip-Hop,Migos,MotorSport,82,303
Rock,The Beatles,Here Comes The Sun - Remastered 2009,82,185
Pop,Marc Anthony,Está Rico,82,215
Rock,Smash Mouth,All Star,82,200
Pop,Jess Glynne,I'll Be There,82,193
R&B,The Weeknd,The Hills,82,242
Pop,Coldplay,Yellow,82,266
R&B,6LACK,Pretty Little Fears (feat. J. Cole),82,240
Rock,Queen,Bohemian Rhapsody - Remastered 2011,82,354
Rock,Twenty One Pilots,Heathens,82,195
Pop,Manuel Turizo,Sola,82,195
Rap,Future,Mask Off,82,204
Pop,G-Eazy,Him & I (with Halsey),82,268
Rock,Twenty One Pilots,Chlorine,82,324
R&B,Madison Beer,Hurts Like Hell (feat. Offset),82,207
Rock,Lynyrd Skynyrd,Sweet Home Alabama,82,283
Pop,Lil Baby,Close Friends (Lil Baby & Gunna),82,203
Pop,Lil Dicky,Freaky Friday (feat. Chris Brown),82,216
Pop,The Chainsmokers,Don't Let Me Down,82,208
Pop,Ed Sheeran,Castle on the Hill,82,261
Pop,Spice Girls,Wannabe,82,173
Dance,Luis Fonsi,Despacito - Remix,82,228
Rap,Juice WRLD,Wasted (feat. Lil Uzi Vert),82,258
Hip-Hop,Kendrick Lamar,DNA.,82,185
Rap,Juice WRLD,Legends,82,191
Reggaeton,Wisin & Yandel,Reggaetón en lo Oscuro,82,208
Hip-Hop,Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),82,195
Pop,Travis Scott,CAN'T SAY,82,198
R&B,Rihanna,Umbrella,82,275
Rap,Drake,Passionfruit,82,298
R&B,City Girls,Twerk (feat. Cardi B),82,166
Hip-Hop,Rvssian,Ponle,82,164
Rap,Drake,Don’t Matter To Me (with Michael Jackson),82,245
Rap,Juice WRLD,Black & White,82,186
Pop,James Arthur,Naked,82,234
Pop,Hailee Steinfeld,Capital Letters,81,219
Indie,Kings of Leon,Sex on Fire,81,203
Indie,December Avenue,Kung 'Di Rin Lang Ikaw,81,267
Rap,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",81,192
Hip-Hop,Daddy Yankee,Dura,81,200
Folk,Tom Walker,Leave a Light On,81,185
Pop,J Balvin,No Es Justo,81,250
Hip-Hop,Ski Mask The Slump God,Foot Fungus,81,129
Pop,Alex & Sierra,Little Do You Know,81,185
Pop,Migos,Stir Fry,81,190
Pop,Kygo,Remind Me to Forget,81,217
Pop,Steve Aoki,Waste It On Me (feat. BTS),81,192
Pop,Justin Bieber,Sorry,81,200
Hip-Hop,NSG,Options,81,240
Pop,Billie Eilish,Six Feet Under,81,189
Pop,Kendrick Lamar,LOVE. FEAT. ZACARI.,81,213
Pop,Daniel Caesar,Best Part (feat. H.E.R.),81,209
Reggaeton,Bad Bunny,200 Mph,81,170
Pop,Tears For Fears,Everybody Wants To Rule The World,81,251
Rap,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),81,209
Reggaeton,CNCO,Llegaste Tú,81,190
Pop,George Ezra,Hold My Girl,81,211
Pop,Fall Out Boy,Centuries,81,228
Rock,Queen,Don't Stop Me Now - Remastered,81,209
Soul,Rag'n'Bone Man,Human,81,200
Rock,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",81,281
Rock,AC/DC,Thunderstruck,81,292
Pop,Electric Light Orchestra,Mr. Blue Sky,81,303
Dance,Shakira,Clandestino,81,231
Dance,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),81,251
Hip-Hop,Lil Peep,Save That Shit,81,231
Indie,This Band,Kahit Ayaw Mo Na,81,243
Rock,Guns N' Roses,November Rain,81,536
Hip-Hop,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",81,326
Reggaeton,Bad Bunny,Otra Noche en Miami,81,233
Reggaeton,Bad Bunny,Estamos Bien,81,208
Rock,The Cranberries,Zombie,81,306
Rap,6ix9ine,TIC TOC (feat. Lil Baby),81,135
Reggaeton,Ozuna,Cama Vacia,81,201
Pop,Ariana Grande,Dangerous Woman,81,235
Pop,J. Cole,Wet Dreamz,81,239
Pop,Joji,YEAH RIGHT,81,174
Hip-Hop,TLC,No Scrubs,81,214
Pop,Halsey,Without Me (with Juice WRLD),81,228
Pop,J. Cole,KOD,81,191
Hip-Hop,Wisin & Yandel,Callao,81,219
Pop,Camila Cabello,Consequences - orchestra,81,181
Pop,DNCE,Cake By The Ocean,81,219
Pop,A$AP Ferg,Plain Jane,81,173
Pop,The Weeknd,Pray For Me (with Kendrick Lamar),81,211
Hip-Hop,Lil Pump,Be Like Me (feat. Lil Wayne),81,240
Pop,Usher,Yeah! (feat. Lil Jon & Ludacris),81,250
Pop,Bryson Tiller,Exchange,81,194
Pop,Calvin Harris,This Is What You Came For,81,222
Hip-Hop,Heuss L'enfoiré,Khapta,81,162
Pop,Liam Payne,Strip That Down,81,204
Pop,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,81,332
Pop,Tyga,Dip (feat. Nicki Minaj),81,195
Hip-Hop,Gorillaz,Feel Good Inc,81,222
Pop,Childish Gambino,This Is America,81,225
Pop,Camila Cabello,Never Be the Same,81,226
Pop,Lil Uzi Vert,New Patek,81,343
Pop,Metro Boomin,Don't Come Out The House (with 21 Savage),81,168
Pop,Lennon Stella,La Di Da,81,209
Pop,Seeb,Grip,81,198
Pop,Mac Miller,Self Care,81,345
Rap,System Of A Down,Chop Suey!,81,210
Pop,Christina Perri,A Thousand Years,81,285
Pop,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,81,270
Pop,Bruno Mars,24K Magic,81,225
Pop,Lil Wayne,Uproar,81,194
Pop,Cardi B,Bodak Yellow,81,223
Pop,Halsey,Bad At Love,81,181
Pop,James TW,When You Love Someone,81,216
Pop,Famous Dex,JAPAN,81,142
Rap,Wiz Khalifa,See You Again (feat. Charlie Puth),81,229
Rap,Eminem,The Ringer,81,337
Pop,The Fray,How to Save a Life,81,262
Pop,Post Malone,Ball For Me (feat. Nicki Minaj),81,206
R&B,The Weeknd,I Feel It Coming,81,269
Pop,Sia,"Genius (with Sia, Diplo & Labrinth)",81,213
Rap,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),81,216
Pop,Rihanna,FourFiveSeconds,80,188
Pop,Gunna,Speed It Up,80,179
Pop,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),80,214
Hip-Hop,2 Chainz,Whip (feat. Travis Scott),80,226
Pop,Macklemore,Glorious (feat. Skylar Grey),80,220
Pop,Maroon 5,Sugar,80,235
Rap,XXXTENTACION,NUMB,80,186
Pop,Shawn Mendes,Fallin' All In You,80,235
Pop,Post Malone,Rich & Sad,80,206
R&B,The Weeknd,Can't Feel My Face,80,213
Rap,Kina,Get You The Moon (feat. Snøw),80,179
Pop,Kanye West,Gold Digger,80,207
Indie,Olivia O'Brien,hate u love u,80,175
Pop,Backstreet Boys,I Want It That Way,80,213
Pop,Meghan Trainor,Like I'm Gonna Lose You,80,225
Pop,Rihanna,Take A Bow,80,229
Pop,Avicii,The Nights,80,176
Pop,Rex Orange County,Sunflower,80,252
Pop,Shawn Mendes,Youth (feat. Khalid),80,190
Pop,John Mayer,I Guess I Just Feel Like,80,285
Dance,Zara Larsson,Lush Life,80,201
Dance,Anne-Marie,Perfect To Me,80,197
Hip-Hop,Eminem,The Real Slim Shady,80,284
Pop,Rachel Platten,Fight Song,80,204
