primaryTitle;titleType;startYear;runtimeMinutes;genre;director;averageRating;numVotes
Spider-Man: Into the Spider-Verse;movie;2018;117;Action;Bob Persichetti;8.4;753967
Apocalypse Now;movie;1979;147;Drama;Francis Ford Coppola;8.4;752888
Casablanca;movie;1942;102;Drama;Michael Curtiz;8.5;640934
V for Vendetta;movie;2005;132;Action;James McTeigue;8.1;1227711
A Beautiful Mind;movie;2001;135;Biography;Ron Howard;8.2;1034662
It's a Wonderful Life;movie;1946;130;Drama;Frank Capra;8.6;535178
Catch Me If You Can;movie;2002;141;Biography;Steven Spielberg;8.1;1191285
Die Hard;movie;1988;132;Action;John McTiernan;8.2;1002792
Taxi Driver;movie;1976;114;Crime;Martin Scorsese;8.2;997949
Mad Max: Fury Road;movie;2015;120;Action;George Miller;8.1;1183496
Spider-Man: No Way Home;movie;2021;148;Action;Jon Watts;8.2;980350
Amélie;movie;2001;122;Comedy;Jean-Pierre Jeunet;8.3;826803
Gone Girl;movie;2014;149;Drama;David Fincher;8.1;1140090
Snatch;movie;2000;102;Comedy;Guy Ritchie;8.2;958248
Guardians of the Galaxy;movie;2014;121;Action;James Gunn;8.0;1336718
The Kashmir Files;movie;2022;170;Drama;Vivek Agnihotri;8.5;577438
Coco;movie;2017;105;Adventure;Lee Unkrich;8.4;670892
A Clockwork Orange;movie;1971;136;Crime;Stanley Kubrick;8.2;921754
Heat;movie;1995;170;Action;Michael Mann;8.3;775503
2001: A Space Odyssey;movie;1968;149;Adventure;Stanley Kubrick;8.3;765226
Rear Window;movie;1954;112;Drama;Alfred Hitchcock;8.5;555497
Prisoners;movie;2013;153;Crime;Denis Villeneuve;8.2;896905
Monsters, Inc.;movie;2001;92;Adventure;Pete Docter;8.1;1046361
Deadpool;movie;2016;108;Action;Tim Miller;8.0;1226317
Avatar;movie;2009;162;Action;James Cameron;7.9;1447936
Harry Potter and the Deathly Hallows: Part 2;movie;2011;130;Adventure;David Yates;8.1;1016127
Indiana Jones and the Last Crusade;movie;1989;127;Action;Steven Spielberg;8.2;849019
Full Metal Jacket;movie;1987;116;Drama;Stanley Kubrick;8.2;834092
The Terminator;movie;1984;107;Action;James Cameron;8.1;979713
Oldboy;movie;2003;120;Action;Park Chan-wook;8.3;695116
Titanic;movie;1997;194;Drama;James Cameron;7.9;1358374
Top Gun: Maverick;movie;2022;130;Action;Joseph Kosinski;8.2;806461
The Grand Budapest Hotel;movie;2014;99;Comedy;Wes Anderson;8.1;942672
Spider-Man: Across the Spider-Verse;movie;2023;140;Action;Joaquim Dos Santos;8.5;483177
Ratatouille;movie;2007;111;Adventure;Brad Bird;8.1;908818
Logan;movie;2017;137;Action;James Mangold;8.1;905140
The Big Lebowski;movie;1998;117;Comedy;Joel Coen;8.1;901375
Inside Out;movie;2015;95;Adventure;Pete Docter;8.1;886420
1917;movie;2019;119;Action;Sam Mendes;8.2;744957
How to Train Your Dragon;movie;2010;98;Action;Dean DeBlois;8.1;868334
Pan's Labyrinth;movie;2006;118;Drama;Guillermo del Toro;8.2;733259
Seven Samurai;movie;1954;207;Action;Akira Kurosawa;8.6;391161
Blade Runner;movie;1982;117;Action;Ridley Scott;8.1;865316
Gran Torino;movie;2008;116;Drama;Clint Eastwood;8.1;848748
Iron Man;movie;2008;126;Action;Jon Favreau;7.9;1194233
The Martian;movie;2015;144;Adventure;Ridley Scott;8.0;982228
Dune: Part One;movie;2021;155;Action;Denis Villeneuve;8.0;980384
There Will Be Blood;movie;2007;158;Drama;Paul Thomas Anderson;8.2;685537
The Revenant;movie;2015;156;Adventure;Alejandro G. Iñárritu;8.0;924436
Green Book;movie;2018;130;Biography;Peter Farrelly;8.2;655781
12 Years a Slave;movie;2013;134;Biography;Steve McQueen;8.1;773014
Fargo;movie;1996;98;Crime;Joel Coen;8.1;766371
L.A. Confidential;movie;1997;138;Crime;Curtis Hanson;8.2;648554
Slumdog Millionaire;movie;2008;120;Crime;Danny Boyle;8.0;900802
3 Idiots;movie;2009;170;Comedy;Rajkumar Hirani;8.4;468580
Trainspotting;movie;1996;93;Crime;Danny Boyle;8.1;757712
Donnie Darko;movie;2001;113;Drama;Richard Kelly;8.0;893961
Million Dollar Baby;movie;2004;132;Drama;Clint Eastwood;8.1;754469
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;movie;1964;95;Comedy;Stanley Kubrick;8.3;543825
The Incredibles;movie;2004;115;Action;Brad Bird;8.0;874360
Amadeus;movie;1984;160;Biography;Milos Forman;8.4;455514
Black Swan;movie;2010;108;Drama;Darren Aronofsky;8.0;871116
The Imitation Game;movie;2014;114;Biography;Morten Tyldum;8.0;863083
Jaws;movie;1975;124;Adventure;Steven Spielberg;8.1;718010
Kill Bill: Vol. 2;movie;2004;137;Action;Quentin Tarantino;8.0;848469
Casino;movie;1995;178;Crime;Martin Scorsese;8.2;603199
Once Upon a Time in the West;movie;1968;166;Drama;Sergio Leone;8.5;374608
Monty Python and the Holy Grail;movie;1975;91;Adventure;Terry Gilliam;8.2;594555
The Lives of Others;movie;2006;137;Drama;Florian Henckel von Donnersmarck;8.4;433171
Sin City;movie;2005;124;Crime;Frank Miller;8.0;813394
Grave of the Fireflies;movie;1988;88;Animation;Isao Takahata;8.5;363720
Rocky;movie;1976;120;Drama;John G. Avildsen;8.1;672131
Hacksaw Ridge;movie;2016;139;Biography;Mel Gibson;8.1;654717
Princess Mononoke;movie;1997;133;Adventure;Hayao Miyazaki;8.3;469823
Lock, Stock and Two Smoking Barrels;movie;1998;107;Comedy;Guy Ritchie;8.1;641329
Thor: Ragnarok;movie;2017;130;Action;Taika Waititi;7.9;872109
La La Land;movie;2016;128;Comedy;Damien Chazelle;8.0;735037
Blade Runner 2049;movie;2017;164;Action;Denis Villeneuve;8.0;729312
Groundhog Day;movie;1993;101;Comedy;Harold Ramis;8.0;726640
Casino Royale;movie;2006;144;Action;Martin Campbell;8.0;726624
The King's Speech;movie;2010;118;Biography;Tom Hooper;8.0;726068
Dead Poets Society;movie;1989;128;Comedy;Peter Weir;8.1;614481
Her;movie;2013;126;Drama;Spike Jonze;8.0;712548
The Thing;movie;1982;109;Horror;John Carpenter;8.2;509224
Your Name.;movie;2016;106;Animation;Makoto Shinkai;8.4;371539
Arrival;movie;2016;116;Drama;Denis Villeneuve;7.9;835727
Knives Out;movie;2019;130;Comedy;Rian Johnson;7.9;833061
Three Billboards Outside Ebbing, Missouri;movie;2017;115;Comedy;Martin McDonagh;8.1;592440
Into the Wild;movie;2007;148;Adventure;Sean Penn;8.0;687342
Howl's Moving Castle;movie;2004;119;Adventure;Hayao Miyazaki;8.2;495207
Cinema Paradiso;movie;1988;174;Drama;Giuseppe Tornatore;8.5;307424
The Bourne Ultimatum;movie;2007;115;Action;Paul Greengrass;8.0;675959
Citizen Kane;movie;1941;119;Drama;Orson Welles;8.2;486771
12 Monkeys;movie;1995;129;Mystery;Terry Gilliam;8.0;670100
Shrek;movie;2001;90;Adventure;Andrew Adamson;7.9;788432
Edge of Tomorrow;movie;2014;113;Action;Doug Liman;7.9;786157
X-Men: Days of Future Past;movie;2014;132;Action;Bryan Singer;7.9;777721
Once Upon a Time in America;movie;1984;229;Crime;Sergio Leone;8.3;400633
The Hobbit: An Unexpected Journey;movie;2012;169;Adventure;Peter Jackson;7.8;912247
Rush;movie;2013;123;Biography;Ron Howard;8.1;546165
The Hunt;movie;2012;115;Drama;Thomas Vinterberg;8.3;396644
Captain America: Civil War;movie;2016;147;Action;Anthony Russo;7.8;905033
Ford v Ferrari;movie;2019;152;Action;James Mangold;8.1;544154
Unforgiven;movie;1992;130;Drama;Clint Eastwood;8.2;460336
The Batman;movie;2022;176;Action;Matt Reeves;7.8;897573
Harry Potter and the Prisoner of Azkaban;movie;2004;142;Adventure;Alfonso Cuarón;7.9;743418
District 9;movie;2009;112;Action;Neill Blomkamp;7.9;742264
Vertigo;movie;1958;128;Mystery;Alfred Hitchcock;8.2;451205
Spotlight;movie;2015;129;Biography;Tom McCarthy;8.1;525557
Blood Diamond;movie;2006;143;Adventure;Edward Zwick;8.0;614931
Warrior;movie;2011;140;Action;Gavin O'Connor;8.1;520644
The Help;movie;2011;146;Drama;Tate Taylor;8.1;520012
Modern Times;movie;1936;87;Comedy;Charles Chaplin;8.5;277442
The Pursuit of Happyness;movie;2006;117;Biography;Gabriele Muccino;8.0;603122
Star Wars: Episode VII - The Force Awakens;movie;2015;138;Action;J.J. Abrams;7.7;1010577
Zootopia;movie;2016;108;Action;Byron Howard;8.0;593577
North by Northwest;movie;1959;136;Adventure;Alfred Hitchcock;8.3;364329
Life of Pi;movie;2012;127;Adventure;Ang Lee;7.9;691086
Jai Bhim;movie;2021;164;Crime;T.J. Gnanavel;8.6;229623
The Exorcist;movie;1973;122;Horror;William Friedkin;8.1;486447
Rain Man;movie;1988;133;Drama;Barry Levinson;8.0;572567
The Social Network;movie;2010;120;Biography;David Fincher;7.8;801955
Captain America: The Winter Soldier;movie;2014;136;Action;Anthony Russo;7.7;950853
Dunkirk;movie;2017;106;Action;Christopher Nolan;7.8;786802
To Kill a Mockingbird;movie;1962;129;Crime;Robert Mulligan;8.3;346654
Room;movie;2015;118;Drama;Lenny Abrahamson;8.1;473156
Stand by Me;movie;1986;89;Adventure;Rob Reiner;8.1;472979
Get Out;movie;2017;104;Horror;Jordan Peele;7.8;781416
Toy Story 2;movie;1999;92;Adventure;John Lasseter;7.9;654375
Harry Potter and the Sorcerer's Stone;movie;2001;152;Adventure;Chris Columbus;7.7;920765
Platoon;movie;1986;120;Drama;Oliver Stone;8.1;462671
Downfall;movie;2004;156;Biography;Oliver Hirschbiegel;8.2;393449
The Hangover;movie;2009;100;Comedy;Todd Phillips;7.7;904465
Skyfall;movie;2012;143;Action;Sam Mendes;7.8;758227
Lawrence of Arabia;movie;1962;227;Adventure;David Lean;8.3;334141
The Wizard of Oz;movie;1939;102;Adventure;Victor Fleming;8.1;457082
Star Trek;movie;2009;127;Action;J.J. Abrams;7.9;632896
Bohemian Rhapsody;movie;2018;134;Biography;Bryan Singer;7.9;630828
Drive;movie;2011;100;Action;Nicolas Winding Refn;7.8;746569
Gravity;movie;2013;91;Drama;Alfonso Cuarón;7.7;888938
Das Boot;movie;1981;149;Drama;Wolfgang Petersen;8.4;282638
The Hobbit: The Desolation of Smaug;movie;2013;161;Adventure;Peter Jackson;7.8;740218
Rogue One: A Star Wars Story;movie;2016;133;Action;Gareth Edwards;7.8;738281
The Curious Case of Benjamin Button;movie;2008;166;Drama;David Fincher;7.8;731628
The Hateful Eight;movie;2015;168;Crime;Quentin Tarantino;7.8;704528
Beauty and the Beast;movie;1991;84;Animation;Gary Trousdale;8.0;497845
Aladdin;movie;1992;90;Adventure;Ron Clements;8.0;491771
My Neighbor Totoro;movie;1988;86;Adventure;Hayao Miyazaki;8.1;417578
The Perks of Being a Wallflower;movie;2012;103;Drama;Stephen Chbosky;7.9;579199
Cast Away;movie;2000;143;Adventure;Robert Zemeckis;7.8;675526
Gone with the Wind;movie;1939;238;Drama;Victor Fleming;8.2;350734
The Notebook;movie;2004;123;Drama;Nick Cassavetes;7.8;668302
The Princess Bride;movie;1987;98;Adventure;Rob Reiner;8.0;474077
Big Fish;movie;2003;125;Adventure;Tim Burton;8.0;473267
Raging Bull;movie;1980;129;Biography;Martin Scorsese;8.1;401487
Sunset Boulevard;movie;1950;110;Drama;Billy Wilder;8.4;253066
Children of Men;movie;2006;109;Drama;Alfonso Cuarón;7.9;555380
The Great Dictator;movie;1940;125;Comedy;Charles Chaplin;8.4;252147
Once Upon a Time... in Hollywood;movie;2019;161;Comedy;Quentin Tarantino;7.6;930886
Nightcrawler;movie;2014;117;Crime;Dan Gilroy;7.8;649444
Silver Linings Playbook;movie;2012;122;Comedy;David O. Russell;7.7;764794
Kingsman: The Secret Service;movie;2014;129;Action;Matthew Vaughn;7.7;762752
Dallas Buyers Club;movie;2013;117;Biography;Jean-Marc Vallée;7.9;539895
Hotel Rwanda;movie;2004;121;Biography;Terry George;8.1;387244
X-Men: First Class;movie;2011;131;Action;Matthew Vaughn;7.7;754142
Star Wars: Episode III - Revenge of the Sith;movie;2005;140;Action;George Lucas;7.6;899990
300;movie;2006;117;Action;Zack Snyder;7.6;899829
City Lights;movie;1931;87;Comedy;Charles Chaplin;8.5;210010
Shaun of the Dead;movie;2004;99;Comedy;Edgar Wright;7.8;627614
12th Fail;movie;2023;147;Biography;Vidhu Vinod Chopra;8.7;157060
The Deer Hunter;movie;1978;183;Drama;Michael Cimino;8.1;380375
Singin' in the Rain;movie;1952;103;Comedy;Stanley Donen;8.3;276589
Harry Potter and the Goblet of Fire;movie;2005;157;Adventure;Mike Newell;7.7;730537
A Separation;movie;2011;123;Drama;Asghar Farhadi;8.3;273050
Back to the Future Part II;movie;1989;108;Adventure;Robert Zemeckis;7.8;607092
Chinatown;movie;1974;130;Drama;Roman Polanski;8.1;370161
Mystic River;movie;2003;138;Crime;Clint Eastwood;7.9;511203
The Bourne Identity;movie;2002;119;Action;Doug Liman;7.8;601737
Monty Python's Life of Brian;movie;1979;94;Comedy;Terry Jones;8.0;431252
Before Sunrise;movie;1995;101;Comedy;Richard Linklater;8.1;366696
Paths of Glory;movie;1957;88;Drama;Stanley Kubrick;8.4;230799
Home Alone;movie;1990;103;Comedy;Chris Columbus;7.7;707283
Everything Everywhere All at Once;movie;2022;139;Action;Daniel Kwan;7.8;593430
Soul;movie;2020;100;Adventure;Pete Docter;8.0;417213
Birdman or (The Unexpected Virtue of Ignorance);movie;2014;119;Comedy;Alejandro G. Iñárritu;7.7;688662
In Bruges;movie;2008;107;Comedy;Martin McDonagh;7.9;484658
Some Like It Hot;movie;1959;121;Comedy;Billy Wilder;8.2;299351
Guardians of the Galaxy Vol. 2;movie;2017;136;Action;James Gunn;7.6;809562
American Psycho;movie;2000;102;Crime;Mary Harron;7.6;801339
Jojo Rabbit;movie;2019;108;Comedy;Taika Waititi;7.9;475799
The Sting;movie;1973;129;Comedy;George Roy Hill;8.2;294513
For a Few Dollars More;movie;1965;132;Drama;Sergio Leone;8.2;293743
Hot Fuzz;movie;2007;121;Action;Edgar Wright;7.8;557759
Taken;movie;2008;90;Action;Pierre Morel;7.7;662134
Ocean's Eleven;movie;2001;116;Crime;Steven Soderbergh;7.7;657820
Argo;movie;2012;120;Biography;Ben Affleck;7.7;657459
Edward Scissorhands;movie;1990;105;Drama;Tim Burton;7.8;553072
Zack Snyder's Justice League;movie;2021;242;Action;Zack Snyder;7.9;464559
Zodiac;movie;2007;157;Crime;David Fincher;7.7;650333
Little Miss Sunshine;movie;2006;101;Comedy;Jonathan Dayton;7.8;545892
Hachi: A Dog's Tale;movie;2009;93;Biography;Lasse Hallström;8.1;334108
E.T. the Extra-Terrestrial;movie;1982;115;Adventure;Steven Spielberg;7.9;460804
Harry Potter and the Deathly Hallows: Part 1;movie;2010;146;Adventure;David Yates;7.7;643456
Big Hero 6;movie;2014;102;Action;Don Hall;7.8;539480
Guardians of the Galaxy Vol. 3;movie;2023;150;Action;James Gunn;7.9;448551
Ex Machina;movie;2014;108;Drama;Alex Garland;7.7;624825
The Elephant Man;movie;1980;124;Biography;David Lynch;8.2;276802
Incendies;movie;2010;131;Drama;Denis Villeneuve;8.3;237450
The Big Short;movie;2015;130;Biography;Adam McKay;7.8;522466
The Girl with the Dragon Tattoo;movie;2011;158;Crime;David Fincher;7.8;519566
The Great Escape;movie;1963;172;Adventure;John Sturges;8.2;272467
Deadpool 2;movie;2018;119;Action;David Leitch;7.6;726660
Dangal;movie;2016;161;Action;Nitesh Tiwari;8.3;232733
Captain Phillips;movie;2013;134;Action;Paul Greengrass;7.8;512425
Doctor Strange;movie;2016;115;Action;Scott Derrickson;7.5;859945
Training Day;movie;2001;122;Crime;Antoine Fuqua;7.8;503969
Before Sunset;movie;2004;80;Drama;Richard Linklater;8.1;307448
Scent of a Woman;movie;1992;156;Drama;Martin Brest;8.0;358293
Like Stars on Earth;movie;2007;162;Drama;Aamir Khan;8.3;225312
The Last Samurai;movie;2003;154;Action;Edward Zwick;7.8;494872
Mulholland Drive;movie;2001;147;Drama;David Lynch;7.9;415695
Predator;movie;1987;107;Action;John McTiernan;7.8;486076
Superbad;movie;2007;113;Comedy;Greg Mottola;7.6;675894
American Gangster;movie;2007;157;Biography;Ridley Scott;7.8;477400
Ghostbusters;movie;1984;105;Action;Ivan Reitman;7.8;476433
John Wick;movie;2014;101;Action;Chad Stahelski;7.5;802158
Magnolia;movie;1999;188;Drama;Paul Thomas Anderson;8.0;342728
The Nightmare Before Christmas;movie;1993;76;Animation;Henry Selick;7.9;400153
The Apartment;movie;1960;125;Comedy;Billy Wilder;8.3;213053
Spider-Man;movie;2002;121;Action;Sam Raimi;7.4;941150
The Breakfast Club;movie;1985;97;Comedy;John Hughes;7.8;463841
The Irishman;movie;2019;209;Biography;Martin Scorsese;7.8;460605
The Sound of Music;movie;1965;174;Biography;Robert Wise;8.1;282708
Harry Potter and the Half-Blood Prince;movie;2009;153;Action;David Yates;7.6;639813
Spider-Man 2;movie;2004;127;Action;Sam Raimi;7.5;762552
The Hunger Games: Catching Fire;movie;2013;146;Action;Francis Lawrence;7.5;757871
Tangled;movie;2010;100;Adventure;Nathan Greno;7.7;530518
The Secret in Their Eyes;movie;2009;129;Drama;Juan José Campanella;8.2;236983
Boyhood;movie;2014;165;Drama;Richard Linklater;7.9;377889
The Gentlemen;movie;2019;113;Action;Guy Ritchie;7.8;442447
Harry Potter and the Chamber of Secrets;movie;2002;161;Adventure;Chris Columbus;7.5;743352
Despicable Me;movie;2010;95;Adventure;Pierre Coffin;7.6;618730
Sicario;movie;2015;121;Action;Denis Villeneuve;7.7;519324
Lost in Translation;movie;2003;102;Comedy;Sofia Coppola;7.7;517635
Kick-Ass;movie;2010;117;Action;Matthew Vaughn;7.6;614173
Soorarai Pottru;movie;2020;153;Drama;Sudha Kongara;8.6;129651
Minority Report;movie;2002;145;Action;Steven Spielberg;7.6;610076
Ben-Hur;movie;1959;212;Adventure;William Wyler;8.1;266624
Metropolis;movie;1927;153;Drama;Fritz Lang;8.3;197124
Marriage Story;movie;2019;137;Drama;Noah Baumbach;7.9;364927
Watchmen;movie;2009;162;Action;Zack Snyder;7.6;603735
500 Days of Summer;movie;2009;95;Comedy;Marc Webb;7.6;602308
Star Trek Into Darkness;movie;2013;132;Action;J.J. Abrams;7.7;506403
The Bourne Supremacy;movie;2004;108;Action;Paul Greengrass;7.7;504785
Rise of the Planet of the Apes;movie;2011;105;Action;Rupert Wyatt;7.6;598045
The Theory of Everything;movie;2014;123;Biography;James Marsh;7.7;502097
About Time;movie;2013;123;Comedy;Richard Curtis;7.8;420767
Dances with Wolves;movie;1990;181;Adventure;Kevin Costner;8.0;304375
Fury;movie;2014;134;Action;David Ayer;7.6;591003
Sherlock Holmes;movie;2009;128;Action;Guy Ritchie;7.5;696779
Klaus;movie;2019;96;Adventure;Sergio Pablos;8.2;220365
The Graduate;movie;1967;106;Comedy;Mike Nichols;8.0;299303
The Father;movie;2020;97;Drama;Florian Zeller;8.2;219962
Wreck-It Ralph;movie;2012;101;Adventure;Rich Moore;7.7;487037
Ferris Bueller's Day Off;movie;1986;103;Comedy;John Hughes;7.8;407924
Memories of Murder;movie;2003;132;Crime;Bong Joon Ho;8.1;252309
The Iron Giant;movie;1999;86;Action;Brad Bird;8.1;251278
Harry Potter and the Order of the Phoenix;movie;2007;138;Action;David Yates;7.5;678942
Avengers: Age of Ultron;movie;2015;141;Action;Joss Whedon;7.3;976902
Pirates of the Caribbean: Dead Man's Chest;movie;2006;151;Action;Gore Verbinski;7.4;808759
The Fighter;movie;2010;116;Action;David O. Russell;7.8;402577
Kung Fu Panda;movie;2008;92;Action;Mark Osborne;7.6;561729
Baby Driver;movie;2017;113;Action;Edgar Wright;7.5;664728
The Bridge on the River Kwai;movie;1957;161;Adventure;David Lean;8.1;245036
Dog Day Afternoon;movie;1975;125;Biography;Sidney Lumet;8.0;285945
How to Train Your Dragon 2;movie;2014;102;Action;Dean DeBlois;7.8;391559
Zombieland;movie;2009;88;Action;Ruben Fleischer;7.5;653924
M;movie;1931;99;Crime;Fritz Lang;8.3;179461
The Butterfly Effect;movie;2004;113;Drama;Eric Bress;7.6;546670
Moon;movie;2009;97;Drama;Duncan Jones;7.8;389560
The Game;movie;1997;129;Drama;David Fincher;7.7;459714
Crash;movie;2004;112;Crime;Paul Haggis;7.7;458145
Witness for the Prosecution;movie;1957;116;Crime;Billy Wilder;8.4;154112
Spider-Man: Homecoming;movie;2017;133;Action;Jon Watts;7.4;773878
The Wrestler;movie;2008;109;Drama;Darren Aronofsky;7.9;328036
Double Indemnity;movie;1944;107;Crime;Billy Wilder;8.3;177199
A Quiet Place;movie;2018;90;Drama;John Krasinski;7.5;640182
The Fifth Element;movie;1997;126;Action;Luc Besson;7.6;533837
Moonrise Kingdom;movie;2012;94;Adventure;Wes Anderson;7.8;378194
Black Hawk Down;movie;2001;144;Action;Ridley Scott;7.7;445731
Dial M for Murder;movie;1954;105;Crime;Alfred Hitchcock;8.2;200822
Wild Tales;movie;2014;122;Comedy;Damián Szifron;8.1;232844
The Wild Robot;movie;2024;102;Adventure;Chris Sanders;8.2;199080
Amores Perros;movie;2000;154;Drama;Alejandro G. Iñárritu;8.0;269655
Black Panther;movie;2018;134;Action;Ryan Coogler;7.3;890603
The Hunger Games;movie;2012;142;Action;Gary Ross;7.2;1057990
Pride & Prejudice;movie;2005;129;Drama;Joe Wright;7.8;363474
Almost Famous;movie;2000;122;Adventure;Cameron Crowe;7.9;309051
Lion;movie;2016;118;Biography;Garth Davis;8.0;262401
The Conjuring;movie;2013;112;Horror;James Wan;7.5;602661
Dawn of the Planet of the Apes;movie;2014;130;Action;Matt Reeves;7.6;504706
Saw;movie;2004;103;Horror;James Wan;7.6;498001
Poor Things;movie;2023;141;Comedy;Yorgos Lanthimos;7.8;355018
