Song_Index,Song,Artist,Track_No_,AlbumID_Rank,BPM,Energy,Dance,Loud,Valence,Duration,Acoustic,Popularity,Spotify_Song
757,Like Rats,Godflesh,1,64,141,70,55,-17,26,04:28,0,28,4kr3TSDNNOdv09snNWytEo
759,Pulp,Godflesh,3,64,118,57,61,-17,63,04:17,0,18,6qCecc5VRExiWbiDDf3l3E
762,Devastator,Godflesh,6,64,115,60,48,-17,37,03:21,0,14,71zsMGW35k1i83sgVv9mDO
764,Life Is Easy,Godflesh,8,64,95,58,33,-17,10,04:54,0,13,3RL6tJs02Vc1r9mJm4HPwz
765,Streetcleaner,Godflesh,9,64,149,74,45,-17,42,06:46,0,16,1yhrNiagoP9JXDvUG7ahCs
1180,Windows,Deafheaven,6,94,85,32,17,-17,4,04:43,78,1,1NClfLPFneHXcvHSkF64JK
222,Laguna Sunrise - 2014 Remaster,Black Sabbath,8,14,82,18,33,-17,26,02:50,51,34,28rnaH091tr3WwaP87faiC
625,Dark Side of the Womb,Type O Negative,8,53,187,47,29,-17,35,00:28,5,0,4ghhm0m3Cxw9tOZCcNnA4s
514,Thumb,Kyuss,1,41,125,60,29,-16,19,04:42,14,40,4G9nfjycMbM4beqEheM145
721,If I Had An Exorcism,Melvins,6,60,124,42,27,-16,19,03:07,0,24,6OwKzxjtxonYeMdkrf3yAS
722,Your Blessened,Melvins,7,60,118,24,41,-16,33,05:39,0,20,76K8cvWGrfxux1pwPU1E5D
758,Christbait Rising,Godflesh,2,64,170,60,50,-16,29,06:59,0,22,4qVI1SgIKvAjFFQgkLGMKT
760,Dream Long Dead,Godflesh,4,64,141,52,56,-16,24,05:18,0,18,01gRw9my2insTSqLK7Z1O0
761,Head Dirt,Godflesh,5,64,118,53,25,-16,25,06:08,0,16,1hymf5XDfHvg7oYJ8vOxtx
763,Mighty Trust Krusher,Godflesh,7,64,127,63,24,-16,4,05:30,0,15,288uCQ0mWfftrMh2VlAz81
769,Dead Head,Godflesh,13,64,170,81,29,-16,53,04:07,0,13,3SQlpboSnvp81efJLbWc0Y
1126,Smoked Pork,Body Count,1,90,107,40,65,-16,31,00:47,58,29,77EfELhVYaha8yn4VXpHkL
1154,Laugh It Off - remastered 2007,Eyehategod,12,92,97,77,60,-16,64,01:35,96,13,2hXzOjbM5VzefZYXa5AlEF
988,The Flames of the End,At The Gates,11,77,78,44,38,-16,8,02:58,0,24,2z8YnF6wRLwMhq0YQSEY78
369,Human (Intro),Celtic Frost,1,28,48,44,22,-16,4,00:41,92,19,3YCsdyb6McJe5VDtycTvf2
829,Prelude (The Family Trip),Marilyn Manson,1,68,72,47,41,-16,48,01:21,45,31,4ymIihKTFmk3s0wrgud1kU
1216,Alice,Sunn 0))),4,98,75,14,8,-15,4,16:20,67,19,7n6WNQidHGzHm0TQHWV7aH
518,Thong Song,Kyuss,5,41,94,47,36,-15,45,03:47,0,34,4K9umAd9TkXbPld2Bx4v8c
520,Caterpillar March,Kyuss,7,41,120,75,21,-15,63,01:56,1,32,7pZzHuO7AmnmJzw4iSR8Mb
523,Writhe,Kyuss,10,41,86,66,41,-15,60,03:42,2,33,0ZDXI91Cf66bJRs3oG12xt
526,Mondo Generator,Kyuss,13,41,85,72,18,-15,34,06:16,14,30,6nEC3SbDCB7BgPNU3nXLQh
997,Batman,Voivod,9,78,146,90,34,-15,9,01:46,0,10,1OLDOgUqbRxnNlqME7vl0c
717,Anaconda,Melvins,2,60,136,54,37,-15,48,02:23,0,28,1A8lR2uTjziPQq8uo0MwNX
720,Zodiac,Melvins,5,60,130,70,29,-15,42,04:14,0,27,0F1oPyEZ7fyNsYJstJBKD0
723,Cow,Melvins,8,60,149,78,44,-15,14,04:31,0,19,76P7RkUdjbLA8ICp0ERJG4
767,Tiny Tears,Godflesh,11,64,156,94,39,-15,48,03:24,0,12,751NbTuCv0ZNQJL88qD6aJ
768,Wound,Godflesh,12,64,128,83,47,-15,28,03:07,0,11,4sPVFU8E75eKFXlD8ozdM4
770,Suction,Godflesh,14,64,156,92,39,-15,36,03:24,0,11,2hftsD070p8o8nItCxCHaJ
1148,Disturbance - remastered 2007,Eyehategod,6,92,81,73,19,-15,7,07:02,86,19,0HgYlaTyGuQSQtEHoQjKhv
687,Lucid Fairytale,Napalm Death,3,59,116,70,30,-15,19,01:04,0,13,3kZpNo5k3D5E2MpQgczFRT
688,Private Death,Napalm Death,4,59,107,74,30,-15,26,00:36,0,10,02f10Mxrtj4IahrpifC6BN
692,Cock-Rock Alienation,Napalm Death,8,59,113,87,22,-15,23,01:22,0,10,5jhPPLDvoDGjO5CbvxndpL
1188,Wait for Sleep,Dream Theater,7,95,110,37,30,-15,23,02:32,28,41,7LaaIr1D8CjH1tc7ERTr8A
519,Apothecaries' Weight,Kyuss,6,41,177,51,24,-14,41,05:21,1,33,6ZUsVj3kuS0LY2izJJcymE
1204,Unicorn,Gojira,4,97,153,39,64,-14,40,02:09,45,34,03C8y1en48wMpca3qomxqF
1210,From Mars,Gojira,10,97,126,59,51,-14,35,02:25,31,34,4gdSgHwfMeB6Ri5fS43SUW
990,Tribal Convictions,Voivod,2,78,132,82,29,-14,55,04:52,0,22,2lwgBPc3ROzHmISeNqAark
992,Technocratic Manipulators,Voivod,4,78,83,88,16,-14,34,04:36,0,14,0l5BFEXWjCz3zF05GZnW3D
568,Joseph Merrick - Instrumental,Mastodon,10,46,95,31,48,-14,11,03:33,24,33,10DrDEatayhTM9dx9FIHSF
385,Kaiowas,Sepultura,5,29,92,50,47,-14,27,03:44,11,40,4jTIQTToQuxOTTgOzRyzFh
1176,Irresistible,Deafheaven,2,94,103,24,65,-14,4,03:13,97,4,3EAUSlUzVTLhxLn8Fhpz5V
685,Evolved As One,Napalm Death,1,59,119,60,38,-14,36,03:14,0,13,5ABrjtEXsp56zD4MAJoGdK
686,It's A M.A.N.S. World!,Napalm Death,2,59,109,90,28,-14,13,00:55,0,13,1fO2BQABQk9TcvsJjbmtQ7
689,Impressions,Napalm Death,5,59,98,74,23,-14,7,00:35,0,10,3VJuHwQWhNjDcKvW7ahahj
690,Unchallenged Hate,Napalm Death,6,59,104,79,24,-14,54,02:08,0,20,3Kg9wUgkdZAr2a8DZOtMt4
693,Retreat To Nowhere,Napalm Death,9,59,111,69,39,-14,17,00:30,0,9,6rp0SRh2O0zp5Glpfd5QlJ
694,Think For A Minute,Napalm Death,10,59,113,89,31,-14,23,01:44,0,9,2AHamYILkHSZwshVc3daiE
695,Display To Me...,Napalm Death,11,59,107,88,24,-14,50,02:43,0,9,1b6bIDSun96OulQhMz9UOK
698,Social Sterility,Napalm Death,14,59,110,85,23,-14,28,01:04,0,9,5LMz0wpTjyf1ijxOEWSqkr
7,Rat Salad - 2013 Remaster,Black Sabbath,7,1,100,59,51,-14,45,02:31,1,42,2b8xbWvck5yh9vvEogsfqa
37,Black Sabbath - 2014 Remaster,Black Sabbath,1,5,133,43,32,-14,13,06:18,5,48,0xIZPPBfLqQEAj1BLmGrNc
424,Supertzar - 2013 Remaster,Black Sabbath,6,32,80,45,26,-14,30,03:44,85,30,48oEdT2SQwD7KX8Na70Omy
426,The Writ - 2013 Remaster,Black Sabbath,8,32,121,50,33,-14,15,08:45,3,33,7ArM7xm1YLiXzPxDlFRARB
445,Children of the Grave - 2014 Remaster,Black Sabbath,4,34,150,65,32,-14,37,05:17,8,57,5clz8BOBulxx7q2yHxqOCk
449,Into the Void - 2014 Remaster,Black Sabbath,8,34,77,54,40,-14,51,06:10,1,50,3ex9yveBIpssnR6sVvhwiR
677,Words and Music,Life Of Agony,6,58,140,59,33,-14,27,05:14,0,23,4m7Sj7Gqk4A64kQNR3hFTY
682,Method of Groove,Life Of Agony,11,58,135,76,34,-14,29,05:17,0,22,5zbYs6OWpLaXU0mqzvMDyI
683,The Stain Remains,Life Of Agony,12,58,94,60,27,-14,19,04:32,0,20,2O1mGGTZ5s48ZEQJYVjgbs
543,God Bless The Children of the Beast,Mötley Crüe,5,44,117,36,51,-14,33,01:31,74,40,14wCckwoW9dj8DUyD9nkqc
975,Don't Let Me Down,Twisted Sister,7,76,105,65,55,-14,71,04:28,0,31,7kkp5zbybXp9irVxfT2h4O
976,The Beast,Twisted Sister,8,76,166,52,40,-14,41,03:29,0,38,1znYwsMLK6c6r2DnZWHsqS
621,Fay Wray Come out and Play,Type O Negative,4,53,86,91,33,-14,5,01:03,11,24,7LhkYI8ekN0sEg4ELeoxJQ
236,Caught in the Middle,Dio,4,16,130,79,49,-13,76,04:18,2,37,55NekArnnNyOT0ngtn4fpx
241,Shame on the Night,Dio,9,16,121,65,49,-13,35,05:19,23,35,5Lep4j5Uji39k6QCkbg2DT
924,Maritime,ISIS,6,72,113,47,53,-13,77,03:03,60,9,2bpRNKT04xb2rc07LOgFaZ
949,"In League with Satan - 7"""" Version",Venom,13,74,106,83,48,-13,21,03:31,9,36,0ASlBt3KdsnokRI137AbUl
958,Snots Shit - Outtake,Venom,22,74,165,74,22,-13,12,02:06,21,13,3S7bKeUwrhBJmQ1DMreN1H
989,Experiment,Voivod,1,78,143,88,24,-13,15,06:12,0,17,5iH7uD5qgpn1lw2J5aM5Gr
991,Chaosmongers,Voivod,3,78,160,68,23,-13,41,04:42,0,15,7J4kzeT4QUHBVCOAjL4gU1
993,Macrosolutions to Megaproblems,Voivod,5,78,85,85,19,-13,15,05:35,0,14,02WvcYSSq0he8VlLPpyWqt
265,Efilnikufesin (N.F.L.),Anthrax,4,20,103,93,51,-13,40,04:55,0,37,0mN2Zf1wnsD0rg2mT4939P
266,A Skeleton In The Closet,Anthrax,5,20,100,96,54,-13,19,05:29,0,36,1oRpKSMCFZq2MVVJF9RjB1
496,Planet Caravan - 2014 Remaster,Pantera,12,39,172,39,57,-13,36,03:57,75,36,78YknDXAOrz0E9ves11vnK
1048,Cockroach En Fleur,Baroness,5,83,123,38,23,-13,30,01:50,85,30,7i8qsWg6FJOyiE90o4AMNh
1015,TV II,Ministry,3,80,170,80,21,-13,13,03:05,0,30,5vmiOClFJzyx7lpgJnt2G4
590,Strength of Fates,Neurosis,6,49,78,31,20,-13,18,09:44,1,21,6O3NHOrGfwf7KXM1EsTtHf
467,Could This Be Magic? - 2015 Remaster,Van Halen,8,36,120,42,64,-13,54,03:11,74,34,55BdGvf5VRe7eWeWv4ZG3B
691,Uncertainty Blurs The Vision,Napalm Death,7,59,95,76,33,-13,22,00:40,0,10,6OwnwvpztvLFT5isFZt647
696,From Enslavement To Obliteration,Napalm Death,12,59,107,81,25,-13,47,01:38,0,12,3BaJFoEncVasX4Si3NAkJG
697,Blind To The Truth,Napalm Death,13,59,110,67,19,-13,0,00:23,0,0,5XlEu4xZF1YMFQVkYaQlcz
703,Obstinate Direction,Napalm Death,19,59,103,91,25,-13,7,01:03,0,7,5YhKnIaGRk593j2phjCELC
1161,Welcome To Planet Motherfucker/ Psychoholic Slag,White Zombie,1,93,117,78,47,-13,20,06:21,0,45,5x8YLkZvKQDmZsD4cnCO06
5,Electric Funeral - 2013 Remaster,Black Sabbath,5,1,125,49,36,-13,28,04:50,43,49,7As8h8LJTMIritB8QwSmqr
41,A Bit of Finger / Sleeping Village / Warning - 2013 Remaster,Black Sabbath,5,5,136,55,36,-13,34,14:13,8,39,01xU5pDHQ8FfVhEi98UFMY
216,Tomorrow's Dream - 2014 Remaster,Black Sabbath,2,14,111,57,48,-13,35,03:09,5,40,0FnUHRtUgopfEoIVrGfkH0
217,Changes - 2013 Remaster,Black Sabbath,3,14,81,22,29,-13,19,04:42,3,49,3b7wNR330iKhql9dEdbNci
221,Cornucopia - 2014 Remaster,Black Sabbath,7,14,143,42,27,-13,19,03:52,22,39,2LvHtTgBgNQq4Rb0Aok859
421,Symptom of the Universe - 2013 Remaster,Black Sabbath,3,32,178,64,28,-13,47,06:29,5,45,7lwCPihf6s0609Q5uBjXrF
425,Am I Going Insane - 2013 Remaster,Black Sabbath,7,32,135,62,33,-13,39,04:14,1,30,5AZxbX5Qf1qjh1Kg9oX5ww
443,After Forever - 2014 Remaster,Black Sabbath,2,34,95,68,39,-13,47,05:26,0,44,3muMI7YXx7JU3yaaJzWVPw
447,Lord of This World - 2014 Remaster,Black Sabbath,6,34,134,56,40,-13,65,05:25,3,46,3EUJS9hmoZPYCFuUctnfCz
680,My Eyes,Life Of Agony,9,58,123,69,54,-13,41,02:45,0,21,09TJRgoaSj2x3jFlGEyh2H
681,Respect,Life Of Agony,10,58,76,67,26,-13,27,04:14,0,20,3AFxgQ48P7YX0x8PtYTnVy
972,Horror-Teria (The Beginning: Captain Howdy/Street Justice),Twisted Sister,4,76,161,65,37,-13,46,07:43,1,32,6eV3zO6rLsrbWG13i5d5wE
1213,Aghartha,Sunn 0))),1,98,130,37,21,-12,5,17:34,8,25,3szH2qrbJn3cIxfiPssgQ7
233,Stand up and Shout,Dio,1,16,109,94,49,-12,34,03:18,0,43,0j7hyKTaetFpKsCgOyGPAI
235,Gypsy,Dio,3,16,118,83,55,-12,51,03:41,0,34,2cZLW5PoX4lpLZAGH5MGHp
237,Don't Talk to Strangers,Dio,5,16,132,80,35,-12,24,04:55,9,45,0FVDva1nGzMI4IFhb5vrBq
239,Invisible,Dio,7,16,177,80,27,-12,48,05:26,1,33,768sKrvsVZDx1xclzl5pt0
946,In League with Satan,Venom,10,74,105,79,42,-12,52,03:32,0,27,5LbLX9SlqtEOnvaIZsiUqd
950,"Live Like an Angel - 7"""" Version",Venom,14,74,132,97,27,-12,4,03:54,0,17,2TP1egE9QVHlDcVMsjog5q
952,"In Nomine Satanas - 7"""" Version",Venom,16,74,113,70,39,-12,41,03:29,7,19,0tmzZv8LldcWvPHGECtPtD
994,Brain Scan,Voivod,6,78,111,87,33,-12,42,05:09,0,12,0cREdHaPDHJJ7UczArFKHu
995,Psychic Vacuum,Voivod,7,78,142,91,24,-12,33,03:51,0,13,0Ibtfy4arVM8ZreELGbnSC
996,Cosmic Drama,Voivod,8,78,121,86,27,-12,8,04:56,0,10,1jLqOVm72poy8EC6lML87X
263,Caught In A Mosh,Anthrax,2,20,106,96,36,-12,13,05:00,0,36,4fjWStUaP7aXdT0d3YxvPo
264,I Am The Law,Anthrax,3,20,154,93,36,-12,31,05:54,0,34,5DlKTTcN9LNisy6x4QuWzs
592,Aeon,Neurosis,8,49,135,35,27,-12,9,11:44,0,18,1vGmdXBUWksAsi2NlhMNwR
593,Enclosure In Flame,Neurosis,9,49,118,27,32,-12,4,10:19,1,16,6LfseiBqkTtyONP8SztCcD
594,-515,Slipknot,1,50,113,53,31,-12,8,01:00,0,38,4DwUKMDj7MgUMTuyA8ef0n
1122,Kuolema Tekee Taiteilijan,Nightwish,10,89,82,33,15,-12,9,03:59,46,0,04IEzdLzDhaYvKhXNMDMcB
936,When The Smoke Is Going Down,Scorpions,9,73,98,42,44,-12,31,03:50,2,45,1Cc1kD0xeMXZpdUinsH1mP
1178,Please Remember,Deafheaven,4,94,115,58,22,-12,3,06:26,59,3,7gTyR63h4FXXxOIXTZYDzv
1225,Hello,Evanescence,9,99,69,17,26,-12,7,03:40,90,57,0aYUqsvZG7bAslrUkd9Z0g
842,Ugly Truth,Soundgarden,1,69,130,58,39,-12,51,05:27,1,31,50qtzo7XUCP8JSgcpVcvHj
849,I Awake,Soundgarden,8,69,125,60,56,-12,19,04:21,35,24,00rg0PI2odvZNMZoVqTBYN
853,Full On,Soundgarden,12,69,133,66,41,-12,43,02:42,17,22,5xHqy0VDZEDSBdkecbfz0H
978,Blinded By Fear,At The Gates,1,77,125,99,22,-12,4,03:12,0,31,2pj2VXKSBRTmV8nuiaCKd2
981,Under a Serpent Sun,At The Gates,4,77,151,95,21,-12,18,03:59,0,29,4Jg1FIbHlwoRi0olOJxtcF
699,Emotional Suffocation,Napalm Death,15,59,101,91,26,-12,7,01:08,0,8,6pX8LfHu0lxhv4kfXX5vWf
700,Practice What You Preach,Napalm Death,16,59,102,84,34,-12,34,01:25,0,9,4hcPCdWM4kUpOBWflYCO7w
701,Inconceivable?,Napalm Death,17,59,111,86,18,-12,36,01:07,0,8,3M3xa8izsc7vDd9S37vFOT
702,Worlds Apart,Napalm Death,18,59,105,89,24,-12,4,01:25,0,7,2j2u8p3DDG8Fa8FJIapXV6
704,Mentally Murdered,Napalm Death,20,59,112,89,18,-12,45,02:16,0,9,6FBOCvFNx6C0f6tW6WrqoK
705,Sometimes,Napalm Death,21,59,93,90,21,-12,10,01:08,0,7,4nenWbNxupC2wZYA8urf3U
706,Make Way!,Napalm Death,22,59,115,87,23,-12,15,01:37,0,7,01RUGttwVIvDlD5ymnMWUU
813,"My Empty Room - Live At The Astoria Theatre, London, England/1994/24-Bit Mastering/2006 Digital Remaster",Queensrÿche,17,67,124,47,54,-12,26,02:43,51,21,0ANXZeNhSxMcdhkoplppFk
814,"I Remember Now - Live At Hammersmith Odeon, London, England/1990",Queensrÿche,18,67,77,79,35,-12,3,01:12,25,20,3N2uc3QDQn6qXyCe0uAlk3
1166,Cosmic Monsters Inc.,White Zombie,6,93,86,77,61,-12,46,05:14,0,37,5Dl0kQlw30AJIFupjioRz4
1168,I Am Legend,White Zombie,8,93,139,65,38,-12,31,05:09,0,34,285HB3e1livtx5SndVhp2d
1174,Warp Asylum,White Zombie,14,93,108,71,43,-12,51,06:45,0,31,2MA9Qh9M1gzoE4HgCVLmac
1,War Pigs / Luke's Wall - 2014 Remaster,Black Sabbath,1,1,183,62,33,-12,42,07:54,22,63,2rd9ETlulTbz6BYZcdvIE1
2,Paranoid - 2016 Remaster,Black Sabbath,2,1,163,66,42,-12,45,02:48,0,68,1Y373MqadDRtclJNdnUXVc
6,Hand of Doom - 2013 Remaster,Black Sabbath,6,1,142,57,45,-12,23,07:08,2,46,72YRB6ar59nBsNdnn0cVdD
38,The Wizard - 2014 Remaster,Black Sabbath,2,5,101,68,39,-12,36,04:23,3,49,6sjTzevtstOxOMsFsypsEm
39,Wasp / Behind the Wall of Sleep / Bassically / N.I.B. - 2014 Remaster,Black Sabbath,3,5,102,47,38,-12,50,09:44,3,46,4hx9RvP93j79EJLAiyJQoI
40,Wicked World - 2013 Remaster,Black Sabbath,4,5,169,56,30,-12,57,04:45,0,42,7n5JBulRFW7P1WqjhhjbrI
220,Snowblind - 2014 Remaster,Black Sabbath,6,14,117,75,44,-12,60,05:26,0,47,5w091st8zPd8c01LFzTY8B
223,St. Vitus' Dance - 2014 Remaster,Black Sabbath,9,14,150,50,35,-12,60,02:28,0,34,4N7sL7z89xrHqa3Tml0J56
224,Under the Sun - 2014 Remaster,Black Sabbath,10,14,100,53,33,-12,36,05:50,2,44,0T7zraoBpNHSqwyr40UrNN
442,Sweet Leaf - 2014 Remaster,Black Sabbath,1,34,148,60,36,-12,66,05:05,0,54,2FZ0yrA5aPClG5ZPBlV7n4
539,In The Beginning,Mötley Crüe,1,44,133,67,29,-12,18,01:14,82,40,4ZjGXumt8C1gqLAVtGE55G
971,Burn in Hell,Twisted Sister,3,76,107,83,36,-12,62,04:43,0,51,1aVChMRP6I3ViAIlnW3WYS
974,The Price,Twisted Sister,6,76,78,56,50,-12,55,03:49,4,55,5iF683hJagzos663BxLns9
618,Machine Screw,Type O Negative,1,53,80,83,30,-12,10,00:41,36,23,5VQfpY6p3t46tCXE282tDY
517,50 Million Year Trip (Downside Up),Kyuss,4,41,82,84,20,-11,50,05:49,0,38,1rcdPPsFokyqj8KF51xCHV
738,Jerusalem,Sleep,3,62,101,59,41,-11,4,09:01,0,0,2uDGXu7YPNuNe3ZlXdFzqq
739,Jerusalem,Sleep,4,62,101,54,46,-11,13,10:28,0,0,2efFOvGR5joVbmA62N2xQF
943,Witching Hour,Venom,7,74,146,92,13,-11,3,03:40,0,33,4G20PYZNuL37a8zaaUV7Km
947,Red Light Fever,Venom,11,74,122,90,20,-11,5,05:14,0,22,3vQI1R641odHXncELglOJL
955,Red Light Fever - Demo,Venom,19,74,199,98,9,-11,8,04:50,0,15,5iSwRRDdWjWSRTFatd5qUg
957,Bitch Witch - Outtake,Venom,21,74,90,87,34,-11,36,03:08,0,15,55uJAYtuPuRSmzXLFqqQeK
296,She Rides,Danzig,3,23,111,62,60,-11,27,05:11,0,46,55zS77GXRmwsiyIqVkkT7O
269,Medley: A.D.I. / Horror Of It All,Anthrax,8,20,165,93,30,-11,39,07:49,0,29,12rk57LzvJAguSYIP4SHgZ
270,Imitation Of Life,Anthrax,9,20,110,98,36,-11,10,04:23,0,32,20GAr2lqK1tICtkKCb8uBn
661,Al Svartr (The Oath),Emperor,1,57,67,41,21,-11,7,04:18,2,0,4xvc7nNRTsQKrWKP9QEvUq
121,Rise,Pantera,6,10,93,89,36,-11,33,04:37,0,49,1GgdgDHlEdmwbCZLLzV4Ik
122,No Good (Attack the Radical),Pantera,7,10,97,91,33,-11,50,04:50,0,48,5q272ZCgwndbAJJhGdG2mI
126,Hollow,Pantera,11,10,100,69,27,-11,35,05:46,0,56,1lM1ZHTvfKi5CMRjsZ4Sg9
1019,Psalm 69,Ministry,7,80,107,84,28,-11,15,05:29,0,33,3lP4QgKArqyUAMDFPv3zFk
1020,Corrosion,Ministry,8,80,98,92,19,-11,13,04:57,0,25,1m8pPuWEh4lNIvJG4MIYDl
336,Nothing Else Matters,Metallica,8,25,142,36,56,-11,17,06:29,5,25,10igKaIKsSB6ZnWxPxPvKO
931,You Give Me All I Need,Scorpions,4,73,117,65,51,-11,56,03:38,2,35,4t2dUobtoXRlqxz2pIxp71
935,China White,Scorpions,8,73,78,48,28,-11,50,06:58,0,31,6dO09SajAwqZyU4caMxGCp
464,Tora! Tora! - 2015 Remaster,Van Halen,5,36,120,87,42,-11,26,00:57,3,30,6gtH78Sys0tZrb1c7m3U6G
1157,Blank/Shoplift [Bonus Track] - remastered 2007,Eyehategod,15,92,83,57,20,-11,31,03:58,44,13,2WxO2DqXTyLa5sN9GXoZO7
58,Too Late Too Late,Motörhead,5,7,168,92,30,-11,27,03:24,2,21,5g07vnV7pjEVBc1AHr70sQ
60,Bomber,Motörhead,7,7,106,99,37,-11,18,03:40,1,22,0lEDNCGR1vmATSVHSJ55Kn
844,Gun,Soundgarden,3,69,105,89,35,-11,26,04:42,0,31,2ewbtB0DZhtkoFALbJhxxV
848,Loud Love,Soundgarden,7,69,135,81,35,-11,22,04:57,1,35,1UIZd9Xwvuv7aoYHTC4irP
